	Chrna2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_72	Cux2_tdTpositive_cell_3	Htr3a_tdTpositive_cell_95	Ndnf_tdTpositive_cell_2	Nr5a1_tdTpositive_cell_31	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_56	Rbp4_tdTpositive_cell_123	Rbp4_tdTpositive_cell_157	Rbp4_tdTpositive_cell_161	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28
BC024659	155.88	99.79	521.35	322.08	233.58	204.2	497.73	11.54	0.0	231.14	1681.45	1136.51	389.36	181.33	60.69	29.08	110.89	124.6	75.1
Braf	32.67	33.83	287.67	159.89	49.0	73.4	199.55	17.62	4.52	80.12	203.26	402.57	252.46	66.29	83.27	21.55	10.39	24.62	13.03
Brd8	44.61	30.26	350.23	289.11	72.39	181.11	202.81	4.53	0.13	104.63	311.34	172.26	136.63	64.32	149.04	112.07	58.94	7.59	80.35
Cbx5	55.3	92.83	184.37	156.09	471.35	184.7	273.96	115.88	0.26	151.65	442.58	325.43	368.87	105.78	133.93	61.71	53.22	49.64	121.8
Dennd5b	23.21	67.89	90.4	51.73	43.92	93.27	111.13	11.19	0.33	36.71	210.87	113.4	238.19	185.31	83.46	23.03	51.97	23.89	65.21
Ece1	9.04	53.46	87.56	39.41	93.09	152.3	80.41	1.75	0.08	97.7	69.05	122.77	50.41	42.66	43.66	10.94	33.12	7.44	5.58
Eps15	100.61	0.12	281.39	605.36	259.54	426.08	471.0	61.2	338.98	189.37	378.44	449.86	585.32	121.28	326.26	90.34	178.84	84.74	184.94
Gigyf1	18.58	18.7	19.32	18.79	21.5	19.17	42.98	9.91	0.0	39.48	39.88	23.27	32.84	41.18	10.5	7.87	10.11	4.65	10.0
Gsk3b	141.62	279.23	350.31	252.51	346.42	439.41	533.96	57.2	75.7	235.09	674.96	483.28	551.38	251.14	122.97	11.94	36.18	38.51	61.55
Gtf2a1	40.56	61.27	366.33	136.58	170.74	90.29	5.89	0.0	0.0	63.13	191.7	163.4	225.27	11.92	129.82	26.67	5.93	10.49	4.67
Nsg1	5.15	96.49	771.41	346.95	134.2	441.22	46.1	60.76	0.0	520.56	641.89	385.57	322.8	188.11	280.73	78.43	6.11	49.32	41.99
Ppm1k	170.94	175.09	194.93	361.11	519.48	265.84	384.92	34.51	1.56	300.05	543.59	371.25	231.98	322.54	236.45	159.58	52.15	90.01	196.23
Prune2	25.2	88.67	137.35	88.9	157.12	99.04	104.09	3.23	0.0	58.91	195.88	71.46	200.63	118.04	24.77	1.91	26.82	3.11	2.53
Sod2	186.86	183.15	249.01	3.99	190.96	98.7	216.42	12.97	5.04	217.87	370.95	218.01	423.5	142.57	57.83	21.34	20.54	35.56	46.51
Stmn1	10587.49	9820.07	8897.34	10788.4	10862.63	9729.87	12096.72	9467.14	10015.46	8519.23	13005.25	8575.21	11961.92	8937.9	10789.21	9222.0	12161.23	11287.74	9866.46
Strbp	50.57	52.68	398.56	644.52	118.06	139.33	269.47	13.36	0.18	178.18	430.91	538.44	323.24	207.64	85.32	45.25	45.82	37.79	49.56
Syt15	0.82	1.7	4.01	2.37	3.28	3.0	3.98	0.56	0.23	1.9	3.33	8.2	3.33	3.31	0.89	1.89	2.2	1.11	0.35
Trim23	9.0	0.25	0.14	0.0	0.0	0.09	51.29	0.0	0.0	28.98	237.72	98.63	6.04	20.38	18.02	0.0	3.03	0.0	46.78
Tug1	34.2	124.29	227.02	471.24	440.82	205.58	264.17	3.81	0.08	133.75	355.31	279.33	344.0	111.57	97.99	24.64	17.4	39.32	63.45
Zfp60	14.7	0.0	214.36	0.0	54.26	90.28	93.19	0.0	0.0	108.42	253.4	405.83	0.2	59.16	22.03	0.0	23.39	51.73	7.97
