	Cux2_tdTnegative_cell_4	Htr3a_tdTpositive_cell_9	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_9	Nos1_tdTpositive_cell_10	Nos1_tdTpositive_cell_31	Nos1_tdTpositive_cell_41	Nos1_tdTpositive_cell_73	Ntsr1_tdTnegative_cell_21	Rbp4_tdTnegative_cell_10
4921508A21Rik	0.88	51.61	0.0	2.68	14.56	30.32	44.16	58.14	81.42	72.57
9230114K14Rik	0.0	2.49	0.0	1.72	0.25	2.36	3.71	7.68	4.73	1.71
Amy2a2	0.0	0.17	0.0	0.05	0.06	0.33	0.12	0.71	1.18	0.52
Amy2a3	0.0	0.17	0.0	0.05	0.06	0.33	0.12	0.71	1.18	0.52
Amy2a4	0.0	0.17	0.0	0.05	0.06	0.33	0.12	0.71	1.18	0.52
Apol7b	0.0	0.65	0.0	0.0	0.0	0.15	0.4	4.12	1.09	0.0
Apol7e	0.0	0.65	0.0	0.0	0.0	0.15	0.4	4.12	1.09	0.0
Bard1	0.0	0.15	0.0	0.1	0.06	0.08	0.11	0.37	0.29	0.22
C920009B18Rik	0.0	2.2	0.0	0.43	0.06	1.02	1.79	2.65	9.57	1.47
Cxcr2	15.33	55.88	19.94	22.78	28.91	36.65	45.51	75.38	107.12	141.56
Dub1	0.61	7.37	0.0	3.28	3.34	4.45	4.67	28.4	31.41	5.38
Enox	0.0	3.99	0.0	0.54	0.83	1.56	1.42	6.81	4.41	2.51
Epb4.2	0.0	0.45	0.0	0.18	0.22	0.0	0.48	1.24	2.03	0.0
Fam124a	0.0	53.54	0.0	14.68	0.0	0.1	0.0	2.06	158.51	0.13
Id2	3980.14	6544.15	6.04	8635.55	10529.56	9310.73	6260.88	4828.74	13784.46	11326.54
Mapt	0.0	110.34	0.0	42.51	8.81	70.94	34.98	70.37	127.9	0.0
Mfn2	0.0	58.4	0.0	37.33	9.17	2.48	69.34	29.88	142.73	0.0
Nsl1	0.0	11.75	0.0	2.79	2.4	4.2	6.11	25.02	15.33	12.2
Pi15	0.1	24.23	0.0	7.82	5.72	7.58	12.38	51.24	35.24	18.82
Ppp4r1l-ps	0.0	1.51	0.0	0.69	0.15	0.81	1.34	3.72	8.55	0.93
Ranbp3l	0.0	10.91	0.0	1.11	2.21	3.58	4.11	19.28	95.96	2.54
Trim27	0.08	8.14	0.0	2.0	1.09	5.84	3.03	17.95	11.41	6.83
Veph1	0.22	9.55	0.0	4.89	2.77	6.44	5.84	11.82	2.13	3.38
Zmym1	0.0	116.04	0.0	0.3	3.6	0.0	43.82	75.83	153.83	0.0
