	Ctgf_tdTpositive_cell_3	Cux2_tdTnegative_cell_12	PvalbF.Gad2_tdTpositive_cell_76	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1600014C10Rik	0.0	0.0	0.0	21.99	22.96	19.59
1600015I10Rik	0.0	0.0	0.0	0.04	0.0	0.04
1700001K23Rik	0.0	0.0	0.0	0.22	0.2	0.22
1700003L19Rik	0.0	0.0	0.0	0.14	0.0	0.14
1700009J07Rik	0.0	0.0	0.0	0.11	0.0	0.11
1700061J05Rik	0.0	0.0	0.0	0.11	0.0	0.11
2410004P03Rik	3.77	0.0	2.09	5.25	5.57	6.2
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4930455B14Rik	0.0	0.0	0.0	0.09	0.0	0.09
4930528F23Rik	0.0	0.0	0.0	0.06	0.0	0.06
4930544D05Rik	0.0	0.0	0.0	0.16	0.0	0.16
4930555B11Rik	0.0	0.0	0.0	0.07	0.0	0.07
4931423N10Rik	0.0	0.0	0.0	0.22	0.2	0.22
9230102K24Rik	0.0	0.0	0.0	0.15	0.14	0.16
9230104L09Rik	0.0	0.0	0.0	0.16	0.0	0.16
9430008C03Rik	3.37	1.77	1.89	9.17	8.49	9.03
9930104L06Rik	0.0	0.0	8.64	14.26	15.43	14.11
AU022754	0.0	0.14	2.21	3.34	3.02	3.41
Abt1	0.0	4.93	16.27	22.11	20.46	22.73
Adamdec1	0.0	0.0	0.0	0.04	0.0	0.04
Akr1c12	0.0	0.0	0.0	0.08	0.0	0.08
Amy2a2	0.0	0.08	0.0	0.26	0.19	0.21
Amy2a3	0.0	0.08	0.0	0.26	0.19	0.21
Amy2a4	0.0	0.08	0.0	0.26	0.19	0.21
Apob	0.0	0.0	0.0	0.01	0.0	0.01
B230206H07Rik	0.0	0.29	0.08	2.4	3.11	4.05
Blk	0.0	0.0	0.0	0.04	0.04	0.04
C030023E24Rik	0.0	0.0	0.0	20.03	14.92	17.8
C77080	0.0	0.0	0.0	11.13	11.47	11.18
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Capn13	0.0	0.0	0.0	0.04	0.0	0.04
Ccdc85a	0.0	0.11	4.57	32.38	31.89	32.47
Ccr3	0.0	0.0	0.0	0.03	0.0	0.03
Ceacam15	0.0	0.0	0.0	0.07	0.0	0.07
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Clec12b	0.0	0.0	0.0	0.07	0.0	0.07
Cyp3a57	0.0	0.0	0.0	0.06	0.0	0.06
Dnajc5b	0.0	0.0	0.0	0.11	0.0	0.11
Dspp	0.0	0.0	0.0	0.11	0.1	0.11
Dynlt1a	0.0	0.0	0.0	6.63	10.05	17.35
Efcab4b	0.0	0.0	0.0	2.12	2.0	2.09
Fads3	0.0	0.0	1.87	24.08	27.45	23.49
Fmo4	0.0	0.0	0.0	0.06	0.0	0.06
Fndc3c1	0.0	0.0	0.0	0.02	0.0	0.02
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Gm12633	0.0	0.0	0.0	0.06	0.0	0.06
Gm1647	0.0	0.0	0.0	0.14	0.0	0.14
Gm4745	0.0	0.0	0.0	0.08	0.0	0.08
Gprc5b	0.0	0.0	0.0	76.52	88.16	92.21
Gtf3c1	0.0	0.0	5.0	58.52	62.72	61.66
Gzma	0.0	0.0	0.0	0.12	0.0	0.12
Hal	0.0	0.0	0.0	0.04	0.0	0.04
Hdgfrp2	0.0	0.0	0.0	69.64	80.22	74.92
Hecw1	0.0	0.05	1.66	28.69	23.52	28.92
Hemgn	0.0	0.0	0.0	0.04	0.0	0.04
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Kctd19	0.0	0.0	0.0	0.03	0.0	0.03
Kel	0.0	0.0	0.0	0.04	0.0	0.04
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Kif3c	0.0	0.0	20.78	111.23	112.9	114.1
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lect2	0.0	0.0	0.0	0.12	0.0	0.12
Lipm	0.0	0.0	0.0	0.11	0.1	0.11
Lrrc14	0.0	0.0	0.0	24.19	24.07	23.05
Ltf	0.0	0.0	0.0	0.04	0.0	0.04
Mesdc2	0.0	0.0	2.44	23.31	25.03	25.15
Mios	0.0	0.0	0.0	18.47	15.78	17.51
Msh3	0.0	0.0	0.0	14.98	14.14	15.57
Muc4	0.0	0.0	0.0	0.02	0.0	0.02
Myog	0.0	0.0	0.0	0.07	0.0	0.07
Ncr1	0.0	0.0	0.0	0.07	0.0	0.07
Nfya	0.0	0.0	0.0	16.66	14.68	18.19
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nox4	0.0	0.0	0.0	0.06	0.0	0.06
Obox5	0.0	0.0	0.0	0.15	0.14	0.16
Olfr1420	0.0	0.0	0.0	0.11	0.1	0.11
Olfr15	0.0	0.0	0.0	0.11	0.0	0.11
Otx2os1	0.0	0.0	0.0	0.14	0.0	0.14
Prps1l1	0.0	0.0	0.0	0.06	0.0	0.06
Prss8	0.0	0.0	0.0	0.64	0.4	0.17
Raet1d	0.0	0.0	0.0	0.16	0.0	0.16
Rnase13	0.0	0.0	0.0	0.17	0.0	0.17
Rnf187	0.0	0.0	50.16	373.18	417.68	414.67
Sct	0.0	0.0	0.0	0.21	0.0	0.21
Sesn2	0.0	0.0	0.0	10.86	11.87	9.1
Slc4a1	0.0	0.0	0.0	0.02	0.0	0.02
Slco6c1	0.0	0.0	0.0	0.04	0.04	0.04
Slfnl1	0.0	0.0	0.0	0.06	0.0	0.06
Snph	0.0	0.0	6.8	167.43	174.0	180.8
Sox12	0.0	0.0	0.0	14.37	15.49	16.19
Tac4	0.0	0.0	0.0	0.08	0.0	0.08
Tas1r2	0.0	0.0	0.0	0.03	0.0	0.03
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tcstv1	0.0	0.0	0.0	0.12	0.0	0.12
