	Ctgf_tdTpositive_cell_2	Cux2_tdTnegative_cell_13	Nkx2.1_tdTpositive_cell_12	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_14	Pvalb_tdTpositive_cell_16	Pvalb_tdTpositive_cell_18	Pvalb_tdTpositive_cell_19	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_33	Pvalb_tdTpositive_cell_36	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_58	Pvalb_tdTpositive_cell_60	Pvalb_tdTpositive_cell_61	Pvalb_tdTpositive_cell_69	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_7	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_16	PvalbF.Gad2_tdTpositive_cell_19	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_12
1110038F14Rik	0.0	0.0	118.92	0.0	39.38	0.0	3.13	43.71	105.76	55.03	54.58	52.93	41.39	0.0	0.22	38.81	5.13	52.26	0.0	4.47	44.45	33.5	0.0	34.38	0.0	3.06	10.7	36.56	0.35	0.0
1190007I07Rik	0.0	0.0	67.99	0.0	0.0	0.0	0.0	0.0	2.23	0.0	0.0	58.91	0.0	0.0	79.91	0.0	43.53	0.82	35.96	18.86	0.78	0.0	9.3	44.87	0.0	35.15	1.92	16.38	1.7	0.0
1500011H22Rik	0.0	0.0	141.74	20.81	96.54	0.0	13.4	0.0	52.7	76.39	30.48	5.07	5.78	14.41	51.88	8.32	0.0	2.37	71.58	75.83	29.4	15.31	118.2	77.68	53.27	39.91	41.58	45.45	1.17	0.0
2210408I21Rik	0.0	0.0	72.16	4.73	33.76	0.0	0.0	0.35	66.97	67.66	54.88	25.89	0.0	36.09	0.0	60.74	0.0	0.0	0.0	0.17	14.19	0.0	8.07	15.64	16.33	50.9	0.0	0.0	0.43	0.0
3110040N11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.63	0.0	0.0	55.71	0.0	0.0	53.86	0.0	0.0	0.0	167.4	25.03	28.0	21.66	5.86	44.96	0.0	0.0	19.37	0.0	0.45	0.0
Akap6	0.0	0.0	34.78	17.13	23.2	47.77	12.31	4.72	67.92	10.87	1.35	57.95	16.19	23.61	78.66	26.19	1.23	28.11	77.25	40.29	19.67	42.23	5.85	37.08	6.22	10.09	7.37	17.86	0.21	0.0
Akt1	0.0	0.0	53.51	18.4	6.58	0.0	0.63	0.0	40.87	6.38	15.48	25.53	0.0	13.05	40.75	0.26	0.0	0.0	1.3	21.39	37.06	0.61	14.41	33.43	51.93	48.74	15.22	31.24	0.0	0.0
Ap3b2	0.0	0.0	103.29	3.19	28.96	0.0	0.0	28.06	28.71	31.03	39.46	14.8	1.59	15.09	50.01	11.06	3.12	62.79	10.8	29.67	32.11	36.51	145.25	46.4	0.34	43.25	41.89	73.66	0.1	0.0
Ap3m2	0.0	0.0	94.2	70.11	22.78	0.0	26.26	28.05	135.09	89.0	58.42	72.6	5.86	84.88	222.28	60.84	100.93	58.43	162.34	36.32	46.35	156.96	74.76	70.21	76.2	43.54	85.35	79.54	1.08	1.0
Bdh1	0.0	0.21	34.05	0.33	0.47	0.44	12.16	6.45	37.72	33.37	1.03	11.0	0.92	28.78	39.26	0.38	2.8	0.84	31.45	5.02	0.0	0.17	1.21	1.75	21.38	0.15	1.17	22.22	0.41	0.22
