	Chrna2_tdTpositive_cell_84	Ndnf_tdTpositive_cell_7	Pvalb_tdTpositive_cell_68	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001K23Rik	0.0	0.0	0.0	0.22	0.2	0.22
1700009P17Rik	0.0	0.0	0.0	0.98	1.93	1.61
1700061G19Rik	0.0	0.0	0.0	0.56	0.15	0.54
1700120C14Rik	0.0	0.0	0.0	1.87	0.47	1.9
2410004I01Rik	0.0	0.0	0.0	0.42	0.9	0.99
3110062M04Rik	0.67	0.0	0.0	2.24	2.95	2.58
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4930413F20Rik	0.0	0.0	0.33	1.8	1.25	0.71
4930419G24Rik	0.0	0.0	0.0	0.19	0.18	0.2
4930552P12Rik	0.0	0.0	0.0	0.12	0.04	0.33
6720483E21Rik	0.0	0.0	0.0	0.36	0.68	1.02
9630013A20Rik	0.0	0.0	0.0	3.42	3.68	3.88
9630033F20Rik	0.0	0.0	9.78	22.21	22.38	21.42
A230056P14Rik	0.0	0.0	0.26	23.66	21.59	19.52
AB099516	0.0	0.0	0.0	0.08	0.13	0.0
AW495222	0.0	0.0	0.0	7.64	6.64	6.52
Acly	0.0	0.0	6.27	111.13	110.2	109.44
Acss3	0.0	0.0	0.0	0.75	0.65	1.06
Arhgap11a	0.0	0.0	0.0	2.09	2.23	2.25
Arhgap31	0.0	8.11	0.0	9.94	10.09	10.81
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
BC031361	0.0	0.0	0.1	4.06	3.9	3.71
BC055324	0.0	0.0	0.0	1.29	1.35	0.96
Blk	0.0	0.0	0.0	0.04	0.04	0.04
C1rl	0.0	0.02	0.0	0.52	0.6	0.41
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Cacna1i	0.0	0.0	0.0	39.47	38.6	41.74
Car5b	2.89	0.71	1.16	3.69	4.18	3.91
Cbr4	0.0	0.0	0.0	18.33	16.59	17.71
Ccdc108	0.0	0.0	0.0	2.86	2.99	3.33
Ccdc137	0.15	0.0	0.0	18.66	19.85	18.68
Ccdc79	0.0	0.0	0.0	1.1	1.16	0.79
Ccdc96	0.0	0.0	0.0	1.34	1.45	1.27
Ccni	158.01	0.0	108.03	203.39	206.34	205.86
Ctnna3	0.0	0.0	0.0	1.32	0.95	1.54
Cyb5r3	0.5	0.34	1.54	60.4	61.39	61.69
D530049I02Rik	0.0	0.0	0.0	0.0	0.0	0.0
D630029K05Rik	0.0	0.16	0.0	0.09	0.13	0.24
Dhx29	0.0	0.0	0.0	17.2	16.3	16.78
Dok3	0.0	0.0	0.0	9.22	10.09	8.79
Dpp8	0.0	0.0	0.0	130.84	120.47	130.76
E130215H24Rik	0.0	0.0	0.0	0.88	0.94	1.36
Eci1	0.0	0.33	0.34	23.8	29.27	25.54
Ednrb	0.23	0.0	0.0	34.48	32.38	38.96
Efcab6	0.0	0.0	0.0	5.74	6.15	5.76
Esf1	6.73	0.0	0.83	13.93	11.64	14.54
Evi2b	0.0	0.0	0.0	0.47	0.37	0.39
Fam164c	0.0	0.0	0.0	1.99	1.75	2.06
Fam71f2	0.0	0.0	0.0	1.03	1.61	0.79
Fbxl19	0.0	0.0	0.0	56.65	56.33	54.78
Fbxo24	0.0	0.0	0.0	0.6	0.47	0.66
Fem1c	0.0	0.0	0.61	19.13	16.43	17.19
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Fut2	0.0	0.0	0.0	0.44	0.77	0.55
Galnt14	0.0	0.0	0.0	25.03	22.87	23.6
Gen1	0.0	0.0	0.0	0.96	0.85	1.18
Gm11149	0.0	0.0	0.0	0.54	0.52	0.63
Gm12522	0.0	0.0	0.0	1.7	1.15	1.67
Gm13476	0.0	0.0	0.31	4.17	4.28	4.75
Gm5617	0.0	0.0	0.0	4.12	5.74	6.97
Gm7173	0.0	0.0	0.0	0.35	0.13	0.32
Gm8300	0.0	0.0	0.0	0.0	0.0	0.0
Gna14	0.0	0.0	0.0	0.23	0.16	0.21
Grhl2	0.0	0.0	0.0	0.2	0.13	0.18
H2afy3	0.22	0.0	0.0	0.05	0.08	0.0
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hoxc8	0.0	0.0	0.0	0.04	0.04	0.09
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Igsf6	0.0	0.32	0.0	1.49	1.53	1.71
Iqcd	0.0	0.0	0.0	2.09	1.52	2.09
Isg20	0.0	0.0	0.0	0.84	0.54	1.41
Kcnb2	0.0	0.0	0.0	7.42	6.12	7.86
Kcnh6	1.61	0.0	0.0	1.73	1.89	2.07
Kcnh8	0.0	0.0	0.0	0.24	0.39	0.42
Klhl12	2.47	0.0	0.0	33.49	32.04	32.28
Klhl26	7.94	0.0	0.0	47.35	50.31	46.63
Leng9	0.0	0.0	0.0	9.54	11.2	10.88
Lin28b	0.0	0.0	0.0	2.45	2.41	2.42
Lnx2	0.0	0.0	0.1	3.85	4.21	4.08
Lrrc39	1.43	2.73	0.84	2.73	1.93	3.07
Mgmt	0.0	0.0	0.0	1.0	1.64	0.9
Mir181b-2	0.0	0.0	0.0	0.0	0.0	0.0
Mir466f-2	0.0	0.0	0.0	0.0	0.0	0.0
Mosc2	0.0	0.0	0.0	49.26	52.45	53.08
Nacad	0.17	0.0	0.0	23.93	26.13	24.89
Nacc1	0.0	0.0	0.24	71.08	73.02	74.58
Neo1	0.0	0.0	0.05	43.16	40.98	43.19
Nid1	0.0	0.06	0.0	4.27	4.47	4.13
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nrg1	0.0	0.0	0.0	6.55	5.99	6.51
Nxt1	0.0	0.0	0.0	15.3	12.05	11.47
Odz1	0.0	0.0	0.0	13.1	10.62	12.45
Phactr3	18.27	0.0	1.56	66.7	67.73	71.18
Pih1d2	1.02	0.0	0.0	2.26	2.1	1.82
Pik3ip1	0.0	0.0	0.0	29.87	39.69	32.65
Plaa	0.0	0.0	0.0	17.38	15.98	17.12
Plekhg3	0.0	0.03	0.0	8.05	8.4	11.0
Plod2	0.0	0.0	24.92	4.42	4.02	4.12
Pmfbp1	0.0	0.0	0.0	0.32	0.35	0.21
Poc5	0.82	0.0	19.23	28.43	27.96	26.23
Pold1	0.0	0.0	0.0	5.06	5.01	5.34
Ppfia3	0.4	0.0	0.0	109.04	115.42	111.21
Ppp1r12c	0.0	0.0	9.19	87.06	89.41	88.48
Prdm8	0.0	0.11	0.14	28.2	33.99	26.7
Prkd3	0.0	0.0	0.0	10.1	9.25	10.61
Prnd	0.0	0.0	0.0	0.18	0.41	0.1
Prss53	0.0	0.0	0.0	3.07	3.26	3.04
Qsox2	0.0	0.0	0.0	20.22	20.53	20.87
Rad50	0.0	0.0	0.0	8.67	6.88	8.21
Rhou	0.0	0.0	25.4	32.02	36.28	32.18
Ribc2	0.0	0.0	0.0	0.36	0.23	0.31
Riiad1	0.0	0.0	0.0	4.28	5.9	4.08
Rnf17	0.0	0.0	0.0	0.49	0.31	0.67
Rnpepl1	0.0	0.0	0.0	24.31	28.57	26.98
Rsad2	0.0	0.0	0.0	0.83	0.76	0.99
Scn7a	0.0	0.0	0.0	2.25	1.87	2.05
Sema4g	0.38	0.0	0.0	15.72	16.16	16.98
Serpinb6c	0.0	0.0	0.0	0.31	0.22	0.24
Shkbp1	0.0	0.0	0.0	14.05	13.42	13.35
