	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_18	Cux2_tdTpositive_cell_32	Ndnf_tdTpositive_cell_20	Nr5a1_tdTpositive_cell_5	Rorb_tdTpositive_cell_24	Rorb_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_49	Slc17a6_tdTpositive_cell_18
2210408I21Rik	0.0	111.71	145.54	0.0	0.15	1.53	0.0	42.25	62.18	100.05	0.0	0.0
2410001C21Rik	0.0	241.18	469.2	0.0	160.19	33.01	110.49	268.72	149.43	115.44	0.0	96.07
2410021H03Rik	0.53	2.85	5.93	0.0	2.42	2.85	0.0	0.0	0.46	0.0	0.0	112.53
2900052N01Rik	0.0	0.16	0.54	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4632427E13Rik	0.0	124.87	168.42	0.0	0.0	0.0	0.0	0.0	111.91	0.0	0.0	127.99
4921513I03Rik	0.25	6.56	5.39	0.0	4.57	2.45	1.27	0.81	2.99	0.0	0.84	3.88
4930507D05Rik	0.0	0.43	1.21	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0
8430419L09Rik	0.09	0.0	134.89	0.0	114.16	211.21	2.75	169.98	0.0	0.0	0.15	0.16
8430431K14Rik	0.2	1.23	1.21	0.0	0.07	0.0	0.29	0.46	0.29	0.0	0.0	0.17
A330023F24Rik	6.49	5.85	30.09	0.0	0.0	2.25	7.74	57.19	0.0	0.0	5.43	78.36
Acot8	0.0	203.79	196.95	0.0	111.82	0.19	0.0	57.8	0.0	0.0	0.0	0.0
Amy2a2	0.0	0.07	0.71	0.0	0.19	0.15	0.23	1.4	1.27	0.07	0.0	0.38
Amy2a3	0.0	0.07	0.71	0.0	0.19	0.15	0.23	1.4	1.27	0.07	0.0	0.38
Amy2a4	0.0	0.07	0.71	0.0	0.19	0.15	0.23	1.4	1.27	0.07	0.0	0.38
Astn1	11.98	100.57	101.94	0.0	86.08	0.12	78.83	65.02	171.86	5.73	0.0	8.95
C030046I01Rik	227.9	395.14	683.21	4.16	42.6	166.28	104.17	248.58	259.87	33.83	15.61	164.42
C230091D08Rik	101.46	198.61	296.36	7.26	11.7	12.29	45.48	114.1	82.5	0.22	19.2	23.4
Camk1g	223.24	230.43	277.54	0.0	0.16	237.75	161.78	5.78	0.0	21.0	0.0	0.0
Cdk10	196.34	366.96	200.51	0.0	0.12	162.17	15.41	1.54	0.42	190.09	0.0	156.2
Clstn2	0.0	92.78	115.83	0.0	0.0	0.1	40.38	42.53	41.59	0.08	0.0	35.25
Dclre1c	50.57	175.55	216.2	19.35	25.25	42.88	20.35	57.93	41.68	12.61	117.67	61.84
Dpcd	0.0	314.43	185.6	0.0	309.25	0.56	54.29	121.07	136.5	221.5	0.0	237.88
Eif2b4	101.6	219.38	230.66	0.0	0.0	1.72	31.98	8.56	0.0	0.0	26.99	56.42
Eif2c3	0.0	0.0	52.15	0.0	0.12	15.96	0.0	5.98	0.0	0.0	0.0	0.11
Fam48a	0.0	157.96	162.32	0.0	0.1	0.27	14.72	14.34	0.0	0.0	0.66	0.0
Fbxw11	137.97	187.36	144.02	0.0	0.0	0.44	1.36	44.04	206.03	0.0	24.51	0.0
Fgd4	0.0	45.04	61.34	0.0	0.08	0.0	0.05	0.11	0.0	0.0	0.27	24.46
Fryl	0.0	35.96	24.46	0.0	4.53	0.01	0.08	0.03	0.06	0.0	0.0	0.06
