	Cux2_tdTpositive_cell_68	Gad2_tdTpositive_cell_21	Nos1_tdTpositive_cell_26	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_68	Ntsr1_tdTpositive_cell_69	Ntsr1_tdTnegative_cell_31	Rbp4_tdTpositive_cell_5	Rbp4_tdTpositive_cell_94	Rbp4_tdTpositive_cell_139	Slc17a6_tdTpositive_cell_24	Vip_tdTpositive_cell_13	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32
1810026B05Rik	0.0	0.0	43.13	4.59	0.35	4.34	10.88	6.53	0.0	5.65	51.61	2.13	0.0	0.0	0.06	0.0	0.0	0.86	10.54	9.54	10.06	9.78	11.51	9.0	8.51	4.46	9.96	11.13	7.95	2.5	1.65	0.0	0.92	4.71	3.84
2210404O09Rik	0.0	0.0	0.0	0.0	2.73	0.12	24.73	0.17	37.72	0.26	104.26	0.95	1.88	0.0	5.34	0.0	0.0	0.0	12.56	3.89	13.6	4.75	22.63	21.39	10.01	16.49	11.46	8.09	0.0	0.0	0.57	0.2	2.14	4.63	0.0
2610528E23Rik	0.0	0.0	4.88	34.53	0.0	324.27	8.98	103.57	5.87	36.45	82.88	5.56	0.0	0.0	0.76	0.0	0.0	0.0	21.87	35.59	53.63	13.08	7.65	29.73	46.69	50.25	10.29	22.29	3.4	0.0	0.21	0.0	0.27	0.0	0.0
4930578N16Rik	0.0	0.0	0.0	0.0	0.0	2.82	0.0	38.53	0.0	13.27	34.64	0.0	0.0	0.0	2.03	0.0	0.0	0.0	8.09	2.51	1.35	1.58	16.32	0.0	4.19	2.78	6.44	4.88	7.17	0.0	0.0	178.51	0.0	0.0	0.0
Aarsd1	4.36	15.99	0.0	0.0	277.38	196.84	64.18	166.91	167.01	437.58	419.11	149.58	118.39	1.15	90.77	6.72	0.0	0.34	210.75	231.76	227.22	194.07	212.17	203.28	159.8	115.16	157.69	131.86	62.41	182.38	296.1	10.59	0.0	159.66	163.91
Arhgef12	31.63	0.28	9.0	0.07	22.3	34.52	6.85	35.29	1.19	27.45	54.98	0.1	35.98	1.12	0.79	11.13	0.0	0.59	21.29	5.21	7.77	17.31	9.35	7.87	8.64	12.04	10.4	10.07	1.82	0.0	27.16	0.0	4.2	9.18	44.24
B3galt1	26.34	0.05	69.69	0.0	17.32	27.81	0.0	52.32	0.0	107.2	60.53	0.0	53.52	0.1	0.23	259.38	27.99	0.15	108.16	59.46	59.54	63.57	85.8	41.21	70.7	63.72	112.9	124.49	18.17	27.73	6.31	2.36	0.0	8.17	34.18
C1qbp	0.0	0.0	0.0	98.11	43.13	2.29	0.0	0.0	0.0	0.0	77.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.74	4.43	31.95	32.58	20.96	30.51	27.51	4.94	10.04	8.02	67.6	0.0	3.65	0.0	0.27	56.71	96.46
Ccdc106	1.54	0.0	0.0	0.0	0.0	0.0	22.33	107.98	0.0	47.69	67.18	0.0	0.0	0.0	2.76	0.0	0.0	0.0	25.89	17.83	12.28	11.9	15.53	26.21	19.74	3.88	8.31	8.21	0.49	0.0	9.68	0.0	0.0	0.0	0.0
Ccdc46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.93	179.75	0.15	0.0	0.0	0.0	0.0	0.0	0.0	8.29	0.51	15.93	24.04	14.67	0.29	7.68	0.73	3.82	8.49	0.0	0.0	18.12	0.13	7.65	0.0	0.0
Col5a1	0.0	0.0	0.0	0.0	1.08	0.88	12.86	10.73	0.0	2.8	1.84	0.0	0.0	0.0	0.0	0.49	0.0	0.0	3.02	4.7	5.9	4.32	0.91	0.03	2.67	0.46	2.02	1.43	0.0	0.07	0.0	0.05	3.78	0.0	0.0
Cpd	0.0	0.0	0.0	0.04	0.03	0.46	12.52	25.06	0.04	43.02	19.9	5.61	0.0	0.0	0.0	35.34	0.0	0.0	11.04	6.2	12.93	7.2	11.68	5.83	4.06	1.21	4.85	6.31	8.34	1.43	17.06	0.0	3.15	5.43	0.0
Eaf2	3.99	0.0	6.86	0.0	1.91	0.0	3.61	2.92	4.38	13.2	23.82	1.21	0.41	4.93	0.0	15.8	8.94	0.0	4.62	5.34	3.41	3.07	6.29	4.54	8.55	1.37	3.53	4.72	0.0	0.19	5.14	0.0	0.0	0.0	11.54
Enpp4	0.38	0.0	0.91	0.0	0.0	0.0	0.0	0.0	0.0	49.2	59.13	0.0	0.74	0.0	0.0	0.4	0.0	0.0	14.98	22.62	1.31	15.51	10.11	14.31	3.37	0.21	9.77	6.88	19.73	1.23	0.0	0.98	0.0	0.0	0.05
Flot2	0.0	0.0	5.32	0.0	1.46	56.72	0.31	0.3	0.0	105.0	34.56	0.2	0.0	0.0	75.72	0.0	0.0	0.17	51.15	42.62	13.46	11.15	30.15	17.42	37.81	41.4	32.48	26.91	2.97	0.0	10.06	0.0	153.99	3.32	1.15
