	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_11	Gad2_tdTpositive_cell_13	Gad2_tdTpositive_cell_74	Htr3a_tdTpositive_cell_85	Ndnf_tdTnegative_cell_1	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_33	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_78	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_37	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_48	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_52	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_55	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_64	PvalbF.Gad2_tdTpositive_cell_65	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_73	PvalbF.Gad2_tdTpositive_cell_76	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51	Rorb_tdTpositive_cell_47	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_12
0610010B08Rik	0.0	0.24	0.0	10.16	0.03	0.28	8.8	5.85	0.0	0.0	48.31	0.45	45.53	1.11	12.26	1.56	8.58	28.14	15.71	13.5	4.46	14.76	22.01	10.96	2.35	11.07	16.27	9.06	15.46	12.05	5.5	15.13	0.26	0.47	16.35	6.95	14.55	49.97	26.52	11.65	60.83	6.92	43.27	29.79	15.5	47.55	34.07	35.95	57.4	53.74	41.86	36.62	39.96	7.16	0.49	1.55	0.25
Armcx1	0.0	55.21	0.0	0.0	40.97	142.03	296.49	0.0	0.0	0.0	103.51	487.75	273.64	95.99	121.3	425.29	142.59	298.8	219.3	263.95	129.64	192.51	155.79	72.74	310.13	466.47	128.55	55.44	206.57	256.49	287.18	167.68	16.56	166.67	342.32	257.41	292.08	118.24	366.34	202.63	157.25	69.97	307.15	471.82	195.42	296.89	210.1	141.79	347.09	320.91	264.98	328.73	306.9	197.33	0.74	0.51	0.0
Atp1a3	0.12	188.26	0.0	415.31	427.43	163.57	618.29	0.47	0.07	0.0	515.79	0.46	527.8	283.1	423.25	385.07	495.91	418.19	525.64	282.77	308.95	566.76	458.89	577.1	553.55	824.32	628.87	332.41	603.76	573.8	604.28	588.81	485.37	242.69	371.54	513.24	728.81	826.32	966.58	653.61	843.26	568.27	926.61	808.83	403.82	742.09	665.56	623.12	727.39	679.08	560.68	1318.82	771.94	753.93	0.32	1.6	0.0
B4galt6	98.03	0.41	1.39	10.46	0.05	22.64	45.32	1.4	0.79	1.93	24.18	1.89	25.62	24.23	15.24	12.24	45.49	55.75	6.58	43.0	8.95	16.9	10.19	19.96	33.73	51.31	49.08	7.79	44.62	14.06	43.73	23.92	68.12	33.79	38.38	17.64	74.51	42.69	33.43	130.15	53.71	46.76	31.96	77.69	34.93	53.76	34.32	23.07	62.59	42.91	51.36	47.37	53.13	8.57	0.74	2.66	1.27
Braf	0.0	4.15	47.82	72.02	146.05	183.27	229.62	0.37	0.0	229.57	34.3	0.18	75.6	42.11	42.57	109.82	84.08	115.76	127.16	111.24	76.16	111.88	66.44	119.59	45.51	203.88	50.8	52.08	45.6	80.62	63.89	37.8	98.22	86.37	51.59	26.75	105.53	156.86	265.74	113.87	72.16	183.79	140.63	131.9	35.15	143.11	65.41	186.07	128.49	76.15	158.2	103.76	133.73	39.48	0.25	0.34	0.0
Btbd3	1.92	13.95	0.0	13.52	22.41	8.9	195.5	0.0	0.06	0.0	54.59	0.96	126.06	61.01	152.8	154.62	88.86	256.08	174.68	132.95	7.34	128.89	71.2	40.81	117.85	195.65	8.36	16.38	119.14	137.66	103.84	189.47	129.56	46.94	134.96	46.88	176.02	100.05	181.65	64.29	195.99	65.12	119.31	134.0	194.41	134.2	199.24	138.21	181.41	139.28	139.29	323.04	249.85	236.92	0.0	0.24	0.0
Cacng2	0.0	0.0	0.0	3.55	0.0	1.58	47.46	0.0	0.0	0.0	13.06	0.0	7.18	2.76	8.29	7.46	14.67	6.83	9.76	2.1	1.38	16.4	2.06	4.38	3.64	5.52	9.59	2.13	7.54	10.22	3.4	3.37	6.33	11.22	2.32	5.0	10.96	9.59	28.43	5.39	13.94	23.38	3.74	12.19	12.74	24.9	15.64	20.57	12.38	6.8	9.54	20.56	21.23	3.43	0.0	0.51	0.0
Cadps	0.0	14.92	0.0	25.16	54.24	125.03	151.58	0.11	0.0	0.0	140.38	0.11	100.45	67.77	70.19	171.29	116.58	80.32	141.54	72.37	72.57	180.24	65.4	77.18	78.51	144.15	77.4	103.59	195.13	318.16	84.3	180.37	82.36	100.87	85.64	88.82	65.24	28.22	106.85	190.24	134.05	116.32	107.84	117.29	157.46	115.33	68.54	198.31	293.73	168.73	154.48	167.55	125.82	129.52	0.0	0.33	0.0
Cand1	0.0	0.03	0.0	14.23	12.08	0.0	12.33	0.0	0.03	0.0	32.94	0.07	24.92	4.25	21.06	65.98	49.23	20.68	46.12	13.03	7.19	48.27	32.94	15.04	16.1	25.28	20.26	3.08	27.65	39.93	36.7	6.07	13.72	5.96	26.11	45.36	37.05	18.26	53.41	18.61	74.98	30.2	17.14	66.8	102.11	10.97	21.92	33.13	37.66	26.8	38.89	21.98	45.1	26.2	0.05	0.13	0.0
Cnnm1	0.0	1.32	0.0	0.0	0.32	64.14	6.72	0.0	0.0	0.0	26.45	0.12	33.53	25.63	41.51	87.49	59.13	17.69	30.69	41.34	20.7	37.38	18.12	4.61	6.2	30.63	20.87	0.4	37.23	14.25	24.8	54.02	10.44	18.65	0.53	12.87	29.76	60.36	42.7	43.59	89.49	51.66	64.43	72.25	68.95	25.28	34.56	23.82	14.86	15.77	30.46	48.71	32.56	21.87	0.0	0.07	0.0
Dnajc6	0.0	12.2	0.0	20.93	19.68	5.42	213.6	0.0	0.05	0.0	49.08	0.12	72.47	48.8	51.87	98.57	44.09	31.7	53.05	21.92	40.45	44.01	23.03	62.44	53.83	91.72	74.96	5.68	54.9	25.59	34.17	52.43	26.02	30.19	51.57	36.68	48.79	93.22	73.6	90.73	51.8	41.14	79.39	68.57	107.57	125.36	76.76	2.91	92.59	62.55	88.3	19.56	68.1	29.94	0.16	1.0	0.0
Egln2	0.0	0.0	0.0	5.52	0.0	0.0	34.5	0.0	0.0	0.0	0.6	0.29	8.78	0.81	1.6	6.62	38.12	0.0	51.32	5.33	0.0	0.62	0.66	2.31	0.0	36.21	24.84	0.33	0.34	22.43	44.48	28.62	0.0	27.56	0.21	0.0	0.0	0.0	35.96	5.04	24.49	24.91	29.56	10.39	0.18	46.01	10.45	0.56	0.19	11.74	2.52	18.17	22.57	0.37	0.0	0.18	124.38
