	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_7	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_47	Gad2_tdTpositive_cell_55	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_4	Ntsr1_tdTnegative_cell_17	Ntsr1_tdTnegative_cell_21	Ntsr1_tdTnegative_cell_27	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_78	Pvalb_tdTpositive_cell_85	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_73	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_2	Tac2_tdTpositive_cell_6	Tac2_tdTpositive_cell_8
2010305A19Rik	0.0	0.0	0.0	0.0	0.0	17.36	0.0	0.0	1.14	0.0	0.0	0.0	26.76	0.0	29.66	22.24	47.18	0.0	49.96	0.0	59.49	18.1	14.54	0.0	43.31	0.22	0.0	38.4	0.0	0.0	40.14	29.55	32.63	0.0	12.37	0.0	0.0	0.12	35.51	0.0	37.46	43.84	56.62	28.59	28.23	0.28	0.0	42.32	78.98	68.38	34.86	53.67	95.75	63.23	0.0	0.0	21.51	21.89
2310016M24Rik	375.48	48.13	292.02	0.0	766.66	173.09	260.81	0.0	485.02	413.29	0.0	280.02	636.25	458.83	529.94	298.03	606.3	766.96	534.49	448.04	376.54	768.69	601.66	396.37	569.63	518.94	742.87	222.38	442.97	351.97	679.19	603.87	295.52	544.13	659.87	234.25	383.63	613.3	548.27	675.25	531.31	627.87	563.12	349.69	688.74	291.54	557.28	997.24	1078.53	443.9	586.88	600.53	580.13	498.71	0.0	0.0	272.65	238.64
2810025M15Rik	0.0	222.34	0.0	0.0	127.77	0.0	0.5	0.0	29.59	0.0	0.0	0.0	90.86	121.36	257.11	46.51	37.63	28.52	165.65	88.7	0.72	43.83	162.75	110.82	23.58	54.19	111.81	26.77	109.46	128.28	35.94	90.4	0.32	125.5	100.22	126.47	98.63	30.03	48.67	17.23	294.08	102.26	217.95	75.39	0.0	34.64	0.0	98.45	142.46	74.35	0.0	77.84	0.0	35.14	0.0	0.0	54.78	109.83
AI836003	0.0	0.0	0.0	0.0	118.02	2.79	33.67	0.0	0.18	0.0	0.0	0.0	28.1	70.08	101.5	51.9	33.24	15.6	123.24	0.23	7.88	21.92	59.59	95.17	34.3	113.14	255.74	123.62	111.64	30.91	191.91	7.65	147.96	17.68	15.87	42.61	0.0	48.91	76.11	92.68	61.13	139.95	192.74	12.76	147.0	74.11	11.01	206.63	98.85	35.33	96.94	137.25	116.74	7.12	0.0	0.0	0.0	53.49
Arpc5l	0.0	151.59	0.0	0.0	101.25	46.65	55.19	0.0	175.43	0.0	0.0	0.0	68.84	276.07	94.4	78.26	113.7	138.53	298.32	6.59	204.53	107.22	158.39	207.13	87.5	89.36	116.75	155.23	164.44	77.19	162.77	225.35	12.63	147.24	139.68	39.99	108.58	73.35	66.35	66.8	90.72	115.42	162.97	30.21	214.77	77.73	60.34	46.54	169.49	105.71	84.03	45.26	58.41	194.38	0.31	0.0	0.0	91.76
Cacna1a	0.0	0.0	0.0	0.0	4.66	3.13	0.0	0.0	2.23	0.0	0.0	0.0	3.01	0.44	0.16	0.97	4.72	1.63	5.28	0.83	1.9	1.29	0.6	1.31	2.38	1.82	10.02	0.08	5.43	4.44	1.45	1.25	2.88	0.13	2.26	0.59	1.45	4.16	0.82	3.13	4.71	1.85	5.14	1.05	2.26	1.31	3.87	2.75	7.19	7.25	1.24	1.14	0.36	11.05	0.0	0.0	0.0	1.24
Cnnm1	0.0	1.32	0.0	0.0	70.89	25.83	29.1	0.0	24.2	0.0	0.0	0.0	33.53	11.15	25.63	41.51	55.6	87.49	53.83	15.63	59.13	39.08	17.69	30.69	41.34	15.85	28.56	29.59	37.38	0.15	18.12	32.27	4.61	6.2	30.63	20.87	10.27	0.4	37.23	14.25	24.8	54.02	33.8	10.44	56.95	16.12	46.35	18.65	44.86	27.34	50.16	12.87	14.86	21.87	0.0	0.0	25.81	85.73
Eif5a	0.0	15.09	0.0	29.65	29.46	59.48	56.35	0.0	156.69	2.1	2.44	0.0	167.76	207.89	42.29	114.68	104.68	125.49	200.12	238.49	150.71	361.15	94.86	146.33	149.03	148.32	37.34	124.22	148.1	8.47	405.51	143.95	94.81	304.91	194.05	127.6	51.75	83.47	171.03	226.79	227.76	145.27	224.96	94.53	206.4	287.33	114.08	46.01	114.57	18.37	282.9	170.29	163.76	205.63	12.51	0.0	40.57	36.18
Eml2	0.0	0.0	0.0	0.0	5.08	0.0	5.63	0.0	0.37	0.0	0.0	0.0	31.68	5.93	0.0	0.43	18.09	1.72	45.26	31.07	2.96	0.28	1.06	32.39	7.68	5.42	30.52	0.53	41.94	5.84	1.23	26.51	4.86	9.61	22.7	30.82	0.28	1.98	16.25	2.34	18.04	0.83	49.9	0.0	4.62	3.02	14.27	0.24	5.34	4.98	11.18	2.82	0.18	8.15	0.0	0.0	1.5	0.87
Hs3st1	0.0	0.0	0.0	0.0	220.41	121.97	59.79	0.0	126.89	0.0	3.48	0.0	208.14	55.65	172.07	176.78	119.07	185.77	250.94	174.09	78.51	133.86	201.56	264.09	112.5	71.25	230.96	113.59	170.65	167.53	278.6	312.29	24.22	286.5	85.86	56.08	125.62	85.05	410.61	134.86	7.62	85.16	169.34	78.84	477.16	147.53	92.03	54.17	245.52	0.37	228.0	61.42	206.73	8.65	0.0	0.0	72.95	89.9
