	Calb2_tdTpositive_cell_19	Calb2_tdTpositive_cell_20	Calb2_tdTpositive_cell_34	Calb2_tdTpositive_cell_35	Calb2_tdTpositive_cell_41	Calb2_tdTpositive_cell_55	Calb2_tdTpositive_cell_56	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_24	Chrna2_tdTpositive_cell_47	Chrna2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_52	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_56	Chrna2_tdTpositive_cell_57	Ctgf_tdTpositive_cell_10	Gad2_tdTpositive_cell_23	Gad2_tdTpositive_cell_31	Gad2_tdTpositive_cell_44	Htr3a_tdTpositive_cell_41	Htr3a_tdTpositive_cell_48	Htr3a_tdTpositive_cell_59	Htr3a_tdTpositive_cell_65	Htr3a_tdTpositive_cell_71	Htr3a_tdTpositive_cell_80	Htr3a_tdTpositive_cell_88	Htr3a_tdTpositive_cell_104	Nr5a1_tdTpositive_cell_39	Nr5a1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_9	Ntsr1_tdTpositive_cell_11	Ntsr1_tdTpositive_cell_15	Ntsr1_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTnegative_cell_29	Ntsr1_tdTnegative_cell_32	Ntsr1_tdTnegative_cell_41	PvalbD.Slc32a1_tdTpositive_cell_10	PvalbD.Slc32a1_tdTpositive_cell_15	PvalbD.Slc32a1_tdTpositive_cell_42	Rbp4_tdTpositive_cell_54	Rorb_tdTpositive_cell_35	Scnn1a.Tg2_tdTnegative_cell_17	Scnn1a.Tg3_tdTnegative_cell_1	Sst_tdTpositive_cell_1	Sst_tdTpositive_cell_3	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_6	Sst_tdTpositive_cell_9	Sst_tdTpositive_cell_19	Sst_tdTpositive_cell_37	Sst_tdTpositive_cell_62	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_78	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_83	Sst_tdTpositive_cell_88	Vip_tdTpositive_cell_1	Vip_tdTpositive_cell_2	Vip_tdTpositive_cell_16	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_48	Vip_tdTpositive_cell_49	Vip_tdTpositive_cell_50	Vip_tdTpositive_cell_51	Vip_tdTpositive_cell_52	Vip_tdTpositive_cell_61	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_17	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_33	CAV_LP_Ipsi_tdTpos_cell_38	CAV_LP_Ipsi_tdTpos_cell_39
1110018G07Rik	5.75	0.0	1.07	0.0	0.1	64.13	0.0	0.69	18.04	0.0	52.72	0.0	17.91	13.3	1.6	0.0	0.0	0.0	215.76	65.33	0.0	0.29	0.0	0.0	0.0	0.08	0.0	54.94	188.8	98.19	48.28	49.48	39.15	36.33	13.44	0.9	55.65	0.0	0.0	33.0	0.0	0.07	0.0	35.97	0.06	40.37	2.43	0.06	0.16	0.12	5.4	0.0	6.36	12.52	60.73	0.0	0.0	2.44	25.35	7.74	13.44	1.83	0.0	0.6	0.0	156.75	0.0	0.0	0.0	62.37	0.0	0.0	0.2	23.11	33.15	50.12	30.62	27.31	16.68	32.4	8.6	47.69	33.97	32.25	7.83	19.91	0.05	7.72	0.44	90.73	1.44	0.72	37.08	0.08	0.0	10.97
1520402A15Rik	0.0	0.0	0.0	0.0	0.0	0.0	83.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.86	0.0	0.0	0.0	180.39	0.0	128.56	138.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.2	115.59	0.0	0.0	0.0	0.0	16.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	21.25	25.5	12.08	9.41	8.83	26.71	6.83	10.33	7.2	61.47	0.0	0.0	0.0	4.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930455F23Rik	304.45	0.0	154.65	0.0	0.0	0.0	0.0	0.06	0.0	0.0	3.11	0.0	54.43	0.0	0.0	130.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	140.87	0.0	0.0	109.31	60.33	0.0	0.0	2.65	3.37	0.0	0.0	0.0	2.43	0.0	0.0	0.0	0.0	114.62	0.0	0.0	73.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.68	3.46	26.42	0.32	0.0	159.1	0.0	0.0	0.0	0.0	239.46	0.52	0.0	215.95	0.0	0.0	17.58	48.43	40.89	35.99	35.04	38.91	65.37	63.72	44.35	53.81	11.22	0.0	0.0	0.0	31.51	6.15	309.47	116.06	0.0	127.82	0.39	0.0
4930539N22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.35	0.0	0.0	4.38	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.73	0.0	0.0	0.0	0.0	0.0	1.65	9.84	0.0	48.44	4.43	6.39	19.28	0.0	2.37	0.0	0.0	0.0	0.0	0.0	0.31	1.71	0.0	78.77	10.38	0.0	0.0	6.86	24.96	0.0	0.0	7.8	0.0	12.88	0.0	0.0	0.0	4.58	5.55	0.0	0.0	0.0	0.0	0.0	0.0	10.3	0.0	0.0	0.0	0.0	0.0	12.97	5.5	7.46	5.84	3.72	4.51	15.01	8.03	11.57	9.0	7.76	23.09	0.27	0.0	0.0	0.0	0.0	2.63	2.31	0.0	0.0	12.83
Actl6b	0.0	0.0	19.08	0.96	0.0	10.41	0.0	17.26	42.61	5.47	25.11	0.0	5.25	192.54	0.0	0.0	0.0	0.0	0.0	22.85	0.0	0.0	233.59	10.22	247.37	0.55	0.0	0.0	0.0	31.48	1.32	2.47	1.62	0.0	1.87	110.21	76.12	0.0	15.54	25.87	0.0	0.0	0.0	6.78	0.0	0.0	147.52	272.71	0.0	0.0	0.0	158.52	26.54	0.0	0.57	0.21	14.94	0.0	0.0	6.23	40.25	0.0	0.21	0.0	435.13	0.0	0.0	0.0	0.0	0.32	216.91	180.52	0.0	5.5	54.58	20.7	51.77	25.75	34.07	56.6	35.98	22.15	32.77	25.77	9.28	0.0	93.05	0.19	53.42	98.09	0.0	0.0	0.16	44.27	267.09	4.79
Adora1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.25	0.12	59.73	0.0	15.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	95.35	42.17	16.48	38.27	65.49	66.44	31.13	63.45	68.13	0.0	62.85	0.0	0.29	0.0	0.0	0.0	0.0	0.0	16.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	8.05	11.51	17.21	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.28	0.22	0.0	84.29	94.07	67.81	81.27	69.26	42.3	65.35	75.48	62.05	59.29	1.61	1.91	32.97	0.06	0.96	117.95	31.22	111.92	44.87	63.63	104.84	74.49
Akap11	12.34	73.0	84.49	32.17	127.8	49.2	62.4	37.38	37.96	0.07	0.06	36.88	7.48	0.22	13.3	11.64	2.34	0.0	22.1	35.95	36.47	0.03	205.13	43.97	6.68	0.0	0.07	116.3	126.79	11.05	30.99	0.23	37.13	26.48	61.3	47.3	0.31	19.55	0.0	2.47	0.0	72.79	0.4	7.43	5.39	1.81	34.2	12.31	0.12	0.0	41.76	31.52	15.38	32.13	3.08	0.79	56.03	6.07	6.36	29.51	25.11	21.54	12.91	43.23	4.59	1.39	0.38	0.27	47.07	63.28	62.53	23.58	14.8	0.56	19.86	18.12	27.02	26.23	17.09	14.31	16.34	17.66	22.32	19.76	9.78	9.49	66.04	0.95	68.19	10.87	56.84	44.73	51.69	76.97	52.72	0.3
Ap2s1	11.71	0.0	32.27	202.82	185.25	0.0	394.13	29.09	272.12	3.23	77.09	20.34	43.25	17.44	164.97	5.97	91.37	0.0	0.0	179.35	0.0	0.0	0.0	203.31	2.18	2.22	0.0	163.59	0.0	191.48	0.0	143.64	266.31	0.0	91.77	135.78	302.49	194.91	314.46	341.87	736.66	1.06	0.36	182.18	344.43	144.19	258.25	63.25	0.0	0.0	0.0	199.11	113.7	306.77	0.0	298.23	340.67	0.0	47.06	158.37	161.38	85.89	1.27	10.94	0.54	336.5	362.58	98.57	3.68	1.94	0.0	0.61	83.34	261.93	178.64	125.12	157.83	118.03	188.17	95.41	185.98	105.87	112.38	88.16	164.05	7.77	111.41	95.68	127.35	0.0	1.75	0.0	0.32	0.0	244.6	7.39
Appl1	170.36	1.61	7.28	35.22	0.0	3.18	45.51	1.28	28.78	0.0	43.12	109.67	1.99	10.86	9.64	9.64	0.0	0.0	0.03	28.45	0.04	3.12	16.38	0.58	0.35	43.88	1.51	0.0	0.0	20.07	20.93	46.38	5.75	31.41	52.99	1.86	12.83	48.93	8.19	32.59	0.0	6.48	0.0	0.69	36.72	2.39	49.36	50.57	0.08	0.0	0.0	19.68	28.68	0.47	37.94	0.05	0.29	27.18	29.66	3.15	8.53	5.57	29.76	121.12	1.16	0.08	0.0	0.0	0.0	0.0	6.87	45.43	9.01	0.0	32.6	26.9	27.57	34.67	39.21	31.99	21.69	30.22	28.16	28.31	17.68	6.28	39.34	49.07	0.03	0.04	0.06	0.0	0.28	33.97	125.08	1.76
Arhgap20	0.0	0.0	0.0	0.0	23.22	0.0	0.0	0.06	30.08	2.57	7.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64	0.0	2.42	3.22	0.0	6.48	23.25	0.0	32.23	17.63	5.51	10.32	0.0	0.0	18.98	0.97	10.32	0.0	0.0	0.0	0.0	0.84	14.65	124.94	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	8.06	0.0	0.0	0.0	0.27	0.0	0.05	85.75	11.4	56.66	0.0	0.0	0.06	0.15	0.15	0.07	0.0	0.12	9.75	6.61	10.68	5.66	3.92	14.67	9.32	11.76	10.84	9.7	10.66	1.41	72.76	0.0	29.93	0.0	0.0	0.05	29.03	49.97	0.0	114.05
