	Cux2_tdTnegative_cell_11	Sst_tdTpositive_cell_106	Vip_tdTpositive_cell_16	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700020L24Rik	0.0	0.0	0.0	1.96	3.69	1.69
1700110K17Rik	0.0	0.0	0.0	0.16	0.3	0.17
1700123I01Rik	0.0	0.0	0.0	0.0	0.12	0.19
2810442N19Rik	0.0	0.0	0.0	0.99	0.94	1.82
4921523A10Rik	0.0	0.33	0.0	1.11	0.55	0.51
4930588N13Rik	0.0	0.0	0.0	0.46	0.52	0.48
4931406C07Rik	0.0	0.0	0.0	18.78	20.25	19.23
9530051G07Rik	0.0	0.0	0.0	0.47	0.29	0.46
A530098C11Rik	0.0	0.0	0.0	0.28	0.0	0.0
A630020A06	0.83	0.86	0.77	2.52	2.18	2.94
AA543186	0.32	0.0	0.0	0.47	0.56	0.67
Akr7a5	0.0	0.0	0.0	23.99	25.78	25.58
Aldh2	0.0	0.0	0.0	74.65	73.82	71.96
Amy2a2	0.15	0.06	0.0	0.26	0.19	0.21
Amy2a3	0.15	0.06	0.0	0.26	0.19	0.21
Amy2a4	0.15	0.06	0.0	0.26	0.19	0.21
Aspdh	0.0	0.0	0.0	2.93	3.55	2.16
Astl	0.0	0.0	0.0	0.0	0.0	0.0
Atp6v1b1	0.0	0.0	0.0	0.15	0.1	0.0
Bcs1l	0.0	0.0	0.0	18.75	20.93	22.71
Birc5	0.99	0.18	0.0	2.05	2.35	2.26
C630020P19Rik	0.0	0.55	0.08	1.88	1.76	1.78
Card10	0.0	0.0	0.0	3.63	3.87	3.71
Ccdc61	0.0	0.0	0.0	8.43	9.34	10.03
Chit1	0.0	0.0	0.0	0.12	0.11	0.36
Cks2	0.0	0.0	0.0	2.22	2.51	2.75
Clec2h	0.21	0.0	0.17	1.14	0.58	1.44
Col22a1	0.0	0.0	0.0	1.31	1.26	1.34
Csnk1a1	6.45	9.42	0.0	245.55	230.34	231.46
D230037D09Rik	0.0	0.0	0.0	17.33	16.95	15.74
Ddx59	0.0	0.0	0.0	7.81	8.65	7.96
Derl3	0.0	0.0	0.0	2.77	1.62	1.24
Dlg4	27.26	0.52	0.0	535.98	535.3	542.17
E2f2	0.0	0.0	0.0	0.48	0.8	0.49
E530011L22Rik	0.0	0.0	0.0	5.6	6.32	7.42
Efcab5	0.0	0.0	0.0	2.45	1.59	2.41
Enah	13.79	0.0	0.0	49.84	46.77	51.64
Fbxo4	0.0	0.0	0.0	3.97	4.73	5.07
G630016D24Rik	0.0	0.0	0.0	1.07	0.69	0.85
Glt8d2	0.0	0.0	0.0	17.94	17.1	18.26
Gm14430	0.0	0.0	0.04	7.67	5.07	7.49
Gm14431	0.0	0.0	0.0	8.87	7.17	8.34
Gm14434	0.0	0.0	0.04	7.67	5.07	7.49
Gm15787	0.0	0.0	0.0	1.89	2.27	2.27
Gm16023	0.0	0.0	0.0	2.26	1.9	1.62
Gm16897	0.0	0.0	0.0	1.95	1.53	2.09
Gm2002	0.0	0.0	0.0	1.73	1.86	1.4
Gm20571	0.0	0.0	0.0	5.06	4.94	0.94
Gm3985	0.0	0.0	0.0	2.04	2.18	2.6
Gm4724	0.0	0.0	0.04	7.67	5.07	7.49
Gm5662	0.0	0.0	0.0	0.0	0.0	0.0
Gm8898	0.0	0.0	0.0	8.87	7.17	8.34
Gpr125	0.0	0.0	0.0	11.86	12.81	12.45
Gpr162	0.0	0.0	8.68	148.73	153.94	159.75
Hinfp	0.0	0.0	0.0	13.58	13.96	15.57
Hist1h1e	0.0	0.0	0.0	2.01	1.66	1.91
