	Chrna2_tdTpositive_cell_54	Chrna2_tdTpositive_cell_56	Ndnf_tdTpositive_cell_20	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700008F21Rik	0.0	0.0	0.0	0.67	0.54	0.33
2210021J22Rik	0.0	0.0	0.0	15.84	16.64	17.35
2310003C23Rik	0.19	0.09	0.0	44.64	43.83	43.42
2810008D09Rik	0.0	0.0	0.0	42.36	49.35	59.25
4833417C18Rik	1.03	0.51	0.0	1.42	1.51	1.48
4933421O10Rik	4.06	2.79	1.94	13.43	11.32	13.93
Abcd3	5.07	0.0	0.0	59.09	55.77	55.52
Acot11	0.73	0.0	0.0	18.55	16.97	18.44
Adap1	0.0	0.0	0.0	195.41	208.11	199.98
Ap1s1	351.32	273.17	0.0	347.42	348.88	343.06
Apoa1bp	0.28	0.0	0.0	81.09	82.82	85.27
Arhgef25	0.0	0.0	0.0	162.76	176.05	166.66
Arid1b	0.68	20.72	0.0	20.92	20.89	22.57
Atp13a1	0.0	0.0	0.0	33.43	34.23	35.3
Bgn	0.0	0.0	415.85	13.01	13.43	13.67
C86187	0.0	0.0	0.0	0.25	0.13	0.4
Cbx6	28.09	2.17	0.0	221.26	219.29	227.16
Ccdc105	0.0	0.0	0.0	0.23	0.54	0.6
Ccdc71	0.0	0.0	0.0	18.31	21.14	20.18
Ccl21b	0.0	0.0	0.0	12.41	17.98	0.96
Chfr	0.0	0.0	0.0	30.94	29.98	30.43
Chic2	0.0	0.0	0.0	15.44	17.01	14.17
Clstn3	8.57	81.02	0.0	267.26	260.8	270.08
Clta	5.38	0.0	432.49	283.56	310.7	294.37
Coro6	0.0	0.0	0.0	47.85	45.52	53.63
D330023K18Rik	148.0	0.0	0.0	5.33	9.65	7.19
D930015E06Rik	0.0	0.0	0.0	9.95	10.61	10.15
Ddx24	65.45	110.41	118.74	149.38	158.51	141.15
Ddx28	0.0	0.0	0.0	12.79	14.15	12.66
Dst	2.79	5.23	0.0	86.74	75.28	94.07
Eea1	0.06	0.09	0.0	18.65	14.88	19.17
Ehbp1l1	0.59	0.23	8.42	16.25	17.76	17.77
Eif2c1	0.0	0.0	0.0	38.59	36.53	36.5
Etv5	0.0	0.0	0.0	79.74	73.83	71.38
Fam198b	0.66	0.03	0.0	4.49	3.5	4.54
Foxn2	0.0	0.0	0.0	9.89	9.27	9.58
Gjd4	0.0	0.0	0.0	0.19	0.11	0.25
Gnb1l	0.0	0.0	0.0	2.57	2.68	2.7
Gpr156	0.0	0.0	0.0	1.15	1.35	0.82
Grin1	0.0	0.61	0.0	389.58	403.6	404.44
Grk6	0.0	0.06	0.0	61.43	63.59	60.97
Gsto1	2.6	111.24	0.0	47.37	46.66	43.27
Hic2	0.06	0.0	0.0	4.56	4.67	4.6
Htra1	0.0	0.0	0.0	118.39	127.4	135.11
Huwe1	0.68	10.29	0.0	83.26	73.67	88.23
Ido2	0.0	0.0	0.0	1.83	1.78	1.72
Ifit2	0.0	0.05	0.0	6.64	6.45	7.55
Kcnj10	0.0	0.0	0.0	84.73	76.94	90.56
Kcnj16	0.27	0.1	0.0	14.84	14.96	14.83
Kidins220	0.03	30.34	0.0	146.05	137.39	144.07
Kif3b	0.0	7.22	0.0	47.95	45.71	48.37
Lpar3	0.0	0.0	0.0	0.36	0.26	0.46
Mib2	0.0	0.06	0.0	65.64	74.95	70.23
Myrip	0.0	13.89	0.0	42.5	41.89	43.13
Ncbp1	0.0	0.0	0.0	48.19	49.97	45.62
Nog	0.0	0.0	0.0	12.22	13.06	12.79
Nxt2	0.0	51.79	0.0	31.8	29.44	30.7
Oxsr1	0.0	0.0	0.0	31.87	31.34	33.79
Oxtr	0.0	1.25	0.0	4.28	4.5	5.75
Pafah1b3	0.59	0.0	0.0	17.06	14.09	12.3
Pcdh1	0.0	0.0	0.0	79.88	79.04	80.23
Pcdhac1	0.0	0.0	0.0	6.1	4.83	5.35
Pcdhgc5	0.0	0.0	0.0	114.38	115.99	121.96
Plekha6	8.54	11.24	0.0	47.56	44.89	49.5
Ppfia2	17.99	3.19	0.0	42.57	36.78	40.87
Ppp1r12a	1.65	0.21	0.0	56.86	50.73	59.08
Ppp3ca	199.16	16.64	226.88	928.33	877.89	905.1
Psg28	0.87	1.85	0.0	3.14	2.03	4.01
Ptprz1	0.03	0.0	0.0	65.78	60.39	76.37
Rab1b	0.0	12.35	0.0	158.54	173.27	167.43
Rasl11b	0.0	0.0	0.0	87.11	102.18	88.75
Rnf39	0.0	0.0	0.0	10.29	10.12	8.63
Rp1	0.0	0.0	0.0	0.07	0.09	0.03
Rph3a	0.25	114.47	0.0	260.55	249.44	277.37
Rsbn1	0.0	0.0	0.0	14.32	14.78	13.81
Slc1a5	0.0	0.0	0.0	2.58	2.9	2.7
Snx13	0.0	31.08	0.0	41.05	35.46	42.33
Snx30	0.0	0.02	0.0	20.11	19.75	19.6
Sqle	0.0	0.0	0.0	60.06	63.86	59.38
Srsf4	0.0	16.84	0.0	65.11	68.74	66.78
Stag2	0.54	0.0	0.0	27.89	25.9	28.12
Stt3b	2.02	33.09	0.0	65.68	64.99	63.55
Stxbp2	11.47	13.43	14.58	35.02	32.3	36.06
Syne1	61.09	22.81	0.0	190.06	173.19	193.72
Syt13	12.16	33.46	0.0	164.41	163.63	166.3
Tex11	0.0	0.0	0.0	0.18	0.2	0.09
Tll1	0.69	0.0	0.0	1.69	1.4	1.57
Tmprss11g	1.34	0.12	0.0	0.79	0.58	1.01
Tnrc6c	3.05	30.14	2.54	39.79	38.65	41.82
Trim56	0.0	0.12	0.0	3.55	3.52	4.14
Trmt12	0.0	0.0	0.0	5.77	5.33	6.13
Tsc1	17.37	0.14	0.0	33.56	31.77	34.93
Ube2z	0.0	0.45	18.77	57.01	57.34	55.41
Ubr2	0.0	0.0	0.0	37.12	36.47	37.59
Vgll4	0.0	0.0	0.0	22.35	20.03	22.6
Wipf3	0.0	0.0	0.0	86.45	99.02	90.36
Xrcc6	0.0	108.47	0.0	17.21	17.23	17.43
Zbtb20	0.0	0.0	0.0	6.49	3.6	9.75
Zcrb1	20.85	76.1	0.0	86.85	91.07	90.3
Zfp692	0.13	0.0	0.0	35.85	35.72	38.95
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
