	Calb2_tdTpositive_cell_53	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_7	Htr3a_tdTpositive_cell_85	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_9	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_78	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_67	Rbp4_tdTpositive_cell_51
1110067D22Rik	0.0	0.0	0.0	209.4	36.45	97.6	41.05	79.02	7.75	54.73	45.68	13.19	33.37	14.64	29.67	31.11	85.34	0.0
2900053A13Rik	0.41	0.0	17.2	148.37	50.87	36.27	21.4	23.74	15.11	15.43	10.06	14.6	116.9	75.34	7.44	26.89	61.65	12.9
Aars	0.0	0.07	0.0	135.33	24.05	45.44	32.65	67.3	89.16	18.8	56.81	20.47	35.67	49.97	42.92	44.56	112.25	80.96
Abcc8	0.0	0.0	0.0	67.89	0.0	0.0	0.1	0.0	0.0	0.0	0.0	26.29	0.0	0.0	0.0	6.33	5.47	37.12
Acbd5	0.0	40.9	232.69	294.98	20.34	29.88	37.72	23.6	63.52	4.85	77.49	27.14	44.04	19.76	1.34	48.2	45.41	49.39
Aff3	0.0	0.0	0.0	60.68	21.9	0.0	1.17	31.38	13.35	1.9	0.96	0.0	0.0	14.44	3.37	0.0	6.56	1.41
Alcam	6.62	0.0	0.0	260.44	60.35	32.76	47.58	75.07	67.57	21.37	13.48	32.97	106.68	19.34	96.21	156.55	158.19	141.97
Arhgap26	19.03	0.0	0.21	172.21	5.91	1.6	24.97	38.29	32.18	18.8	64.69	66.96	59.34	34.02	31.92	49.84	138.39	13.77
BC021785	1.23	0.0	0.49	15.7	0.0	28.67	0.0	3.41	0.0	10.92	15.59	1.28	0.49	3.44	2.69	3.18	1.72	1.95
Cadm4	0.0	0.0	0.0	38.26	0.12	0.0	0.0	2.99	10.91	3.13	0.0	3.07	0.0	0.0	5.79	9.42	0.0	0.18
Ccdc17	0.0	0.0	0.0	44.24	0.0	0.0	13.33	0.0	0.0	0.0	0.0	23.4	0.0	0.0	27.14	24.45	28.51	0.0
Ccdc59	0.0	0.0	0.0	230.11	25.56	69.02	51.54	35.62	47.95	31.11	125.76	28.96	22.39	82.27	22.75	100.77	28.86	83.3
Cdh7	0.0	0.0	0.0	255.7	11.02	35.32	160.05	143.37	147.36	92.37	100.83	0.0	31.28	120.01	170.16	54.61	94.77	21.09
