	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_99	Rbp4_tdTpositive_cell_155	Rbp4_tdTnegative_cell_4	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1500010J02Rik	0.0	0.0	61.89	0.0	23.98	24.56	23.93
1700007P06Rik	0.0	0.4	26.61	0.0	3.97	3.17	4.29
1700024B18Rik	0.0	0.0	13.93	0.0	0.25	0.0	0.0
2310046A06Rik	0.0	0.0	135.63	0.0	30.02	27.88	27.38
4833442J19Rik	0.0	0.0	174.8	0.0	3.51	4.32	4.25
5730412P04Rik	0.0	0.0	2.98	0.0	0.0	0.13	0.0
AU015228	0.0	0.0	0.41	0.0	0.0	0.0	0.0
Acadl	0.0	0.0	29.41	0.0	37.6	37.36	34.39
Acot10	0.0	0.0	78.92	0.0	0.33	0.16	0.35
Adap1	0.0	46.98	43.9	0.0	195.41	208.11	199.98
Akr1b10	0.0	0.0	152.93	0.0	18.49	20.45	18.32
Apobr	0.0	0.0	9.22	0.0	0.93	0.93	0.48
Apold1	0.0	0.0	43.02	2.2	7.34	5.87	2.69
Bai1	0.0	5.97	11.37	0.0	192.34	203.59	216.02
C030019I05Rik	0.0	0.0	80.17	0.0	6.12	4.57	6.59
C730002L08Rik	0.0	0.0	125.04	0.0	8.42	6.69	9.73
Ccdc38	0.0	0.0	3.89	0.0	0.64	0.6	0.9
Ccdc42	0.0	0.0	18.27	0.0	1.48	1.95	1.91
Cdh8	0.0	0.0	62.85	0.0	37.7	38.06	35.28
Cdh9	0.0	0.0	273.11	0.0	21.27	15.07	19.25
Chid1	0.0	0.0	101.8	0.0	31.8	32.99	30.25
Colq	0.0	0.55	68.41	0.0	0.86	0.95	1.2
Cpox	4.69	2.44	60.68	19.26	40.77	42.88	42.65
D2Ertd750e	0.0	0.0	3.82	0.1	1.01	1.01	0.82
Dopey1	0.0	0.07	34.06	0.0	20.62	18.0	19.29
Dpp3	0.0	0.0	41.55	0.0	34.57	35.73	34.78
Efna3	0.0	0.0	46.48	0.0	71.12	76.72	69.78
