	Calb2_tdTpositive_cell_53	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_12	Htr3a_tdTpositive_cell_85	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_77	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_16
1110001A16Rik	145.8	0.0	0.0	151.38	0.0	687.55	93.43	180.44	41.87	19.95	41.71	31.91	48.08	103.82	77.19	81.52	48.34	72.42	40.12	77.8	50.34	50.39	88.39	4.68	128.94	61.6	82.15	0.0
1810030O07Rik	1.77	2.95	3.01	140.78	3.85	7.79	0.41	3.09	2.76	11.24	34.06	1.74	40.81	15.52	8.7	57.13	2.03	3.21	2.7	0.57	2.0	16.45	38.42	62.48	40.31	76.09	3.56	0.24
Abca5	8.07	0.0	0.0	60.83	6.3	0.07	11.19	31.1	14.37	28.97	30.33	36.28	17.14	34.79	21.02	82.74	9.79	12.27	52.72	38.44	58.97	24.74	8.54	48.68	2.69	16.13	25.66	0.0
Abi1	0.0	0.0	437.91	190.95	0.0	0.18	0.0	0.0	12.66	21.45	68.86	26.27	30.22	40.04	25.67	114.98	9.96	5.07	0.0	34.73	57.16	30.68	74.84	39.71	0.0	157.2	100.11	0.0
Adam22	0.0	0.0	0.0	120.39	13.2	44.63	29.32	59.59	32.47	39.54	123.99	88.36	56.04	83.15	31.45	65.66	54.96	100.79	111.21	76.49	40.78	28.18	53.3	17.99	15.02	127.16	58.32	0.0
Aldh3a2	0.0	0.0	0.0	103.72	0.0	0.19	0.0	38.82	7.07	35.57	5.83	59.52	29.19	0.0	35.78	0.0	7.3	0.0	0.0	69.01	18.32	24.33	39.82	0.17	0.14	39.03	1.3	0.0
B230312A22Rik	0.0	0.0	0.0	66.79	0.14	0.2	0.82	62.65	0.11	19.74	3.3	0.63	0.0	0.9	0.0	43.89	0.0	0.12	0.62	27.46	22.72	0.64	0.0	2.5	1.79	12.63	0.0	0.0
Bcat1	0.06	0.0	0.0	142.97	0.0	0.08	41.42	61.89	123.62	77.19	83.61	66.56	83.07	48.04	137.9	139.48	131.33	39.28	145.52	115.22	111.05	71.13	66.81	21.52	154.01	78.83	97.57	0.0
Cadps	0.0	0.0	0.0	151.58	0.0	0.11	67.77	70.19	121.24	90.33	116.58	160.28	80.32	141.54	117.36	180.24	65.4	77.18	144.15	195.13	318.16	84.3	116.96	100.87	88.82	154.48	129.52	0.0
Cd164l2	0.0	0.0	0.0	185.76	0.0	0.0	83.48	10.58	97.86	1.15	90.28	134.15	53.36	41.79	0.63	42.43	0.0	124.18	5.18	107.09	41.02	116.25	147.34	8.53	158.64	50.48	0.0	0.0
