	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_62	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_80	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610040J01Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.72	4.35	5.98
1700028K03Rik	2.72	0.0	0.0	0.0	0.16	0.0	0.0	4.5	0.0	58.47	0.0	0.0	0.0	0.0	3.29	2.92	2.6
1700066O22Rik	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.22
2010011I20Rik	0.19	24.42	0.64	0.26	0.0	0.0	21.84	2.13	11.54	31.1	0.0	0.0	18.79	0.0	18.66	18.45	18.67
2210416O15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.29	1.01	1.0
2410018M08Rik	0.0	0.0	35.93	0.0	0.0	39.1	0.0	0.0	7.15	40.18	0.0	0.0	0.0	0.0	7.62	7.26	7.47
2610528A11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.04	0.0	0.0	0.0	0.0	0.54	0.38	0.84
4632428C04Rik	0.0	0.11	4.41	0.0	0.0	5.68	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.86	1.1	0.67
4930403N07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
4930467D21Rik	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.03	0.0
4930512B01Rik	0.0	0.0	0.0	0.0	0.0	21.5	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.83	0.49	0.79
4931440J10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.01	0.0	0.0	0.0	0.0	0.11	0.0	0.24
4933407L21Rik	0.0	0.0	0.0	0.0	0.15	26.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.76	4.13	5.16
4933425O20Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.22	1.91	2.74
5033404E19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.39	0.0	0.0	0.0	0.0	0.58	0.96	0.9
9430032N09Rik	0.0	2.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.79	0.08	0.0	0.0	0.0	1.27	0.86	1.77
Abca7	0.0	0.0	2.74	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.25	0.0	0.0	0.0	10.95	11.18	12.84
Acot12	0.0	0.0	0.0	0.0	0.0	7.57	0.0	0.0	0.0	43.3	26.74	0.0	0.0	0.0	0.2	0.3	0.24
Actn3	0.0	0.0	0.0	0.0	0.0	13.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76	1.04	0.76
Adamts2	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.55	5.22	5.21
Ahnak	0.0	0.0	0.0	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.31	5.91	5.79
Ang	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.66	0.0	0.0	0.0	20.89	3.53	2.49	2.13
Ankmy1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.14	0.31
Aoah	0.0	0.0	0.0	0.0	0.0	0.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.35	0.25
Arhgap10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.29	0.0	0.0	0.0	20.74	20.65	19.65
Arhgef33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.59	0.78	0.58
B020018J22Rik	0.0	0.0	0.0	0.0	0.0	0.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.23	0.43	0.18
BC021767	0.0	0.0	0.11	0.0	0.0	32.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.09	0.18
BC051537	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.11	0.24
Bend7	0.0	0.0	0.0	0.0	0.0	5.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.54	2.37	1.77
Bglap	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.58	0.36
Bglap-rs1	0.0	0.0	0.0	1.09	0.0	102.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.87	1.44	2.43
Birc3	0.0	0.0	0.0	0.0	0.0	40.02	0.0	0.0	0.31	0.0	0.0	0.0	0.0	0.0	1.81	1.77	2.39
Blk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
C030016D13Rik	0.0	0.0	0.0	0.0	0.0	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.54	0.31
Calhm1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Ccdc136	42.53	23.92	12.16	4.46	0.93	35.61	14.49	9.8	15.26	21.66	15.08	11.53	10.13	0.66	43.78	44.7	42.68
Ccdc146	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.27	0.48
Cd209g	0.0	0.0	0.0	0.0	0.0	0.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.18	0.0
Cd244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Cdkal1	0.0	11.01	5.26	13.39	7.81	5.78	0.0	26.58	98.68	7.41	7.68	12.28	4.98	4.32	8.6	9.39	8.72
Cenpk	0.0	0.0	0.0	0.0	0.0	50.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.04	0.91	0.77
Ces1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Cobl	18.08	0.0	0.0	1.13	5.19	32.85	10.04	0.0	0.0	11.16	2.2	0.04	0.26	3.58	51.91	46.22	51.07
Crabp1	0.0	0.0	0.0	0.0	0.0	206.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.15	4.56	2.71
Crlf3	0.0	0.0	1.35	0.0	0.0	0.0	0.0	0.0	14.46	0.0	0.0	0.0	1.5	0.0	13.6	14.66	11.01
Csf1	0.0	0.0	0.0	0.0	0.0	19.59	0.0	0.0	3.41	0.0	0.0	0.0	0.0	0.0	11.57	12.8	12.69
Csrp1	0.0	0.0	0.0	0.09	0.1	37.12	0.0	0.0	0.0	0.49	0.0	0.0	0.0	0.0	232.97	243.2	248.32
Cst11	0.0	0.0	0.0	0.0	0.0	5.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D630029K05Rik	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.13	0.24
D6Mm5e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Dcbld1	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	2.89	26.47	0.0	0.0	0.0	0.0	8.99	9.39	8.51
Ddx19b	0.0	0.0	0.0	0.04	0.0	3.46	0.0	0.0	0.0	3.6	0.98	0.0	0.0	0.0	19.6	17.52	18.66
Ddx23	0.0	0.0	0.77	0.0	0.06	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	59.87	59.77	55.88
Dhfr	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	8.54	0.0	0.0	3.51	0.0	1.96	2.17	2.12
Dyrk4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
F9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.1	0.15
Fam151a	0.0	0.0	0.0	0.0	0.0	13.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13
Fam203a	1.67	0.42	1.08	0.61	0.34	21.86	0.56	0.55	0.47	7.45	0.31	0.0	0.49	0.0	10.21	12.33	12.35
Fam83d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.09	0.0	0.0	0.0	0.0	1.4	1.57	1.04
Fhod3	0.0	6.08	3.23	0.0	4.69	2.09	9.15	0.32	0.0	35.01	3.91	8.37	1.24	0.66	31.94	31.54	32.71
Fmnl3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.72	0.19	0.0	0.0	0.0	9.18	8.12	9.88
Fras1	0.0	0.02	0.0	0.0	0.01	2.87	0.0	0.0	0.0	0.0	0.0	0.0	1.12	0.0	9.06	8.51	9.72
Fscn1	1.54	0.0	1.65	0.0	0.0	10.37	3.2	3.64	1.97	8.33	0.83	0.09	0.0	0.0	187.25	206.18	214.83
Gal3st1	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.51	16.57	16.38
