	Gad2_tdTpositive_cell_41	Ndnf_tdTnegative_cell_6	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_14	Pvalb_tdTpositive_cell_18	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_69	PvalbD.Slc32a1_tdTpositive_cell_9	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_30	Rbp4_tdTpositive_cell_51
1700021K19Rik	0.0	0.0	0.0	0.0	0.0	10.32	11.86	0.85	1.31	27.2	1.25	0.0	15.95	16.12	0.4
Abce1	0.0	0.0	59.71	72.13	0.85	47.95	120.2	32.5	94.06	104.05	60.9	27.05	14.45	38.67	45.03
Atox1	0.0	0.0	214.01	561.77	352.08	175.07	270.11	230.31	82.47	401.69	390.49	405.24	367.09	356.03	309.72
C230096C10Rik	3.46	0.98	24.1	4.43	0.62	21.55	34.76	17.74	83.99	84.58	34.39	37.69	30.32	29.48	20.93
D3Ertd751e	0.0	0.08	0.0	32.51	0.0	0.0	27.81	10.84	96.4	95.99	138.3	8.82	85.48	0.16	27.19
Dgcr14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.44	71.77	23.82	28.51	68.27	33.66	0.0
Exoc3	0.0	0.0	32.54	110.2	3.37	15.45	132.29	66.36	182.68	160.97	102.57	90.67	141.79	128.82	49.95
Fam114a2	0.0	0.11	17.05	51.36	0.0	1.17	37.38	16.58	38.47	112.12	52.73	62.88	75.7	82.98	65.07
Fam135b	0.0	0.0	52.03	56.57	40.12	3.25	64.56	73.09	15.11	79.72	25.73	79.89	34.61	3.93	16.85
Fibp	0.0	0.0	61.07	1.21	0.0	2.56	97.46	70.19	0.0	93.56	108.66	85.36	147.73	85.43	61.24
Heatr7a	0.0	0.0	0.65	20.58	0.0	0.12	0.83	20.53	18.63	23.6	33.45	34.46	70.83	5.17	14.03
Idh3b	0.0	0.0	734.6	759.02	1024.47	652.7	659.75	612.28	1197.39	1142.54	944.02	896.16	856.15	774.94	549.66
Itfg1	0.0	0.0	43.98	48.81	16.45	1.95	44.94	68.04	183.57	81.0	142.02	66.94	136.55	69.82	57.87
Ldhb	2388.93	5876.73	10118.08	10894.4	8302.41	7520.49	9343.6	10165.1	11261.44	7834.03	13571.31	12546.17	9106.97	11010.48	11746.38
Mpg	0.0	0.16	0.0	0.0	0.0	0.0	0.94	0.0	19.03	97.31	0.14	3.55	5.17	0.0	19.84
Oaz1-ps	226.48	0.6	733.12	590.69	419.03	533.37	733.95	378.34	519.23	1019.29	941.72	916.81	837.64	469.92	725.91
Rere	0.0	0.0	0.1	0.76	0.0	0.0	24.4	2.58	0.15	27.2	12.82	8.59	14.42	1.57	0.0
Serf2	0.0	58.4	123.35	147.29	43.62	39.2	89.69	119.57	89.14	237.03	207.46	117.75	233.1	190.28	70.22
Sf3b3	0.0	0.06	1.78	0.0	0.0	0.0	0.13	0.0	27.62	43.51	39.63	1.04	6.92	30.5	26.58
Slc35a4	0.0	0.0	38.32	12.41	0.0	0.0	50.78	93.49	71.14	218.22	0.0	145.74	147.11	45.95	53.86
Stxbp1	0.0	0.0	151.73	209.06	122.21	92.65	242.66	222.01	242.03	399.25	292.17	195.8	312.68	200.57	288.24
Syn1	0.0	0.0	30.76	19.81	1.42	9.64	31.81	8.36	3.59	44.92	59.67	20.15	10.82	2.2	3.73
Ube2e2	0.0	0.21	3.89	18.12	0.0	46.05	77.5	42.48	93.13	79.92	175.39	92.63	156.8	16.04	69.22
Zcrb1	0.0	0.0	18.08	0.0	9.13	1.58	17.99	21.5	51.76	59.24	8.5	19.76	46.73	46.0	8.9
