	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_55	Gad2_tdTpositive_cell_75	Ndnf_tdTnegative_cell_6	Ntsr1_tdTnegative_cell_26	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_29	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_34	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_44	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_72	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_28	PvalbF.Gad2_tdTpositive_cell_2	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_6	PvalbF.Gad2_tdTpositive_cell_7	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_57	PvalbF.Gad2_tdTpositive_cell_79	PvalbF.Gad2_tdTpositive_cell_88	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_16	Rorb_tdTpositive_cell_54	Tac2_tdTpositive_cell_8
0610010B08Rik	0.0	0.24	0.0	35.46	32.38	0.0	0.0	12.26	41.3	1.56	28.14	15.71	27.59	29.85	34.19	14.58	14.76	41.16	2.68	30.43	10.96	28.79	32.18	11.07	9.06	15.46	12.05	20.25	10.73	5.5	49.21	51.74	15.13	14.51	0.26	28.25	0.47	6.95	11.65	14.02	0.37	24.43	7.16	0.11	1.66	6.87
4933421E11Rik	0.0	2.7	0.0	42.57	58.37	0.0	0.0	0.0	0.73	0.98	2.24	41.62	15.01	0.0	24.73	46.95	16.88	62.43	0.0	0.0	27.48	0.22	111.86	76.19	20.59	36.56	21.92	33.84	0.0	7.77	40.3	48.47	22.1	6.72	21.43	79.8	64.64	27.44	27.23	2.3	0.0	1.41	27.26	0.0	0.11	2.27
Afap1	6.58	17.29	1.68	173.93	89.8	0.72	0.0	64.18	65.91	63.02	30.23	83.22	139.59	141.62	147.0	92.7	35.54	206.27	45.05	67.18	241.19	110.32	83.0	147.3	106.58	63.41	49.33	118.43	58.82	75.76	61.17	80.26	79.68	82.99	92.27	83.79	89.93	55.7	23.59	83.4	88.54	37.03	75.45	0.0	24.36	126.11
Arl15	0.22	0.0	0.0	17.1	35.83	0.1	0.0	1.42	9.52	23.5	5.38	7.12	33.16	0.0	58.72	26.03	0.19	78.17	3.89	43.61	7.85	17.08	38.35	0.0	63.41	0.0	1.23	0.0	157.62	0.0	14.97	7.65	26.17	9.8	0.0	5.31	0.0	8.7	22.14	2.49	0.0	0.27	5.53	0.0	0.0	0.1
Ccl27b	0.0	0.54	0.0	9.27	9.65	0.0	0.0	6.15	2.68	8.29	0.0	1.08	4.51	0.0	0.46	1.16	0.0	11.35	0.0	0.0	3.31	2.97	2.97	0.76	0.0	0.0	0.0	11.61	0.0	2.62	0.0	0.0	1.92	0.0	4.77	8.43	8.14	0.0	0.0	1.44	0.0	0.85	9.34	0.0	0.11	0.21
D17Wsu104e	0.0	0.28	0.0	181.02	163.96	0.32	0.0	244.42	96.83	167.38	104.07	45.36	217.23	1.47	79.7	240.16	31.19	401.1	0.88	63.77	438.52	4.65	72.33	147.93	47.72	134.23	219.4	198.19	32.27	60.28	103.21	125.73	159.0	168.45	124.06	61.05	3.08	147.88	9.97	0.0	1.02	2.6	49.32	0.8	0.61	59.14
Eif3c	0.0	69.74	0.0	118.43	188.8	0.0	0.21	66.92	150.26	82.77	71.47	106.06	86.35	88.1	102.56	57.65	75.84	137.33	2.94	0.61	124.55	162.1	251.18	115.83	42.23	79.3	74.53	196.45	9.01	91.12	32.45	34.16	7.66	97.92	38.03	74.64	66.55	16.6	141.57	45.48	0.31	4.1	28.28	0.12	43.78	118.02
Ggt7	0.0	0.0	0.0	51.75	145.05	0.11	0.0	9.34	67.13	45.18	29.69	66.35	48.52	0.25	68.73	40.25	90.5	241.87	10.65	107.79	35.44	194.87	96.23	32.71	172.45	59.48	20.45	66.7	0.0	134.2	116.37	58.12	44.94	0.0	74.96	115.68	12.2	36.55	64.33	33.71	38.33	39.18	176.11	0.13	0.07	31.27
Gm13306	0.0	0.54	0.0	9.27	9.65	0.0	0.0	6.15	2.68	8.29	0.0	1.08	4.51	0.0	0.46	1.16	0.0	11.35	0.0	0.0	3.31	2.97	2.97	0.76	0.0	0.0	0.0	11.61	0.0	2.62	0.0	0.0	1.92	0.0	4.77	8.43	8.14	0.0	0.0	1.44	0.0	0.85	9.34	0.0	0.11	0.21
Gm14430	0.0	0.0	0.0	21.67	20.12	0.0	0.0	14.72	31.75	1.87	6.05	13.5	6.81	30.51	15.56	5.35	13.46	29.72	3.22	28.02	3.07	20.8	24.87	11.03	10.87	18.55	13.57	1.28	8.49	4.08	18.47	19.12	11.25	0.0	0.32	19.5	0.54	8.34	13.98	16.82	0.44	6.94	2.38	0.12	0.0	8.24
