	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_55	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_9	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_24	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_54	Rbp4_tdTpositive_cell_165	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_16	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_96	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110054M08Rik	13.44	0.0	0.0	0.0	0.0	0.0	43.98	0.0	19.32	0.0	62.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.6	7.01	6.75
1500015A07Rik	0.0	0.0	0.0	0.0	0.0	14.11	145.86	0.0	0.0	0.0	176.32	0.0	0.0	0.0	0.0	23.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.05	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.98	5.33	5.17	5.06
1700047I17Rik2	0.66	0.32	2.8	0.82	2.15	16.25	26.59	49.44	15.13	31.83	14.23	4.6	0.97	5.07	19.24	22.21	7.08	3.74	10.01	22.97	12.78	5.51	4.19	3.22	5.27	1.07	11.48	12.89	15.79	11.15	2.03	3.87	8.65	12.08	5.45	16.78	0.0	0.87	6.42	18.26	23.92	8.08	4.82	15.19	14.63	6.64	31.99	19.02	17.56	16.4	17.92
A330023F24Rik	9.81	5.71	0.0	0.0	0.0	22.06	14.32	38.95	37.1	32.19	41.58	32.75	0.0	4.88	5.76	43.05	26.52	2.37	9.55	14.14	1.69	3.38	1.18	38.74	5.04	5.29	0.0	1.79	1.55	5.45	0.91	13.54	10.59	0.33	31.07	20.78	0.0	0.0	0.0	3.06	3.92	2.29	7.7	10.95	2.94	23.73	0.0	10.36	46.6	40.72	42.01
A930011O12Rik	70.02	0.88	0.0	0.0	0.0	89.43	102.27	115.14	88.3	206.8	85.28	0.21	29.95	0.11	7.37	0.66	0.07	0.0	0.1	3.56	3.75	0.48	1.83	51.15	2.5	0.26	1.38	0.07	26.68	23.78	39.66	38.61	1.02	0.0	0.43	54.86	0.0	0.0	0.0	0.0	54.19	0.0	18.09	16.2	8.06	1.57	46.29	22.37	130.41	125.17	129.06
A930038C07Rik	0.0	0.0	0.0	0.0	0.0	19.07	0.0	0.0	0.0	3.97	227.89	0.02	0.0	33.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.39	6.69	7.57
Avl9	0.1	0.0	0.0	0.0	0.0	31.47	53.67	89.14	0.0	0.0	80.73	0.62	18.33	40.1	0.08	0.0	0.41	0.0	17.09	22.39	41.54	11.17	39.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	14.29	0.0	0.0	0.0	7.69	13.03	0.0	7.89	27.04	0.0	2.64	0.06	6.15	29.65	26.43	26.64
B230219D22Rik	53.15	3.6	3.09	9.12	0.0	174.83	41.37	52.99	44.5	7.54	204.6	2.63	55.88	3.14	2.51	39.4	25.65	66.32	29.49	10.82	15.14	41.14	44.97	3.0	7.34	47.51	136.78	3.72	13.94	8.07	54.47	7.72	21.12	28.5	62.73	40.41	36.37	7.41	21.3	38.53	4.95	13.12	16.73	23.66	9.38	3.76	47.03	26.74	81.91	77.93	79.48
BC024479	0.0	0.0	0.0	0.0	0.0	0.0	1.88	0.0	0.0	23.87	114.06	45.59	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	3.08	0.0	0.0	33.66	0.0	0.0	62.44	0.0	0.0	6.53	0.0	3.58	0.0	0.0	17.93	0.0	0.0	0.0	1.13	1.71	0.0	0.0	2.81	0.0	25.16	0.0	7.31	12.05	14.24	11.06
BC029214	0.0	0.0	736.92	0.0	0.0	0.0	184.34	78.76	41.92	7.35	205.78	69.51	0.0	32.63	75.21	0.0	21.17	27.72	72.6	0.0	0.0	19.82	56.81	0.0	0.0	0.0	0.0	28.29	40.74	9.19	34.62	86.99	2.18	48.74	0.46	31.75	0.0	0.0	0.0	0.0	31.5	0.31	76.92	25.94	107.33	21.51	0.0	28.16	41.71	43.11	43.4
