	Calb2_tdTpositive_cell_27	Chrna2_tdTpositive_cell_18	Chrna2_tdTpositive_cell_56	Ctgf_tdTpositive_cell_12	Htr3a_tdTpositive_cell_107	Htr3a_tdTpositive_cell_123	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_68	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_5	Rbp4_tdTpositive_cell_99	Rbp4_tdTpositive_cell_159	Slc17a6_tdTpositive_cell_24	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_2	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_19	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110034A24Rik	0.0	0.0	0.0	0.69	0.0	0.0	0.0	0.0	0.0	102.44	0.15	0.0	0.0	51.89	0.0	0.0	0.0	10.69	0.0	6.11	9.27	2.18	9.39	0.0	4.96	0.0	46.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.01	6.22	8.56
1700026D11Rik	0.0	0.0	0.0	0.75	0.0	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.64	0.57	0.0	0.0	0.0	2.17	0.0	0.0	0.42	0.0	0.0	0.0	0.0	0.86	0.0	0.35	0.0	0.36	0.0	0.0	0.0	0.25	0.11	0.0
1700095B22Rik	0.0	0.0	0.0	10.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.54	0.0	0.0	0.0	0.0	0.0	2.72	0.82	0.0	0.0	0.0	0.33	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.09	2.38	2.38
2010002N04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.75	0.0	0.0	0.0	0.0	0.0	29.08	0.0	0.0	0.0	16.86	4.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.84	7.86	7.06
3110099E03Rik	0.0	0.23	0.0	0.22	0.0	0.12	0.0	0.0	0.0	1.59	0.81	0.0	0.0	1.51	0.0	0.41	0.0	0.0	0.22	0.54	0.22	0.0	0.1	0.07	0.39	0.0	0.75	0.0	0.0	0.0	0.0	0.77	0.64	0.0	0.57	0.36	0.27
4930444M15Rik	0.0	0.0	0.0	2.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.11	0.06
4930511E03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930511M11Rik	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.07	0.06	0.0
4931430N09Rik	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.93	0.0	0.0	0.0	0.0	0.0	2.33	0.0	0.0	1.2	0.37	1.28	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.09	0.04	0.0
4933422A05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0
4933422H20Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.11
4933437F05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.34	0.0	0.0	0.0	0.0	0.0	12.17	11.85	3.18	0.0	0.29	2.49	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	2.27	1.93	1.9
A430105I19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.62	0.0	0.0	0.0	0.58	0.0	0.0	0.0	0.14	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.24	4.37	4.17
A630010A05Rik	0.0	0.0	0.0	4.56	0.26	0.21	0.0	0.0	0.0	0.16	1.1	0.22	6.22	10.92	3.15	6.28	0.59	0.59	0.36	1.43	2.88	1.05	1.47	1.24	1.72	0.81	0.65	2.73	0.51	0.32	3.47	0.0	4.78	0.3	0.57	0.12	0.1
A930015D03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.87	0.0	0.0	0.0	0.0	0.0	0.0	214.01	0.0	0.0	0.0	0.0	0.0	12.66	9.45	3.57	15.92	18.33	21.21	0.0	151.63	0.0	0.0	0.61	0.0	0.0	82.37	0.0	5.73	7.72	9.51
Abca14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.39	0.0	0.0	0.0	0.0	0.0	3.95	0.0	1.74	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.04
Adra1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	2.44	38.28	0.0	0.0	0.0	0.0	0.0	0.0	2.41	1.05	0.0	4.46	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.96	6.15	8.23
Ahi1	463.38	67.23	30.64	67.97	19.59	26.7	447.17	49.01	15.4	10.47	17.63	76.37	7.17	353.89	105.48	10.97	11.01	8.38	154.15	77.76	99.0	88.19	69.02	136.58	90.99	52.33	41.05	136.33	37.32	10.36	0.0	655.58	1.24	73.67	127.4	135.26	124.09
Anks6	0.0	0.0	0.0	14.64	12.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.83	0.0	0.0	0.0	0.0	0.0	1.3	0.0	0.28	0.94	3.71	0.48	15.55	0.0	0.0	0.0	0.0	0.0	0.0	16.78	0.0	8.63	8.4	9.75
Arpc1b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.44	0.29	0.0	0.0	0.0	68.53	7.75	10.37	5.32	6.09	6.35	1.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.11	22.95	26.75
Asxl2	11.02	12.33	1.03	8.28	7.44	3.3	2.17	10.55	0.71	6.15	21.09	13.63	2.55	63.67	9.15	3.7	3.08	7.67	13.19	12.12	18.69	11.15	3.79	14.23	8.64	7.51	13.91	3.99	23.5	16.3	3.87	18.16	2.77	3.45	12.26	11.35	14.01
Atxn7l2	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.72	0.0	0.0	0.0	0.62	12.0	2.97	7.34	7.84	4.02	0.0	1.94	0.0	34.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.71	18.1	19.86
Axin1	0.0	0.0	0.0	1.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	48.76	0.0	0.0	0.0	0.0	40.67	0.19	5.06	5.58	4.12	0.0	3.17	0.0	7.12	0.09	0.0	0.0	0.0	0.0	0.0	0.0	16.05	17.05	16.13
