	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_96	Rbp4_tdTpositive_cell_123	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001K23Rik	0.0	0.0	0.0	0.22	0.2	0.22
1700020D05Rik	0.0	0.0	0.0	6.05	6.3	7.16
4732490B19Rik	0.0	0.0	0.0	0.02	0.0	0.04
4930448K20Rik	0.0	0.0	0.0	0.14	0.07	0.0
4930451I11Rik	0.0	0.0	0.0	0.22	0.0	0.0
6330416G13Rik	0.0	0.0	0.0	10.75	10.54	11.27
A2ld1	0.0	8.27	0.0	22.0	27.21	24.48
Adrbk1	0.0	0.0	0.0	172.23	171.6	166.77
Ang	0.0	0.0	0.0	3.53	2.49	2.13
Ankrd27	0.0	0.0	0.0	29.81	28.85	27.84
Ap1s3	0.96	5.45	1.62	10.15	9.11	11.48
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
B3galt4	0.0	0.0	0.0	5.88	6.79	7.7
BC048609	0.0	0.0	0.0	0.0	0.37	0.2
BC055402	0.0	0.0	0.0	0.15	0.25	0.18
Bmp1	0.0	0.76	0.0	43.03	38.95	50.36
C4b	4.14	0.0	0.0	9.0	9.9	9.57
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Cacna1b	0.0	5.32	0.0	49.92	43.71	54.19
Ccdc160	0.0	0.0	0.0	3.12	2.87	3.02
Ccdc73	0.0	0.0	0.0	6.48	4.04	7.52
Ccl25	0.0	0.0	0.0	6.56	4.49	7.08
Cd14	0.0	0.0	0.0	3.73	3.77	2.96
Cd244	0.0	0.0	0.0	0.05	0.05	0.05
Cebpg	0.0	0.07	0.0	22.95	21.24	21.34
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Chi3l1	0.0	0.0	0.0	9.43	8.6	10.42
Chrnb2	0.0	0.0	0.0	26.52	28.27	28.28
Chst1	0.14	23.97	0.28	206.13	226.17	215.2
Coch	0.0	0.39	0.15	38.28	42.49	35.9
Cpsf4	0.0	0.0	2.13	20.67	21.75	22.29
Crxos1	0.0	0.0	0.0	0.23	0.26	0.3
D7Ertd443e	0.0	0.0	0.0	3.02	2.46	3.37
