	Calb2_tdTpositive_cell_53	Nkx2.1_tdTpositive_cell_10	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_20	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_24	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_32	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_87	Pvalb_tdTpositive_cell_89	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_26	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Tac2_tdTpositive_cell_8	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700111N16Rik	0.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.42	0.75
4930403N07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
4930567K20Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9130011E15Rik	0.0	0.0	0.0	0.0	0.0	0.24	25.43	0.0	0.0	0.0	0.0	0.87	13.93	0.0	93.49	0.16	44.83	0.0	50.27	0.0	0.0	2.71	0.57	0.5	0.0	32.68	0.0	37.4	59.78	7.14	0.0	0.33	0.0	0.0	0.0	0.0	16.44	15.91	16.22
A930012L18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.42	0.0	48.37	0.0	0.08	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	3.09	2.92	3.61
Ahcyl2	0.0	4.48	5.73	3.11	0.0	26.67	2.05	50.11	19.41	66.64	0.18	3.98	4.15	3.61	44.22	3.33	0.63	0.0	6.54	41.3	32.58	25.49	18.35	10.98	0.0	20.07	0.0	0.35	56.96	0.0	1.85	9.2	0.0	36.92	31.04	34.49	82.33	79.45	81.05
Akap2	0.0	3.55	5.58	4.64	0.07	22.52	10.57	0.0	2.35	7.57	0.13	12.34	0.59	3.55	62.26	0.0	19.61	2.05	16.16	2.04	0.0	2.02	0.0	6.61	24.93	0.3	8.31	9.14	3.0	0.0	13.62	0.14	0.0	26.82	3.37	1.98	33.13	32.94	31.02
Amdhd2	0.0	20.73	35.64	0.0	22.3	0.0	1.33	0.0	0.0	0.0	0.0	0.0	0.0	1.25	167.25	0.0	0.0	0.0	0.0	6.1	5.03	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0	0.23	15.29	17.88	16.77
Apol8	0.0	0.0	0.21	2.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.54	0.0	30.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.47	0.0	0.0	0.0	0.0	0.0	3.74	0.0	3.94	3.82	4.29
Arl11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	141.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.44	1.11
B630005N14Rik	0.0	0.48	0.31	0.0	0.0	0.33	0.0	1.59	23.48	0.0	0.0	2.55	15.58	0.29	82.86	0.0	4.44	0.0	0.0	0.0	0.08	0.0	0.0	5.05	7.05	0.0	17.26	1.52	0.21	0.0	0.0	0.11	2.48	0.0	0.05	0.0	23.16	21.74	20.92
BC024978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	8.36	8.35	8.81
Bag3	0.0	0.0	0.0	0.0	0.0	8.83	0.0	0.0	20.13	0.0	0.0	0.0	0.31	0.0	58.77	0.18	0.0	0.0	0.0	0.0	0.0	32.85	0.0	0.0	20.19	0.87	11.39	0.0	0.0	0.0	1.25	0.0	2.74	23.9	25.73	0.0	5.83	5.78	4.8
Blk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Camk4	3.15	7.32	11.86	0.06	0.74	11.41	9.43	2.25	0.89	0.79	1.3	1.01	0.6	0.71	37.84	9.6	0.86	15.65	6.25	1.21	0.67	2.53	9.04	1.35	13.53	5.6	6.36	1.22	1.36	1.31	1.06	0.68	11.35	0.73	17.48	0.93	69.62	59.4	72.95
Ccl27b	0.0	2.51	1.67	0.0	6.15	2.68	0.0	0.0	0.0	1.08	0.0	0.0	7.64	0.0	24.17	0.0	0.0	3.31	2.97	1.43	1.44	0.0	0.0	10.11	2.62	1.92	0.0	4.77	9.42	8.43	8.14	1.21	1.56	0.0	9.34	0.21	30.63	28.29	22.96
Coq10b	0.0	77.46	107.58	0.0	17.03	64.41	0.0	0.0	0.0	46.35	57.68	50.05	0.0	61.1	252.27	0.29	0.0	0.0	0.0	6.6	0.0	42.22	42.43	0.0	106.19	53.83	0.32	52.41	121.1	35.13	0.0	0.0	41.74	0.0	162.42	0.0	42.44	40.39	28.01
Dcp1b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.94	0.0	0.0	23.38	38.87	0.0	0.0	8.86	0.0	0.0	0.0	1.51	2.34	0.0	0.0	20.62	6.28	0.0	0.0	24.44	0.16	8.39	0.0	24.88	0.0	0.0	10.32	11.72	11.29
Ddi2	0.0	0.0	0.0	0.0	4.7	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.22	0.0	20.97	0.63	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	1.29	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	27.95	26.68	27.82
Dennd2d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	141.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.99	0.0	0.0	0.0	0.39	0.18	0.1
Dennd4b	0.0	0.0	0.0	0.0	0.0	10.82	0.0	17.44	0.0	0.0	0.0	0.0	0.0	0.0	60.91	0.5	9.8	0.0	0.0	0.0	0.0	0.0	0.0	13.85	0.75	2.27	0.0	0.0	15.88	3.58	6.92	0.0	15.59	0.0	0.0	0.0	29.06	28.22	28.69
E330034G19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.27	0.94	0.97
Eif2c2	0.0	0.32	0.31	0.37	6.81	12.06	0.0	0.0	0.48	0.0	0.0	0.0	0.0	0.0	22.73	0.0	7.02	0.0	0.0	0.0	0.0	0.0	0.17	2.68	1.81	0.0	0.31	0.0	0.51	0.0	0.0	1.25	7.99	0.0	0.0	2.84	26.1	22.83	28.05
Emid2	0.0	0.0	0.0	0.0	1.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.58	0.0	2.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	1.77	0.0	0.0	0.0	0.0	0.0	0.0	5.95	5.7	6.7
Exosc3	0.0	0.0	0.0	3.0	88.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.79	1.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.01	5.51	0.0	0.0	0.0	0.0	0.0	0.0	32.16	0.0	0.0	14.34	12.88	13.3
Fam102b	0.0	0.3	0.15	34.93	0.99	0.0	17.3	0.0	8.63	0.0	18.5	0.0	7.0	0.0	44.44	18.45	31.28	0.19	0.35	18.43	0.22	0.12	0.0	0.0	0.14	9.03	3.82	21.36	1.15	0.0	34.62	0.17	24.6	4.49	0.01	0.56	29.65	28.06	26.65
Fam116b	0.0	16.29	0.18	0.0	23.22	11.96	3.83	0.0	1.53	6.41	7.01	2.83	1.19	11.64	42.77	0.0	16.89	0.0	0.0	4.18	22.65	0.0	2.69	1.09	1.49	0.08	0.0	0.37	0.0	19.69	0.7	0.0	0.0	0.0	0.5	16.5	40.54	42.29	41.87
Fam174b	0.0	15.98	0.0	0.0	0.0	0.0	0.0	0.0	1.77	1.22	0.0	2.1	0.0	0.0	105.12	0.0	0.0	47.23	0.15	0.0	0.0	20.59	0.0	2.41	1.53	15.01	0.0	25.21	0.0	0.0	0.0	0.0	0.61	0.0	0.0	8.62	29.93	31.42	29.22
Fam43b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.75	0.58	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.49	0.0	0.0	0.19	4.28	0.0	30.66	33.57	27.0
Fat3	0.0	0.08	0.11	0.0	1.42	0.04	0.0	0.0	0.0	6.46	0.0	0.95	0.88	0.06	19.23	0.0	0.01	0.0	0.0	0.0	2.63	3.99	0.01	0.0	0.0	0.04	5.08	0.0	0.0	4.47	1.09	0.0	0.38	4.68	10.66	0.0	19.99	16.1	21.82
Fig4	6.71	0.0	0.0	0.0	28.75	3.86	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	44.27	0.0	0.0	0.0	0.0	0.0	7.66	15.29	6.19	0.0	5.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.14	0.0	0.0	0.0	27.98	30.41	28.25
Filip1l	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.38	0.0	0.0	0.0	0.6	79.07	0.0	0.0	0.0	0.0	0.0	0.0	10.08	32.45	0.0	9.26	0.0	0.0	0.0	0.0	0.0	32.05	0.0	0.0	0.0	10.43	0.0	2.94	2.8	2.5
Galnt6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.59	6.75	7.74
Gm13305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.0	0.0	0.0	0.0	0.0	1.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm13306	0.0	2.51	1.67	0.0	6.15	2.68	0.0	0.0	0.0	1.08	0.0	0.0	7.64	0.0	24.17	0.0	0.0	3.31	2.97	1.43	1.44	0.0	0.0	10.11	2.62	1.92	0.0	4.77	9.42	8.43	8.14	1.21	1.56	0.0	9.34	0.21	30.63	28.29	22.96
Gm13308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.8	0.0	0.0	0.0	31.05	0.21	1.27	0.0	0.0	0.0	0.0	5.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.09	16.21	0.0	0.0	0.0	14.95	21.48	8.57
Gm16517	0.0	0.54	1.18	0.0	0.0	0.32	1.19	0.0	2.97	5.6	0.0	0.0	3.71	1.13	73.38	0.0	0.0	0.0	0.0	31.11	30.57	0.0	0.78	43.65	1.92	2.39	0.0	0.0	0.0	0.0	0.0	7.67	13.81	0.0	0.0	0.3	69.43	90.05	84.9
Gm2506	0.0	2.51	1.67	0.0	6.15	2.68	0.0	0.0	0.0	1.08	0.0	0.0	7.64	0.0	24.17	0.0	0.0	3.31	2.97	1.43	1.44	0.0	0.0	10.11	2.62	1.92	0.0	4.77	9.42	8.43	8.14	1.21	1.56	0.0	9.34	0.21	30.63	28.29	22.96
Gnl1	0.0	2.63	0.0	1.18	0.0	34.7	2.78	35.51	0.0	32.23	0.0	21.98	32.32	15.03	120.44	0.0	0.0	1.77	56.51	5.0	17.25	6.25	1.72	5.79	0.15	1.09	8.75	0.0	7.71	3.05	20.64	26.63	58.63	0.0	0.0	41.13	139.48	150.8	141.26
Gpr52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.82	15.03	14.66
Hcfc1	0.0	2.71	4.96	0.03	11.76	0.0	4.1	0.09	7.89	42.69	0.0	0.0	0.77	14.42	82.02	4.36	6.56	3.86	9.05	0.14	22.04	6.62	6.94	0.53	23.3	15.2	7.49	2.6	12.78	0.15	3.29	0.53	17.94	23.39	35.82	9.34	41.86	41.59	44.45
Hist1h3f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Hsf1	0.0	28.29	39.58	44.63	20.76	5.45	0.0	0.0	0.0	44.59	6.6	0.0	0.0	26.26	98.72	25.88	16.55	0.19	0.0	0.0	21.92	15.71	17.06	0.0	0.41	42.28	0.0	24.14	22.98	49.31	28.54	43.93	4.36	0.0	17.18	21.58	42.55	41.66	42.8
Ifi27l2b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.35	0.58
Il2ra	0.8	0.66	0.52	0.0	0.33	0.21	1.04	0.55	0.32	0.62	0.4	0.1	0.54	0.14	2.0	0.39	0.84	0.1	0.66	0.51	0.35	0.0	0.22	0.17	0.47	0.98	0.6	0.77	0.87	0.8	0.63	0.45	0.29	0.56	1.29	0.17	1.66	1.62	1.43
Impdh1	0.0	0.72	3.67	0.0	0.0	0.0	11.91	0.0	0.0	13.56	0.0	0.21	7.59	2.99	163.92	4.78	9.24	0.0	10.31	0.0	64.91	0.0	9.84	3.63	0.0	0.0	10.62	11.43	49.74	1.82	0.0	0.0	0.0	0.19	12.8	0.27	55.99	60.05	57.6
Jazf1	0.0	39.36	26.35	49.64	0.0	11.07	70.74	0.0	19.69	0.19	0.0	36.16	65.15	17.55	215.32	0.0	33.41	74.7	0.0	0.0	52.77	37.59	25.99	0.0	63.31	68.03	19.8	9.51	0.0	27.87	131.53	8.04	36.68	2.01	0.07	0.0	30.35	29.75	28.63
Kcnf1	0.0	17.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.67	0.0	73.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.7	90.56	82.9
Kctd1	0.02	0.0	0.24	0.0	0.0	13.35	0.0	57.36	0.9	0.0	0.0	6.95	1.36	0.0	231.35	5.24	0.0	1.08	0.0	0.0	0.0	10.62	1.11	6.23	0.0	0.0	25.15	0.0	29.24	12.26	48.95	13.45	2.78	0.24	0.67	2.23	67.74	64.49	65.95
Kif7	0.0	0.0	0.0	6.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.1	0.0	0.0	1.92	2.02	2.53
Klra2	1.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	124.94	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.16	0.77	0.24	0.42	0.0	0.0	0.0	0.63	0.0	0.0	0.0	0.0	0.09	0.91	0.34	0.17	0.36
Ldhb	7486.96	6832.63	8752.31	10118.08	10894.4	8525.9	8517.89	5463.85	9220.91	9343.6	6570.82	8808.99	7074.56	8574.79	7814.88	9602.81	7785.08	11261.44	7829.53	6682.6	6616.59	9074.03	13571.31	7287.29	12546.17	9106.97	8513.41	9755.78	8904.1	8390.99	11010.48	8275.76	7724.63	10182.84	11746.38	7324.1	737.58	774.98	752.92
Lrsam1	0.0	10.49	14.65	0.0	0.0	1.65	0.0	3.37	5.91	1.22	0.0	19.72	8.69	10.43	50.98	6.06	0.78	17.95	0.0	0.0	0.0	0.18	1.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.56	59.05	3.58	0.0	21.86	22.28	21.39
Lyar	0.0	0.57	0.0	0.0	13.16	8.05	0.0	0.0	8.81	0.36	0.0	1.0	0.0	0.0	41.34	0.0	0.0	0.0	0.0	0.0	0.0	5.62	0.0	0.0	0.0	0.0	3.61	0.0	4.08	0.0	5.3	18.91	10.85	0.0	0.0	0.0	13.31	14.35	12.21
Maml3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.74	0.0	0.0	0.0	0.0	0.0	0.0	20.79	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	4.07	3.96	3.88
Map3k10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	18.96	0.0	0.0	0.1	0.0	0.1	3.3	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.11	1.02	0.0	0.0	0.12	0.0	0.0	129.25	141.31	139.52
Mecp2	0.0	9.06	11.8	21.11	1.02	13.06	17.5	4.73	0.46	13.05	1.7	1.67	8.53	3.65	49.72	0.0	14.38	35.51	3.15	2.07	18.64	8.11	1.67	12.97	18.51	18.46	4.07	9.13	18.82	7.73	0.73	6.44	26.05	0.0	8.61	1.61	44.48	42.92	44.3
Mks1	0.13	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.34	0.0	0.4	0.21	0.0	0.0	100.34	10.31	0.29	0.17	0.34	0.16	0.14	0.3	0.16	0.0	0.83	0.52	0.21	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.14	5.87	5.48	6.81
Neurl4	17.37	0.0	0.0	0.0	9.46	0.84	45.34	0.0	5.11	37.57	15.93	0.0	1.66	0.0	93.12	0.0	0.25	0.0	0.0	2.97	0.24	6.8	14.64	0.0	0.0	19.88	0.48	0.0	0.0	0.38	1.13	0.0	0.1	7.65	0.0	73.12	59.16	60.88	60.75
Nfe2l1	0.0	19.91	28.89	3.22	14.78	28.84	5.97	3.88	20.06	91.87	14.45	19.28	15.8	12.59	60.26	8.1	15.06	2.66	6.36	39.57	27.13	28.9	38.8	8.64	17.67	31.19	4.1	3.59	51.31	17.74	31.48	5.74	27.67	41.52	3.76	107.58	227.17	223.7	221.14
Nfkbil1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.9	0.0	0.0	0.0	0.0	0.0	1.74	0.0	0.19	3.02	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	1.35	0.0	13.79	14.97	14.94
Nkap	0.0	9.09	10.25	0.0	4.2	9.14	0.15	6.98	5.89	3.54	12.93	14.52	17.13	15.07	74.36	20.32	1.22	2.17	0.0	0.0	0.0	6.49	4.53	6.09	27.3	19.03	29.69	10.06	14.38	0.09	3.64	5.49	0.0	0.0	0.0	0.08	9.31	8.11	8.8
