	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Ctgf_tdTpositive_cell_3	Gad2_tdTpositive_cell_68	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_54	Pvalb_tdTpositive_cell_50	Pvalb_tdTpositive_cell_52	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_10	Sst_tdTpositive_cell_2	Sst_tdTpositive_cell_5	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_30	Sst_tdTpositive_cell_36	Sst_tdTpositive_cell_51	Sst_tdTpositive_cell_92
Acsl4	52.01	25.1	58.55	56.7	34.87	5.8	0.0	72.86	14.35	68.29	0.0	256.6	99.87	87.25	137.52	94.6	77.04	63.07	51.48	50.34	65.89	41.11	47.55	71.5	66.62	111.48	0.03	84.07	40.81	33.55	98.79	94.14	69.67	0.0	0.0	0.47	0.0	146.94	207.21	60.61	139.76	122.99	57.9	95.58
Afap1	15.48	16.17	24.7	25.52	14.95	0.0	2.27	4.26	53.43	74.18	0.0	0.42	25.69	10.49	13.18	53.58	26.61	2.73	0.0	21.23	44.83	12.3	0.07	0.15	2.55	36.35	0.0	1.1	0.13	47.53	39.14	121.36	231.47	0.37	0.22	0.0	0.05	46.94	76.41	69.45	179.85	115.13	89.87	39.74
Apol7b	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.47	0.0	0.0	1.2	0.12	0.0	0.0	0.14	0.25	0.26	0.05	0.0	0.0	0.0	0.06	0.0	1.17	0.0	0.0	1.57	0.11	0.0	1.97	0.07	0.0	0.0	0.0	0.0	0.38	0.16	0.0	5.0	0.58	2.36	0.0
Apol7e	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.47	0.0	0.0	1.2	0.12	0.0	0.0	0.14	0.25	0.26	0.05	0.0	0.0	0.0	0.06	0.0	1.17	0.0	0.0	1.57	0.11	0.0	1.97	0.07	0.0	0.0	0.0	0.0	0.38	0.16	0.0	5.0	0.58	2.36	0.0
Arpc5l	188.49	55.13	57.57	128.02	3.65	7.08	0.0	43.31	127.84	100.7	0.0	103.29	71.6	115.81	140.47	133.71	50.09	64.03	85.47	99.5	57.11	10.86	63.08	179.92	94.91	71.95	0.0	58.59	50.38	89.62	91.52	183.61	261.03	0.0	25.61	0.0	0.0	298.97	143.68	42.17	252.93	119.29	187.41	150.55
Asrgl1	0.85	0.0	30.57	77.38	37.62	0.0	0.0	206.99	51.83	74.48	0.0	0.0	48.89	4.63	20.39	0.0	51.34	54.43	0.0	45.32	0.0	0.0	0.0	0.0	27.82	56.92	0.0	46.66	23.99	34.12	28.12	65.18	40.67	0.0	0.0	0.0	0.0	58.61	216.69	39.48	64.42	77.75	111.18	107.88
Atp6ap2	1171.31	627.34	1158.03	1057.27	599.97	576.07	0.0	2319.59	2210.5	1115.12	0.0	728.56	1292.07	1884.98	1470.68	869.03	1013.82	1220.01	835.98	585.94	1451.39	1115.66	1419.21	795.17	1172.73	1543.36	0.47	1359.06	1633.75	1077.91	1603.6	2194.86	2287.45	234.25	1049.94	611.62	443.33	1931.59	1982.7	2532.64	1473.68	1469.27	1917.58	2078.05
BC024659	130.3	105.26	158.65	89.92	40.68	128.71	0.0	355.67	615.3	464.96	0.0	182.54	192.72	186.19	234.19	160.64	199.15	205.97	112.43	232.49	173.37	177.92	0.0	81.46	290.61	147.14	0.17	246.52	310.13	338.93	226.97	235.29	364.93	0.0	87.24	0.0	0.11	308.94	252.39	287.05	616.34	412.59	396.5	322.81
Bcl2l2	22.1	42.32	0.1	26.19	0.0	27.47	0.0	0.47	0.23	4.17	0.0	6.87	0.07	20.77	0.7	10.67	0.0	0.73	1.5	15.96	0.0	3.93	0.0	5.85	41.75	0.0	0.0	2.12	1.94	0.07	6.43	61.15	1.56	0.0	0.0	0.0	0.0	79.32	32.27	0.0	44.01	53.18	50.69	0.13
Btrc	15.7	19.81	74.06	46.2	0.05	9.98	0.0	9.65	25.58	34.67	0.0	0.82	2.3	19.46	13.07	14.58	19.54	36.51	0.0	21.15	0.3	10.82	4.45	29.2	13.49	55.76	0.05	0.0	19.87	35.37	0.74	31.64	84.12	0.0	0.0	0.0	0.0	111.98	83.38	10.45	12.4	32.69	42.64	44.09
