	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_35	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_19	Scnn1a.Tg2_tdTpositive_cell_14	Scnn1a.Tg3_tdTnegative_cell_11	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110002B05Rik	0.0	0.0	240.79	0.0	258.35	0.0	0.0	41.58	64.42	13.0	37.69	0.0	1.27	54.01	0.0	0.0	988.96	0.0	1350.0	0.0	0.0	78.36	117.39	91.56	41.18	40.11	41.43
1110020G09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.2	9.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.95	0.0	29.23	28.46	28.59
1810032O08Rik	0.0	0.0	0.0	0.0	2.06	0.0	0.0	0.0	0.0	11.11	0.0	0.0	50.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.73	0.0	213.32	0.0	4.3	6.5	3.96
1810043H04Rik	0.0	0.0	0.0	0.0	5.81	173.93	102.06	207.37	0.0	52.17	137.91	129.36	0.0	54.49	0.0	1009.41	0.0	3.18	0.0	0.0	0.0	0.0	231.32	0.0	28.33	33.91	32.76
2310047B19Rik	0.0	0.0	0.0	0.0	0.0	4.62	0.0	0.0	2.78	0.0	0.0	0.0	21.18	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.25	0.0	231.64	0.0	13.88	16.07	14.83
4930505A04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.16	0.0	0.0	32.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.49	0.0	1.75	0.62	0.79
9330020H09Rik	0.14	0.0	0.09	0.0	6.34	0.67	0.8	0.0	3.07	4.56	1.25	30.04	0.0	2.44	0.72	0.0	2.32	1.03	0.22	0.78	0.21	0.49	6.99	0.79	1.16	1.13	0.99
A530088E08Rik	0.23	0.19	0.0	0.0	0.0	0.16	0.0	0.27	0.24	0.0	0.46	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.07	0.13	0.0
AI504432	0.0	0.0	0.0	0.0	0.0	38.76	0.0	9.03	0.0	2.08	18.38	0.0	32.41	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.19	0.0	19.35	17.53	18.79
Abca6	0.0	0.0	0.31	0.0	0.51	1.3	0.33	0.11	0.51	1.13	1.68	1.78	0.0	1.26	0.26	4.2	0.63	0.0	0.0	3.61	1.02	0.36	1.28	0.0	1.95	1.62	2.44
Acsl6	0.0	0.0	0.0	0.0	29.38	56.9	125.9	41.48	0.17	32.3	10.47	21.51	39.67	25.14	0.0	0.0	0.0	0.0	0.25	0.0	0.0	8.25	248.67	0.0	165.64	155.64	169.63
Adal	0.0	0.0	0.0	0.0	0.56	0.15	0.0	0.13	74.99	2.69	0.0	49.51	0.0	78.86	0.0	0.63	0.33	0.0	0.0	0.78	0.0	20.28	147.46	0.0	14.0	15.24	16.51
Adam15	0.0	0.0	2.82	0.0	0.0	15.75	23.1	6.46	0.15	1.82	0.29	1.71	3.79	7.23	4.64	4.03	0.0	0.5	0.23	21.31	7.17	16.53	56.94	0.0	76.22	84.02	81.5
Agtpbp1	0.0	0.0	0.0	0.0	0.0	94.69	43.3	49.05	21.04	25.86	5.32	6.14	52.08	0.0	0.07	0.33	0.0	0.0	0.0	0.14	0.0	4.13	218.1	0.0	116.88	108.27	115.49
Angptl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.11	0.0	0.0	0.0	0.0	0.15	184.61	0.0	0.0	0.0	0.0	0.0	0.0	15.59	0.0	0.54	0.43	0.61
Atg13	0.0	0.0	34.95	0.0	96.69	82.49	77.85	0.0	26.16	32.89	7.0	0.39	4.74	13.29	0.09	0.2	43.28	0.0	0.0	0.0	0.0	17.57	112.32	0.0	69.81	69.59	70.73
B230219D22Rik	6.57	3.09	9.43	4.46	5.4	25.43	6.45	76.3	7.36	40.41	34.17	46.29	40.48	7.95	20.46	14.14	34.13	3.87	8.16	26.84	18.49	11.45	53.06	9.45	81.91	77.93	79.48
