	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_57	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_57	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_31	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31
Actr2	652.93	964.31	927.03	914.44	477.32	582.01	592.9	416.04	481.75	636.19	881.51	973.9	990.22	1284.4	817.74	677.0	1052.72
C430048L16Rik	0.0	0.0	12.33	8.31	0.0	0.0	30.16	0.19	0.0	9.62	6.81	90.91	8.87	9.59	17.23	0.72	21.06
Calm2	18003.48	20813.5	24749.41	21064.56	18026.74	19971.06	20654.99	15401.69	16924.34	20660.56	19276.37	22860.58	23322.9	25106.81	19256.69	21777.08	23557.63
Ergic1	0.08	0.0	4.09	26.17	0.0	0.0	0.45	0.0	1.46	3.18	0.93	87.09	13.24	103.62	9.9	150.51	73.47
Hnrnpd	6.81	18.94	24.83	87.58	1.66	0.0	15.11	11.63	13.46	35.53	12.27	38.25	80.16	86.74	47.25	76.87	23.63
Mrpl42	531.44	517.44	778.98	277.36	117.17	504.88	529.63	322.72	192.21	359.29	270.15	833.92	1171.67	1313.18	882.21	578.96	884.34
Nedd8	574.02	618.92	842.99	487.63	118.95	610.48	688.7	198.22	512.45	382.4	403.35	1516.05	641.6	864.41	1018.98	805.34	1151.01
Rpl10a	83.25	349.75	393.66	208.79	72.51	133.21	432.4	216.69	112.06	304.26	249.64	219.66	603.77	426.18	677.71	269.22	285.83
Sept7	822.74	884.17	1364.97	1616.52	838.74	603.12	1320.7	1220.59	1560.91	1010.84	995.35	2287.46	1525.0	1799.91	1620.2	1395.18	2740.59
Spin1	562.9	572.42	749.12	460.29	356.08	721.17	628.19	402.89	487.64	631.54	546.83	749.23	856.65	942.12	548.36	970.23	854.36
Tardbp	15.89	5.79	106.23	54.88	4.57	0.92	5.7	5.06	2.73	76.41	8.67	75.87	41.83	59.99	30.97	22.98	48.51
c1_LSU-rRNA_Hsa	97.52	73.8	115.76	106.86	95.3	72.52	109.58	87.18	66.07	86.15	45.98	170.26	134.68	112.13	134.91	161.39	167.13
mt_AJ409495	302.39	626.11	1230.41	252.19	365.13	625.56	476.99	188.49	282.5	395.01	343.57	1653.99	1866.67	1614.94	3153.75	1767.29	1892.94
mt_AK136262	0.0	0.0	75.42	0.05	0.0	0.0	0.0	0.0	0.0	0.11	0.64	1.14	52.84	4.5	2.02	0.0	240.38
mt_AK139026	153.61	206.76	1133.27	857.18	0.01	5.33	273.4	51.75	81.09	119.92	685.38	870.54	553.37	1261.2	743.67	392.79	945.51
mt_AK142003	0.0	0.0	75.42	0.05	0.0	0.0	0.0	0.0	0.0	0.11	0.64	1.14	52.84	4.5	2.02	0.0	240.38
mt_AK166798	0.0	0.0	75.42	0.05	0.0	0.0	0.0	0.0	0.0	0.11	0.64	1.14	52.84	4.5	2.02	0.0	240.38
mt_AK166978	0.0	0.0	75.42	0.05	0.0	0.0	0.0	0.0	0.0	0.11	0.64	1.14	52.84	4.5	2.02	0.0	240.38
