	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_7	Cux2_tdTnegative_cell_6	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_56	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_90	PvalbF.Gad2_tdTpositive_cell_92	Rbp4_tdTpositive_cell_174	Sst_tdTpositive_cell_106	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110014N23Rik	0.0	0.0	15.95	0.0	0.0	0.08	0.4	0.0	0.0	0.0	0.09	100.7	0.07	0.0	62.45	46.45	55.38	48.92
2310044H10Rik	0.0	0.0	0.25	0.31	0.0	5.14	2.29	16.17	31.51	12.54	1.49	22.39	15.77	21.43	30.15	215.98	240.68	232.45
6330409D20Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95.49	3.51	2.88	2.88
A230050P20Rik	0.0	0.47	0.0	7.56	0.11	9.67	1.92	12.43	6.08	38.46	7.1	38.43	20.59	21.09	42.8	64.45	70.84	74.75
A930005H10Rik	0.0	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0.0	17.05	94.26	0.0	0.26	1.81	244.81	17.92	16.1	15.8
Acadl	14.32	0.0	0.0	7.68	0.0	27.27	0.56	50.61	0.0	3.4	7.89	0.0	14.5	0.0	107.52	37.6	37.36	34.39
Acox1	0.0	0.1	0.0	5.0	40.7	1.23	79.32	39.87	0.0	26.52	1.59	0.13	12.59	11.04	112.8	135.88	133.83	132.15
Ap1g1	0.0	0.0	0.0	0.75	0.02	0.81	0.15	0.76	0.15	9.08	1.62	11.03	3.64	6.56	45.9	48.4	47.39	45.92
Apbb3	0.0	0.0	0.0	0.0	0.0	0.21	0.0	5.35	0.0	41.53	4.97	0.0	50.93	0.0	157.39	45.43	49.05	43.66
Appbp2	0.0	0.0	0.0	0.0	0.0	113.23	3.51	70.66	58.55	14.63	9.93	17.55	19.11	27.61	269.96	49.69	43.37	49.39
Atcay	0.0	0.0	0.0	3.9	0.07	1.73	1.71	4.38	4.48	30.19	31.58	0.9	0.1	7.68	174.55	152.84	156.79	151.1
BC003331	0.0	0.0	0.0	114.78	0.0	0.07	1.33	44.77	19.46	50.24	0.79	0.08	62.39	115.34	190.67	32.91	29.84	33.45
C2cd4c	0.0	0.0	0.0	0.09	0.0	4.32	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.05	7.37	7.59	7.28
Cabin1	0.0	0.0	0.18	1.96	0.21	3.65	0.0	1.39	1.26	3.05	0.33	0.85	0.14	2.21	0.0	35.84	36.41	39.63
Ccl27b	0.0	0.0	0.0	9.17	0.0	20.98	0.81	11.75	11.59	0.69	0.85	0.0	0.0	389.64	0.6	30.63	28.29	22.96
Cdc42ep2	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	2.66	7.93	0.0	0.0	0.81	148.7	15.4	16.7	15.62
Cdc42ep3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.66	0.0	0.0	0.23	0.0	0.0	0.0	71.46	21.38	23.09	19.0
Cggbp1	0.0	0.0	0.0	34.41	0.0	32.26	0.0	3.83	18.88	0.0	0.21	40.79	0.04	0.27	81.37	42.8	40.68	38.76
Cnpy3	0.0	0.0	3.7	0.3	0.0	0.0	3.35	0.0	0.0	13.38	0.12	0.42	0.44	361.86	94.71	69.08	74.04	71.36
Coro1a	0.0	0.0	0.0	115.37	0.0	2.59	0.67	29.09	0.0	48.67	1.3	0.65	0.22	6.06	167.27	121.71	148.71	125.42
Cox10	0.0	0.0	0.17	3.94	0.0	24.52	115.35	0.98	4.06	3.63	12.14	17.69	5.22	27.71	175.92	18.99	19.13	19.79
Cpd	0.0	0.0	20.77	0.0	0.0	0.99	0.0	8.42	0.19	10.76	9.68	0.11	17.25	84.23	33.93	39.33	37.42	38.35
Cpsf3	0.0	0.0	0.0	48.01	0.06	0.07	0.41	37.85	58.65	67.51	67.13	18.2	0.13	1.4	139.47	42.58	44.26	38.15
Creb5	0.0	0.0	0.0	0.0	0.76	0.0	0.37	0.0	0.0	0.0	0.0	0.11	0.0	0.0	15.63	2.5	1.75	3.12
Cul3	0.0	0.0	0.0	1.46	0.0	61.59	0.0	2.59	48.36	32.81	5.1	125.85	6.06	0.43	164.15	99.11	90.28	95.25
Dctn2	0.0	0.0	0.0	0.61	0.08	7.11	24.89	46.74	0.19	134.99	35.33	8.11	14.76	36.59	242.54	264.51	285.25	270.01
Dmap1	0.0	0.0	0.0	0.0	0.0	0.0	1.41	12.18	0.0	0.0	0.77	0.0	0.0	0.8	242.44	31.72	34.05	29.68
Dmwd	0.0	0.0	0.0	0.0	0.06	2.9	0.42	26.53	0.0	23.24	0.0	0.0	1.16	0.47	92.28	100.0	111.98	108.17
Dnaja2	0.0	0.0	0.0	152.09	0.11	23.32	2.96	150.83	76.86	49.76	21.86	46.53	288.03	0.95	317.02	152.91	152.88	144.91
Dnajc14	0.0	0.0	5.65	17.72	0.0	0.0	0.0	33.71	0.0	0.0	0.11	0.12	0.0	0.0	50.48	35.4	35.22	31.78
