	Slc17a6_tdTpositive_cell_23	CAV_LP_Ipsi_tdTpos_cell_27	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700012A16Rik	0.0	0.0	2.52	2.37	1.8
4921531C22Rik	0.0	0.0	2.4	2.01	3.66
4930555I21Rik	0.0	0.0	1.58	2.35	2.06
Acacb	0.0	0.0	1.42	2.06	1.84
Acsbg1	0.0	0.0	111.66	115.0	121.36
Adap2	0.0	0.0	5.37	5.17	6.05
Agtrap	0.19	0.07	5.28	5.51	6.62
Ak4	0.0	0.0	28.84	26.43	24.02
Aldh8a1	0.0	0.0	0.13	0.29	0.09
Ap3m1	0.0	5.59	30.19	28.27	27.81
Apoe	0.0	0.0	1751.2	2087.69	2030.23
Atp8b3	0.0	0.0	0.04	0.04	0.09
B4galnt3	0.0	0.0	1.07	0.72	0.82
Baz1a	0.0	0.0	1.69	1.33	1.95
Brd4	0.0	0.0	43.58	42.01	46.57
C8b	0.0	0.0	0.04	0.04	0.09
Cacna1i	0.0	0.06	39.47	38.6	41.74
Ccdc93	0.0	0.0	14.44	12.57	13.91
Cchcr1	0.0	0.0	6.1	5.35	5.02
Cdhr1	0.0	0.0	4.88	6.77	6.05
Cep192	0.0	0.0	4.11	3.65	4.09
Ces1a	0.0	0.0	0.05	0.05	0.05
Clcf1	0.0	0.0	1.25	1.17	1.68
Cndp2	0.0	3.58	46.38	47.02	44.25
Cpt1a	0.0	0.0	16.18	17.93	18.07
Cyp27b1	0.0	0.0	0.38	0.35	0.59
Dnm3	8.12	37.29	65.31	62.37	65.21
Eno2	212.19	335.66	782.18	821.54	780.75
Fam101a	0.0	0.0	0.36	0.63	0.5
Fgfbp3	0.0	0.0	6.12	9.55	9.29
Foxi1	0.0	0.0	0.04	0.04	0.09
Gdf6	0.0	0.0	0.03	0.03	0.06
Gm2027	1.59	0.0	0.83	1.25	1.34
Gpr156	0.0	0.0	1.15	1.35	0.82
Grm4	0.0	0.0	17.66	17.01	18.6
Hhla1	0.0	0.0	0.04	0.04	0.09
Hist1h2bg	0.0	0.0	1.29	3.05	3.38
Hist1h3f	0.0	0.0	0.14	0.14	0.14
Hnrnph1	69.9	9.2	203.27	190.77	192.49
Hoxc8	0.0	0.0	0.04	0.04	0.09
Hoxd8	0.0	0.0	0.07	0.07	0.07
Hs3st2	0.0	16.97	51.35	52.11	49.81
Iars2	0.0	0.0	40.94	38.39	36.92
Inhbc	0.0	0.0	0.05	0.05	0.1
Kcnj10	0.28	0.27	84.73	76.94	90.56
Kctd13	0.0	1.49	179.74	187.58	185.98
Kera	0.0	0.0	0.05	0.05	0.05
Klrb1c	0.0	0.0	0.0	0.14	0.08
Lao1	0.0	0.0	0.05	0.05	0.05
Liph	0.2	0.41	0.83	0.65	0.82
Lrig3	0.0	0.0	1.33	1.6	1.68
Mlc1	0.0	0.0	170.89	175.61	177.2
Msh4	0.0	0.0	0.03	0.03	0.06
Nkx6-3	0.0	0.0	0.04	0.04	0.09
Nron	0.0	0.0	0.03	0.03	0.06
Nynrin	0.0	0.0	4.88	4.92	4.96
P2ry14	0.0	0.0	3.1	3.25	3.01
P4hb	1.48	0.12	93.33	96.9	92.31
Pdpn	0.0	0.0	8.32	9.95	8.76
Plcz1	0.0	0.0	0.54	1.03	1.31
Ptger1	0.0	0.0	20.27	21.52	20.0
Rala	13.28	0.0	61.85	58.6	59.24
Reck	0.0	0.0	8.86	8.34	8.64
Rrp15	0.0	0.0	12.76	15.22	12.57
S100a1	0.0	0.0	96.48	100.57	103.43
Scrg1	0.0	0.0	44.63	37.18	36.22
Sepp1	0.0	0.0	247.36	249.94	234.96
Shroom4	0.0	0.0	2.7	1.71	2.7
Sirt7	0.0	0.0	42.98	45.07	44.95
Slc1a3	0.0	0.0	331.12	320.84	356.33
Slc27a1	1.85	0.74	59.69	63.37	60.96
Slco1c1	0.0	0.0	50.31	46.06	53.04
Snap91	0.0	35.13	254.03	253.8	241.24
Srp68	19.08	0.12	62.41	62.8	60.84
Syk	0.0	0.0	2.33	2.35	2.39
Tas2r137	0.0	0.0	0.1	0.1	0.1
Tbx21	0.0	0.0	0.0	0.29	0.24
Tjp1	15.97	0.09	44.75	39.86	45.19
Tlr4	0.0	0.0	1.05	0.6	0.58
Ttc39d	0.0	0.0	0.05	0.05	0.05
Txnip	0.0	0.0	15.66	20.18	15.73
Upf1	1.14	0.0	41.5	43.06	42.2
Vax2os2	0.0	0.0	0.07	0.07	0.07
Vegfa	0.81	0.0	54.52	54.42	57.76
Vmn1r45	0.0	0.0	0.03	0.03	0.06
Vmn2r118	0.0	0.0	0.04	0.04	0.09
Vmn2r42	0.0	0.0	0.11	0.1	0.35
Ylpm1	0.0	0.0	51.66	46.9	52.27
Zp3r	0.0	0.0	0.05	0.05	0.05
mt_AK131586	0.0	1075.62	25813.35	24091.17	24561.45
mt_AK144853	115.17	581.19	10748.58	9082.92	10224.83
mt_AK166684	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	26.24	9032.87	8417.95	8583.15
