	Calb2_tdTpositive_cell_31	Calb2_tdTpositive_cell_32	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_10	Cux2_tdTpositive_cell_2	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_17	Cux2_tdTpositive_cell_103	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_5	Nr5a1_tdTpositive_cell_6	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_27	Nr5a1_tdTpositive_cell_43	Rorb_tdTpositive_cell_24	Rorb_tdTpositive_cell_26	Rorb_tdTpositive_cell_36	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_8	Scnn1a.Tg3_tdTpositive_cell_11	Scnn1a.Tg3_tdTpositive_cell_13	Scnn1a.Tg3_tdTpositive_cell_16	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_26	Scnn1a.Tg3_tdTpositive_cell_27	Scnn1a.Tg3_tdTpositive_cell_29	Scnn1a.Tg3_tdTpositive_cell_33	Scnn1a.Tg3_tdTpositive_cell_36	Slc17a6_tdTpositive_cell_18	Vip_tdTpositive_cell_16
2410089E03Rik	10.03	35.57	0.0	0.0	0.19	5.79	39.99	0.0	4.1	58.94	0.12	2.07	27.63	17.43	0.0	0.0	1.56	6.84	1.41	0.9	25.48	0.0	1.59	1.67	2.82	1.06	0.0	2.27	0.15	0.0	0.0	0.0	2.26	0.0
2900006K08Rik	14.82	29.02	0.0	0.0	0.73	0.0	70.39	0.0	0.0	2.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.42	0.0	0.0	1.43	0.0	14.5	1.56	1.21	1.52	0.0	1.8	0.0	23.23	0.0	0.0	10.71	0.0
4930511M06Rik	158.09	139.46	74.07	4.99	97.25	131.29	127.17	9.98	85.53	113.38	135.9	107.82	66.66	98.35	106.41	22.19	104.24	110.95	85.66	164.08	136.41	83.23	107.55	43.13	81.07	103.36	21.21	118.06	86.37	38.67	3.73	18.1	90.05	0.0
5730409E04Rik	2.38	218.49	1.28	1.39	5.65	36.58	130.32	41.71	1.55	6.95	3.35	188.19	150.13	112.98	0.61	30.95	150.05	67.76	6.29	49.8	46.45	9.61	117.46	67.08	37.11	0.7	0.0	0.91	9.22	0.0	0.41	40.41	14.5	0.0
5830418P13Rik	0.0	0.24	0.0	0.0	0.04	0.0	0.44	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.04	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9430018G01Rik	0.31	2.93	0.0	0.0	1.36	0.16	0.77	0.0	0.06	0.33	0.83	0.61	0.31	0.58	0.36	0.06	0.03	0.13	1.83	0.13	0.76	0.51	0.51	0.21	0.0	0.25	0.0	0.63	0.11	0.0	0.0	0.09	0.16	0.0
A630007B06Rik	64.8	102.71	0.0	0.0	9.56	19.28	147.06	65.19	49.0	53.18	4.72	3.42	0.0	0.0	0.0	0.0	0.0	2.89	0.0	0.06	67.56	22.02	65.71	5.54	49.43	35.37	0.0	64.34	18.44	42.03	0.0	127.44	135.47	0.0
Abcf3	270.05	302.84	0.0	0.0	0.11	121.83	303.69	95.77	47.03	44.18	184.18	122.86	5.08	0.0	110.18	107.87	0.16	0.11	187.42	6.61	50.94	100.11	191.53	216.96	299.68	260.76	0.0	190.35	0.0	9.07	154.39	0.0	101.17	0.0
Bcl7a	0.0	93.5	0.0	0.0	1.2	2.38	46.49	2.72	28.72	5.05	0.15	3.75	38.8	0.0	13.45	10.5	28.22	0.76	2.3	1.96	18.68	18.07	2.01	9.74	0.1	1.29	6.46	6.01	6.02	6.34	2.93	1.3	0.87	0.0
Bex4	0.0	157.6	0.0	0.0	0.0	58.42	249.92	1.26	103.95	89.85	84.76	0.28	108.56	0.0	0.0	0.0	253.26	161.91	71.46	0.0	95.54	0.0	150.19	55.08	71.26	90.26	0.0	2.69	60.99	0.0	74.23	0.0	67.99	42.06
