	Calb2_tdTpositive_cell_7	Calb2_tdTpositive_cell_46	Calb2_tdTpositive_cell_50	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Cux2_tdTpositive_cell_6	Htr3a_tdTpositive_cell_17	Htr3a_tdTpositive_cell_25	Ndnf_tdTnegative_cell_7	Nr5a1_tdTpositive_cell_35	Ntsr1_tdTnegative_cell_33	Ntsr1_tdTnegative_cell_35	PvalbD.Slc32a1_tdTpositive_cell_1	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_13	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_39	Rorb_tdTpositive_cell_47	Rorb_tdTpositive_cell_54	Scnn1a.Tg3_tdTnegative_cell_16	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700030J22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.71	0.0	0.0	0.0	0.0	0.0	0.0	12.12	0.0	0.0	0.0	0.0	2.84	0.09	0.0	0.0	2.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	147.51	0.0	0.0	0.0	0.0	0.0	7.73	7.38	7.02
2700023E23Rik	51.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.14	0.6	50.17	38.57	3.71	0.0	0.0	44.86	14.82	26.92	91.61	40.4	0.0	104.84	0.0	0.32	506.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	331.51	0.0	0.0	6.14	4.86	6.34
8430419L09Rik	187.92	0.0	174.55	0.0	0.0	0.0	93.8	0.0	176.03	123.72	12.53	0.28	43.83	253.89	89.85	37.41	30.5	74.46	29.94	31.63	5.85	3.45	35.33	7.89	0.16	0.23	0.25	0.0	0.0	0.15	0.0	0.0	160.3	0.32	0.09	17.73	0.13	0.0	139.39	141.01	160.23
9130011E15Rik	12.44	0.0	0.0	0.0	0.0	0.0	0.83	0.0	0.0	0.0	0.0	0.0	0.0	49.67	0.0	9.25	33.96	1.63	56.35	2.23	0.0	0.0	0.0	12.84	6.5	0.0	0.0	0.0	15.73	0.0	0.0	0.0	0.0	54.35	0.0	0.0	0.0	0.0	16.44	15.91	16.22
9330151L19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.72	7.97	12.09	0.0	0.0	2.17	0.0	5.81	0.0	0.0	2.9	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.63	148.6	0.0	0.0	0.0	0.0	0.0	22.66	23.63	26.04
A830018L16Rik	0.33	4.2	2.11	0.84	0.36	0.16	8.88	17.67	3.3	0.83	0.37	1.45	54.79	107.31	21.98	17.82	42.84	81.42	0.66	18.27	1.75	106.72	24.34	26.72	6.79	0.75	6.01	3.5	1.49	2.4	0.51	6.95	3.53	29.73	1.08	3.07	2.14	1.73	42.14	39.23	41.07
AI504432	78.55	0.0	0.0	0.0	0.0	0.0	178.5	88.88	0.0	0.0	0.0	0.0	0.0	113.85	38.76	0.0	9.03	42.5	0.0	2.08	18.38	0.0	32.41	0.0	0.12	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.1	0.0	19.35	17.53	18.79
Abca3	0.0	1.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.43	0.0	0.0	0.0	50.83	27.91	14.79	0.0	4.95	17.37	5.46	8.1	8.12	0.1	3.83	0.0	0.0	9.73	0.0	0.0	0.0	11.41	0.0	1.68	15.4	2.22	0.0	1.74	0.0	50.64	49.23	52.54
Afap1	0.29	13.43	147.13	2.27	62.09	0.02	1.15	0.03	14.74	0.18	0.19	0.37	0.0	222.02	0.97	3.8	3.63	0.4	0.26	3.36	6.79	0.12	0.32	0.0	0.18	1.03	316.75	0.24	6.15	0.3	0.0	0.51	0.39	0.21	0.1	0.23	24.36	0.06	9.28	9.16	10.18
Ankar	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61	0.0	0.28	0.0	2.39	0.0	0.0	0.0	1.21	0.0	0.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.06	0.02
