	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_41	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110049F12Rik	7.17	21.89	24.5	104.01	120.71	111.86
1190002F15Rik	0.0	0.0	0.0	0.36	0.67	0.0
1700001G11Rik	0.0	0.0	0.0	0.41	0.52	0.86
1700013H16Rik	0.0	0.0	0.0	0.0	0.08	0.08
1700019N12Rik	0.0	0.0	4.89	11.64	12.48	11.04
1700027H10Rik	0.0	0.0	0.0	0.5	0.28	0.62
1700092M07Rik	0.0	0.0	0.0	0.28	0.0	1.46
1700096K18Rik	0.4	0.37	0.0	3.24	3.83	3.56
1810011O10Rik	0.0	0.0	0.0	2.48	2.83	1.24
2900002K06Rik	0.0	0.0	0.0	1.39	0.72	0.92
4921539E11Rik	0.0	0.0	0.0	0.0	0.0	0.0
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4930544O15Rik	0.0	0.0	0.0	0.12	0.35	0.39
4930593A02Rik	0.0	0.0	0.0	0.0	0.1	0.45
4933412O06Rik	0.0	0.0	0.0	2.06	2.96	2.96
5031425F14Rik	0.0	0.0	0.0	0.0	0.06	0.06
5430407P10Rik	0.0	0.0	0.0	2.29	1.89	2.06
6720468P15Rik	0.0	0.0	0.0	0.37	0.42	0.79
Aass	0.0	0.0	0.0	2.47	2.83	2.28
Acsm4	0.0	0.0	0.0	0.14	0.09	0.09
Agtrap	0.0	0.0	0.85	5.28	5.51	6.62
Ak4	0.0	0.0	0.0	28.84	26.43	24.02
Ano1	0.0	0.0	0.0	1.96	2.63	2.26
Apc2	3.16	8.15	12.02	49.75	52.05	53.73
Arhgap22	0.0	0.0	0.0	4.1	6.37	5.3
BC051226	0.0	0.0	1.7	7.88	6.74	5.63
Baiap3	0.0	0.0	0.0	14.14	14.6	15.04
Bbc3	0.0	0.0	0.0	8.66	10.17	8.97
Blk	0.0	0.0	0.0	0.04	0.04	0.04
Cacng7	0.0	0.0	25.26	204.36	223.68	221.49
Capn8	0.0	0.0	0.0	0.0	0.04	0.04
Capn9	0.0	0.0	0.0	0.08	0.04	0.04
Ccdc80	0.0	0.0	0.0	4.99	5.56	5.84
Cd19	0.0	0.0	0.0	0.12	0.04	0.04
Cdca2	0.0	0.0	0.13	0.23	0.24	0.4
Cdhr2	0.0	0.0	0.0	0.45	0.22	0.22
Cdsn	0.0	0.0	0.0	2.03	1.94	1.94
Chadl	0.0	0.0	0.18	11.92	14.48	15.36
Chit1	0.0	0.0	0.0	0.12	0.11	0.36
Clmn	0.35	0.17	2.08	24.75	23.49	26.55
Coro1c	16.04	31.82	29.59	65.37	68.38	64.96
Cox8b	0.0	0.0	0.0	0.9	0.28	0.31
Ctnna2	0.14	62.21	55.9	89.21	93.31	92.12
Cyp24a1	0.0	0.0	0.0	0.09	0.06	0.06
D18Ertd653e	0.0	0.0	16.89	35.82	29.98	35.1
D730045A05Rik	0.0	0.0	0.0	0.17	0.1	0.71
D930048N14Rik	0.0	0.23	0.0	3.76	4.45	3.96
Dact2	0.0	0.0	0.0	50.6	53.22	56.6
Dlgap3	0.45	0.0	2.24	226.76	237.6	239.55
Dlx3	0.0	0.0	0.0	0.08	0.04	0.04
Entpd8	0.0	0.0	0.0	0.0	0.04	0.04
Fam75d3	0.0	0.0	0.0	0.0	0.02	0.02
Fbxo40	0.0	0.0	0.0	0.08	0.11	0.16
Foxd3	0.0	0.0	0.0	0.0	0.04	0.04
Galk1	0.0	0.0	0.0	14.02	13.71	14.02
Galm	0.0	0.0	0.0	2.12	1.62	1.91
Gdf2	0.0	0.0	0.0	0.0	0.03	0.03
Gen1	0.0	0.0	0.0	0.96	0.85	1.18
Gja8	0.0	0.0	0.0	0.0	0.07	0.07
Gjb4	0.0	0.0	0.0	0.0	0.07	0.07
Gkn1	0.0	0.0	0.0	0.0	0.08	0.08
Gm13446	0.0	0.0	0.0	6.48	6.49	6.16
Gm18409	0.0	0.0	0.0	0.0	0.04	0.04
Gm5465	0.0	0.54	0.15	1.1	0.99	1.0
Gm5891	0.0	0.0	0.0	0.0	0.01	0.01
Gm6150	0.0	0.0	0.0	0.07	0.03	0.03
Gm6498	0.0	0.53	0.29	1.36	0.5	0.57
Gm8439	0.0	0.0	0.0	0.0	0.24	0.0
Gmfg	0.0	0.0	0.0	1.03	1.36	1.27
Gna14	0.0	0.0	0.0	0.23	0.16	0.21
Hdac7	0.0	0.64	0.0	23.81	23.78	28.06
Hephl1	0.0	0.0	0.0	0.02	0.04	0.04
Hist1h2ae	0.0	0.0	0.0	0.25	0.45	0.5
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hist1h4a	0.0	0.0	0.0	0.91	0.62	0.0
Hist1h4f	0.0	0.0	0.0	0.0	0.0	0.0
Hist1h4k	0.0	0.0	0.0	2.74	2.5	5.71
Hoxd4	0.0	0.0	0.0	0.0	0.0	0.0
Hsd11b2	0.0	0.0	0.0	0.16	0.05	0.06
Hsf2bp	0.0	0.0	0.0	0.24	0.26	0.14
Igf2bp1	0.0	0.0	0.0	0.05	0.01	0.01
Il28ra	0.0	0.0	0.0	0.22	0.16	0.15
Irx2	0.0	0.0	0.0	0.0	0.04	0.04
Itga2	0.0	0.0	0.0	0.12	0.02	0.02
Kcnk18	0.0	0.0	0.0	0.0	0.03	0.03
Kcnq1	0.0	0.0	0.0	0.65	0.59	0.67
Kcnv2	0.0	0.0	0.0	0.0	0.02	0.02
Klhdc7a	0.0	0.0	0.08	7.16	6.23	7.11
Klkb1	0.0	0.0	0.0	0.12	0.04	0.04
Klrk1	0.0	0.0	0.0	0.0	0.03	0.03
Krt85	0.0	0.0	0.0	0.0	0.22	0.22
Lhx9	0.0	0.0	0.0	1.29	1.61	1.31
Loxhd1	0.0	0.0	0.0	0.07	0.06	0.06
Lphn3	6.02	1.24	0.0	43.63	39.06	43.63
Lrat	0.0	0.0	0.1	0.21	0.26	0.31
Lrch4	0.0	0.0	0.0	11.26	7.66	11.08
Lrp2	0.0	0.0	0.0	0.09	0.11	0.11
Lrrc25	0.0	0.0	0.0	0.79	0.89	0.89
Macc1	0.0	0.0	0.0	0.1	0.1	0.19
Marveld2	0.0	0.0	0.0	1.0	1.42	0.51
Myh7b	0.0	0.0	0.0	3.51	3.82	3.92
Naglu	0.0	0.0	0.0	7.63	9.58	9.39
Nags	0.0	0.0	0.0	0.13	0.06	0.06
Naip1	0.0	0.0	0.0	0.37	0.12	0.12
Nat8l	18.91	48.06	119.04	153.84	160.67	162.44
Ncf2	0.0	0.0	0.0	3.01	3.87	3.24
Ndufab1	22.21	51.1	47.68	106.39	124.38	113.78
Neb	0.02	0.0	0.0	0.31	0.28	0.36
Nefm	3.35	0.0	5.3	170.79	173.01	185.04
Neurod1	0.0	0.0	5.26	13.75	12.99	13.13
Npsr1	0.0	0.0	0.0	2.23	2.3	2.25
Nr2e3	0.0	0.0	0.0	0.0	0.0	0.05
Nrp2	1.07	1.07	0.28	20.63	19.11	20.72
Nuak2	0.0	0.0	0.0	0.79	0.63	0.78
Nudt15	0.0	0.0	0.0	5.83	5.81	5.31
Nxn	0.0	0.0	0.0	7.52	8.59	6.65
Osbpl10	0.0	0.0	0.0	38.78	39.97	39.26
Pard3b	0.0	0.0	0.0	1.31	1.39	1.4
Pdzrn4	0.0	0.0	0.0	5.81	5.82	5.07
Pkhd1	0.0	0.0	0.0	0.09	0.01	0.01
Pla2g4d	0.0	0.0	0.0	0.12	0.03	0.03
Polm	0.0	0.0	0.0	5.83	5.75	6.02
Pou3f3	0.0	0.0	21.33	62.62	61.78	61.73
Ppp1r13l	0.0	0.0	0.0	2.86	3.32	2.47
Prss53	0.0	0.0	0.0	3.07	3.26	3.04
Prx	0.0	0.0	0.0	1.25	1.02	1.02
Pygl	0.0	0.0	0.0	3.25	3.56	3.07
Rad51	0.0	0.0	0.0	1.44	1.83	1.2
Rad51ap2	0.0	0.0	0.28	1.3	0.76	1.38
Rasgrp1	1.81	17.85	84.59	305.33	284.99	284.95
Rbpms	0.0	0.0	0.0	3.27	3.62	3.62
Rhov	0.0	0.0	0.0	9.85	11.55	10.85
Samd9l	0.0	0.0	0.17	1.91	1.63	2.07
Scarb1	0.0	0.0	0.0	28.97	28.92	26.32
Scn4b	0.0	0.0	19.54	172.59	172.42	164.66
Selp	0.0	0.0	0.0	0.04	0.03	0.03
Sema4c	0.0	0.0	0.12	10.98	12.29	11.33
Sh3bgr	5.31	0.0	0.0	1.14	1.07	0.86
Sh3bp4	0.0	0.0	0.0	14.55	15.81	15.81
Shbg	0.0	0.0	0.0	0.0	0.0	0.07
Sik3	2.96	8.37	15.97	53.53	56.24	58.89
Slain2	2.0	0.0	5.85	16.28	15.41	16.28
Slc10a4	0.0	0.0	0.0	3.73	3.59	2.91
Slc44a3	0.0	0.0	0.0	0.15	0.07	0.04
Slc5a7	0.0	0.0	0.0	3.27	3.23	4.02
Slc6a3	0.0	0.0	0.0	0.2	0.16	0.18
Slc6a5	0.0	0.0	0.0	0.0	0.04	0.04
Slc7a2	0.0	0.38	5.19	13.05	12.6	13.08
Slc9a7	0.7	7.79	10.09	22.83	20.94	22.93
Slco6c1	0.0	0.0	0.0	0.04	0.04	0.04
Sln	0.0	0.0	0.0	0.4	1.71	0.42
Smoc1	0.0	0.0	0.13	8.69	9.66	9.84
Smpx	0.0	0.0	0.0	0.0	0.0	0.0
Sobp	0.11	13.97	7.37	43.99	46.81	48.08
Spata4	0.0	0.0	0.0	0.29	0.36	0.79
Sqrdl	0.0	0.0	0.0	6.22	6.14	5.72
Srcin1	4.69	5.26	7.66	138.51	141.68	150.57
Sun3	0.0	0.0	0.0	0.08	0.09	0.09
Svs1	0.0	0.0	0.0	0.0	0.0	0.0
Tcf23	0.0	0.0	0.11	0.48	0.33	0.35
Tdrd5	0.0	0.0	0.13	1.6	1.78	1.77
Thrsp	0.0	0.0	0.0	35.3	31.23	28.21
Tln1	1.71	0.46	0.0	14.41	15.58	15.89
Tmem55b	1.87	10.14	12.85	64.05	65.76	59.84
Tmprss13	0.0	0.0	0.0	0.0	0.03	0.04
