	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_65	Nkx2.1_tdTpositive_cell_9	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_66	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_4
4921517L17Rik	0.0	0.0	0.0	0.0	63.03	0.0	0.0	2.59	0.0	19.41	0.0	0.0	0.0	0.0	1.55	0.0	63.67	0.0	0.0	2.39	0.0	0.0	16.11	0.0	0.0	3.17	3.09	0.0	0.0	0.0
A130049A11Rik	0.0	0.32	0.0	0.0	61.38	0.09	0.0	2.18	0.0	0.0	0.0	10.55	36.51	22.15	0.0	0.0	44.86	0.2	0.0	7.71	10.52	0.0	0.0	0.39	0.0	0.0	0.83	0.0	3.22	0.0
A330102I10Rik	0.0	0.0	0.0	0.0	146.41	3.84	20.36	69.24	0.0	20.77	86.46	90.15	2.03	110.82	74.77	114.0	106.18	191.19	28.0	34.48	108.9	24.84	3.0	29.99	37.7	67.09	127.93	4.59	143.5	0.0
Akap8	0.63	19.68	0.37	0.49	115.12	17.57	13.91	30.32	38.86	46.96	26.54	0.82	29.03	1.98	11.08	21.12	132.31	0.72	0.51	43.16	13.7	33.93	33.03	25.43	74.99	40.63	24.54	31.07	21.54	0.89
Amd1	4.27	26.59	0.0	0.0	140.58	3.67	30.25	43.31	30.72	33.26	69.96	60.22	82.25	66.95	70.25	49.45	112.84	38.82	21.04	25.65	2.85	83.31	74.91	67.47	68.78	274.73	53.14	0.0	64.18	0.0
Amy2a2	0.05	0.0	0.0	0.08	0.13	0.03	0.04	0.2	0.0	0.14	0.05	0.0	0.4	0.17	0.18	0.04	1.51	0.07	0.14	0.07	0.14	0.7	0.24	0.0	0.23	0.42	0.16	0.41	0.09	0.02
Amy2a3	0.05	0.0	0.0	0.08	0.13	0.03	0.04	0.2	0.0	0.14	0.05	0.0	0.4	0.17	0.18	0.04	1.51	0.07	0.14	0.07	0.14	0.7	0.24	0.0	0.23	0.42	0.16	0.41	0.09	0.02
Amy2a4	0.05	0.0	0.0	0.08	0.13	0.03	0.04	0.2	0.0	0.14	0.05	0.0	0.4	0.17	0.18	0.04	1.51	0.07	0.14	0.07	0.14	0.7	0.24	0.0	0.23	0.42	0.16	0.41	0.09	0.02
Aplf	0.0	0.23	0.0	1.26	15.35	0.49	7.28	8.13	0.0	7.23	2.07	4.65	22.64	0.57	8.82	2.9	12.51	13.88	3.25	4.75	11.73	4.27	17.76	9.95	9.01	8.01	6.83	10.51	7.99	0.0
Astn1	0.26	0.0	0.0	0.06	69.21	0.81	20.35	11.05	47.4	33.73	16.35	24.68	21.19	0.16	13.44	37.84	66.98	49.35	5.13	14.31	4.91	18.14	15.5	29.4	9.01	34.32	50.11	25.76	46.66	0.0
