	Calb2_tdTpositive_cell_34	Calb2_tdTpositive_cell_35	Calb2_tdTpositive_cell_55	Calb2_tdTpositive_cell_56	Calb2_tdTpositive_cell_57	Gad2_tdTpositive_cell_1	Htr3a_tdTpositive_cell_48	Htr3a_tdTpositive_cell_59	Ntsr1_tdTnegative_cell_32	Sst_tdTpositive_cell_3	Sst_tdTpositive_cell_6	Sst_tdTpositive_cell_83	Sst_tdTpositive_cell_88	Vip_tdTpositive_cell_1	Vip_tdTpositive_cell_16	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_48	Vip_tdTpositive_cell_49	Vip_tdTpositive_cell_50	Vip_tdTpositive_cell_51	Vip_tdTpositive_cell_52	Vip_tdTpositive_cell_54	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28
1700020I14Rik	39.8	0.0	239.51	65.71	234.27	0.0	0.31	26.81	0.26	0.0	52.16	34.06	39.35	0.0	0.0	49.99	0.0	0.32	0.0	0.0	55.25	0.0	97.03	73.36	72.21	0.0	154.59	26.73	33.64	65.76	353.8	64.98	60.69
5730437N04Rik	0.0	0.79	105.54	0.0	0.0	0.0	0.0	0.0	62.37	0.0	0.0	0.0	0.0	40.8	0.0	0.37	0.0	0.0	0.0	0.0	121.48	0.0	71.38	80.4	79.28	0.0	1.85	0.0	121.78	0.0	230.44	127.82	1.03
Adcy1	0.0	0.06	0.0	0.0	0.0	0.0	0.61	0.73	0.0	24.9	10.84	25.32	3.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.21	51.82	49.75	57.0	47.75	47.19	1.74	36.68	64.4	45.81	71.76	37.15
Atp2b1	24.68	130.79	100.5	31.1	83.84	64.2	28.47	78.96	0.17	205.63	173.7	60.19	126.73	36.22	38.79	9.25	82.5	22.49	70.79	83.66	84.72	249.28	532.17	401.54	376.73	770.95	600.3	488.35	405.62	382.14	395.09	289.35	488.69
Atrnl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.45	0.0	0.06	0.0	0.0	0.0	1.39	0.0	0.0	0.0	0.08	11.9	14.66	14.64	2.64	0.0	0.0	0.0	0.0	0.0	0.05	2.02
C030046I01Rik	16.36	27.7	6.83	113.89	2.58	30.46	204.12	2.96	14.02	29.72	27.06	15.7	14.36	1.79	1.45	54.42	1.32	32.12	2.2	0.68	23.02	29.9	91.84	105.82	117.97	202.53	36.79	7.39	33.94	34.07	175.53	39.68	21.2
Cap2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	43.49	61.19	10.85	0.15	0.18	0.1	0.05	0.1	0.24	0.0	0.25	0.0	0.15	157.76	162.81	161.64	324.74	256.82	23.9	42.11	150.42	84.51	50.09	88.91
Ccdc92	0.0	0.0	0.0	0.0	0.0	6.41	0.0	0.83	0.0	107.49	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.74	0.24	13.29	7.51	7.42	0.0	94.21	42.88	0.0	0.0	0.0	0.0	0.0
Ccl27b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.06	0.26	0.24	0.28	0.06	10.5	1.6	0.0	0.0	8.98	0.18	0.42	0.52	0.0	16.45	61.27	76.52	71.98	88.07	319.12	80.83	235.31	83.58	176.84	97.07	149.77
Dlat	0.0	0.0	127.78	0.0	0.0	0.0	0.0	0.0	0.0	172.38	96.75	0.08	78.67	0.0	0.0	4.2	0.0	0.17	0.0	0.0	0.0	27.02	11.09	11.69	13.08	2.36	1.19	0.0	8.11	0.0	9.1	2.39	0.0
Dld	86.07	200.72	443.28	609.7	129.12	298.74	315.39	224.68	0.72	142.88	133.02	128.45	304.2	0.18	67.92	505.13	0.18	0.44	1.3	171.55	0.25	1.44	336.81	276.4	254.3	200.15	380.12	136.04	74.67	167.59	250.84	99.84	107.78
Dok5	0.9	2.45	2.21	1.99	1.76	0.6	0.98	2.09	0.39	146.02	128.46	0.51	1.07	0.38	0.0	0.97	1.03	0.28	0.46	2.19	1.06	2.1	255.79	239.66	243.01	25.13	296.46	123.73	171.43	22.63	10.16	203.21	122.62
Fam155a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.79	83.02	3.57	0.0	0.0	0.0	3.12	0.0	0.0	0.0	9.93	0.35	0.0	37.4	36.26	39.34	86.33	130.2	0.93	5.19	18.52	174.94	13.22	1.83
Fam81a	0.0	0.0	120.6	0.53	0.45	391.41	173.64	0.0	2.08	142.48	229.46	0.22	12.76	0.14	0.13	26.71	0.14	0.17	0.99	77.79	9.53	180.32	1003.42	689.32	735.46	400.99	234.31	51.97	146.82	421.49	143.37	87.42	57.07
Gabrd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	5.29	38.29	32.29	0.29	1.38	0.0	0.0	0.0	0.0	0.0	0.0
Gm13306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.06	0.26	0.24	0.28	0.06	10.5	1.6	0.0	0.0	8.98	0.18	0.42	0.52	0.0	16.45	61.27	76.52	71.98	88.07	319.12	80.83	235.31	83.58	176.84	97.07	149.77
Gm2506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.06	0.26	0.24	0.28	0.06	10.5	1.6	0.0	0.0	8.98	0.18	0.42	0.52	0.0	16.45	61.27	76.52	71.98	88.07	319.12	80.83	235.31	83.58	176.84	97.07	149.77
Got1	706.2	977.21	82.65	137.63	600.37	653.8	759.78	397.51	0.59	177.83	667.29	990.63	1101.0	1240.6	0.0	551.9	27.45	0.24	626.16	216.58	355.01	959.01	820.54	1008.91	998.05	1568.05	992.56	443.47	544.03	587.55	416.46	376.52	321.17
Grik3	0.0	0.0	0.05	0.0	0.0	0.04	0.05	0.0	0.0	0.05	41.53	2.28	1.56	0.09	0.0	0.01	0.05	0.06	0.0	0.05	0.0	0.08	10.33	12.09	11.47	0.42	49.45	13.83	0.0	27.35	61.06	22.41	4.25
Hapln4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	5.39	5.17	4.83	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0
Homer1	0.0	0.0	6.78	0.0	0.0	33.05	0.0	0.0	0.0	30.88	17.78	62.66	0.13	0.1	0.0	36.49	0.1	0.0	0.12	0.22	0.27	0.13	83.5	55.45	61.95	251.57	49.23	201.56	19.2	108.1	41.58	21.58	61.79
Hspa12a	0.0	0.0	0.0	0.0	11.16	0.0	0.0	0.0	0.07	0.0	0.0	2.83	0.0	0.0	0.06	0.0	0.0	1.18	0.0	21.12	0.0	51.45	16.82	15.49	13.6	82.47	0.0	0.0	69.91	0.0	0.08	73.19	45.31
Idh3a	219.17	490.43	314.55	800.62	287.63	489.57	218.15	532.56	1.67	162.79	700.73	424.68	515.81	446.36	1232.41	491.69	449.94	924.47	832.36	343.36	367.65	219.39	993.34	865.62	814.67	1339.5	648.5	585.91	419.2	758.28	726.94	473.78	632.05
Ina	0.0	0.0	0.0	10.02	0.0	0.0	0.0	0.0	0.36	0.15	67.86	9.03	25.98	0.0	287.19	0.0	22.49	0.0	0.0	0.2	64.67	0.24	65.81	77.89	77.22	73.83	102.18	248.6	6.13	19.76	5.51	24.64	29.57
Iqsec1	9.57	12.97	12.62	0.87	11.6	1.05	22.39	13.13	0.41	16.71	11.48	57.39	26.2	2.7	9.6	88.95	22.22	17.32	1.27	13.21	8.48	23.94	27.46	24.12	32.51	19.22	5.05	19.32	19.07	39.25	16.01	0.8	0.68
Kcnab2	20.22	1.96	0.0	0.0	0.0	42.39	0.0	0.0	0.0	54.97	25.81	48.12	7.3	0.0	0.0	0.0	0.0	0.41	0.0	0.0	2.63	2.99	31.15	32.49	24.29	34.13	37.04	0.39	15.92	11.09	85.45	0.08	15.16
Lynx1	0.0	0.92	0.0	0.0	0.0	32.11	0.0	0.0	0.1	21.97	4.28	0.08	0.55	3.81	0.0	0.0	0.0	0.0	0.0	0.0	0.14	137.05	35.16	58.04	47.66	176.54	34.09	80.87	0.0	12.51	0.0	66.79	29.51
Lysmd2	0.0	229.18	0.0	0.0	165.25	0.0	0.0	0.0	0.0	0.0	16.59	6.33	0.0	0.0	81.46	0.0	0.0	242.52	0.0	0.0	0.0	0.92	116.45	116.18	114.27	127.71	263.56	202.45	0.0	277.34	223.45	96.19	104.77
Mef2c	129.78	73.72	0.07	98.91	104.5	123.54	63.73	0.07	0.95	561.35	282.96	81.51	6.2	116.8	8.29	60.76	0.49	1.28	3.16	2.12	12.14	171.63	325.07	320.06	336.42	288.24	261.35	193.75	145.27	145.8	584.81	159.32	295.56
Mkl2	27.19	75.27	1.26	1.6	5.99	65.84	5.14	23.56	38.8	79.46	46.44	83.07	29.48	0.57	0.09	123.38	19.37	32.12	35.32	3.65	37.1	38.89	360.18	264.2	249.53	263.05	150.42	276.04	192.52	220.38	140.68	77.15	206.77
Nme7	125.08	101.57	103.09	91.8	45.56	105.21	182.64	46.42	1.97	73.99	180.71	171.17	68.92	189.04	69.57	54.21	62.74	26.88	63.52	114.79	58.29	263.05	128.84	149.13	141.89	56.21	85.02	211.1	247.52	343.36	180.78	212.4	251.89
