	Chrna2_tdTpositive_cell_31	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_70	Sst_tdTpositive_cell_18	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001K23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.2	0.22
1700008J07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.62	3.64	4.36
2310001K24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.95	0.7	0.25
2310043L19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.14	0.15
2310065F04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.14	0.07
4833403I15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.09	0.03
4930403N07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
4930419G24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.18	0.2
4930426L09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.07	1.14	1.66
4930505A04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.75	0.62	0.79
4931440P22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.89	0.96	0.81
4933406C10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.98	0.92	1.07
5830432E09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.45	0.28
9330111N05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.13	0.07
9530036O11Rik	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.65	0.41	0.42
9530080O11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.77	3.45	3.24
A230072E10Rik	2.26	0.86	1.58	1.95	1.73	0.89	1.24	1.58	2.65	2.43	2.12	3.27
AF366264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.04	0.08
AV051173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.46	0.17
Abca13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.02	0.03
Abcc6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.48	1.55	1.2
Abhd16b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.05	0.06
Acot11	0.54	0.13	0.0	0.04	0.41	4.89	0.06	0.15	0.1	18.55	16.97	18.44
Adamtsl4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.26	4.85	6.1
Alox12e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51	0.24	0.22
Anxa9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	1.33	1.36	1.33
Apol10b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.47	0.36
Atp10a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.95	6.52	6.68
Atp8b3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Awat2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.24	0.13
B230119M05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.19	0.21
