	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_14	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_6	Gad2_tdTpositive_cell_41	Htr3a_tdTpositive_cell_85	Nr5a1_tdTpositive_cell_51	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_45	PvalbF.Gad2_tdTpositive_cell_49	PvalbF.Gad2_tdTpositive_cell_52	PvalbF.Gad2_tdTpositive_cell_53	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_55	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_60	PvalbF.Gad2_tdTpositive_cell_61	PvalbF.Gad2_tdTpositive_cell_62	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_65	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_71	PvalbF.Gad2_tdTpositive_cell_72	PvalbF.Gad2_tdTpositive_cell_73	PvalbF.Gad2_tdTpositive_cell_76	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_22	Tac2_tdTpositive_cell_4
1110054O05Rik	0.92	0.0	0.0	0.0	0.14	0.0	0.62	1.2	8.58	6.32	8.94	5.1	0.19	0.12	19.75	8.7	4.25	40.01	0.99	5.81	53.31	0.71	0.92	0.0	1.01	0.03	0.0	10.05	4.32	4.84	0.35	10.91	0.46	6.42	15.39	4.3	34.96	10.09	4.09	0.0	0.0	17.89
1110057K04Rik	14.0	4.55	6.37	0.18	7.5	17.34	9.46	101.4	44.57	30.98	124.15	128.4	101.8	22.77	75.86	92.48	33.32	7.63	15.77	64.4	125.9	82.7	58.57	53.41	108.04	7.82	213.6	67.98	62.91	15.85	157.79	168.92	99.82	32.14	3.93	130.74	60.62	81.75	99.45	7.58	428.16	268.84
1500031L02Rik	0.0	8.48	0.0	0.0	0.0	0.0	0.19	16.49	58.35	5.77	167.73	192.53	152.94	115.01	167.12	58.13	242.84	241.86	153.16	76.19	264.65	174.29	93.42	67.51	141.68	7.85	193.38	85.28	237.38	167.83	205.54	157.89	50.82	187.76	172.71	161.68	0.0	181.0	182.85	0.0	0.0	308.04
1700048O20Rik	0.26	27.37	1.38	0.0	0.31	0.14	4.89	0.65	2.22	2.19	67.96	2.08	1.97	5.81	1.99	5.94	1.38	3.8	6.79	3.09	48.44	1.46	3.49	3.07	6.25	2.51	3.05	0.7	4.93	5.28	4.09	36.49	7.96	7.73	3.23	65.53	3.09	4.0	4.97	2.31	0.0	0.7
2410002O22Rik	4.34	61.9	161.72	0.0	3.07	7.44	106.8	33.98	165.83	134.15	122.3	146.18	96.56	134.48	56.76	94.94	83.33	166.48	86.81	96.22	200.31	154.54	92.65	280.16	161.94	123.64	162.77	129.82	167.26	145.67	73.3	184.36	282.05	145.52	215.9	140.04	186.08	294.62	172.97	3.84	1.09	267.12
2700099C18Rik	0.0	0.0	0.0	0.0	0.0	0.0	1.01	0.0	0.0	0.0	2.74	1.73	0.0	0.0	0.0	7.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.33	0.0	0.0	8.64	0.0	0.0	0.0	0.0	1.32	0.0	0.62	8.01	0.0	0.3	0.0	9.73	0.0	0.0	0.0
4931402G19Rik	0.26	0.16	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.65	0.37	0.6	0.22	0.57	0.86	0.31	0.37	0.24	0.63	0.0	0.56	0.17	0.22	0.69	0.57	1.45	0.32	0.27	0.19	0.34	0.61	0.29	0.0	0.89	0.35	0.68	0.57	1.06	0.0	0.0	1.29
A930001N09Rik	0.0	9.24	0.0	0.0	1.25	0.0	43.4	3.53	13.35	7.5	15.8	4.07	11.02	13.0	12.22	61.38	33.93	28.12	34.1	14.42	0.85	0.0	8.13	5.43	9.62	8.84	9.91	12.5	33.12	2.17	18.05	68.41	0.0	19.54	28.56	23.67	8.44	9.91	27.22	0.11	0.0	62.22
Aggf1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.42	3.16	2.23	13.69	6.66	19.36	0.0	17.37	8.05	1.82	69.35	67.9	0.14	17.07	70.44	0.0	6.03	9.98	3.59	27.06	11.94	0.12	10.33	31.76	1.9	61.93	22.57	25.31	22.32	89.64	0.0	0.0	0.0
Amy2a2	0.05	0.03	0.0	0.0	0.0	0.0	0.11	0.05	0.14	0.07	0.14	0.07	0.14	0.15	0.7	0.16	0.15	0.53	0.47	0.39	0.53	0.11	0.13	0.03	0.03	0.06	0.17	0.0	0.14	0.04	0.0	0.42	0.51	0.55	0.0	0.89	0.06	0.23	0.09	0.07	0.0	0.53
Amy2a3	0.05	0.03	0.0	0.0	0.0	0.0	0.11	0.05	0.14	0.07	0.14	0.07	0.14	0.15	0.7	0.16	0.15	0.53	0.47	0.39	0.53	0.11	0.13	0.03	0.03	0.06	0.17	0.0	0.14	0.04	0.0	0.42	0.51	0.55	0.0	0.89	0.06	0.23	0.09	0.07	0.0	0.53
Amy2a4	0.05	0.03	0.0	0.0	0.0	0.0	0.11	0.05	0.14	0.07	0.14	0.07	0.14	0.15	0.7	0.16	0.15	0.53	0.47	0.39	0.53	0.11	0.13	0.03	0.03	0.06	0.17	0.0	0.14	0.04	0.0	0.42	0.51	0.55	0.0	0.89	0.06	0.23	0.09	0.07	0.0	0.53
Ap1s3	2.02	1.32	8.98	0.12	2.5	5.35	1.96	9.18	6.4	4.17	5.14	3.31	2.2	1.51	5.49	3.11	2.6	5.37	3.1	6.73	2.39	6.48	3.69	3.03	3.21	3.71	7.21	1.73	2.53	3.15	2.41	6.26	5.26	5.0	8.21	3.03	6.55	2.72	5.73	8.56	0.34	6.8
Apol8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.5	0.22	0.87	0.0	49.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.74	0.0	0.0	0.0
Arhgap44	0.0	64.77	0.0	0.0	0.11	0.0	316.28	49.74	105.85	224.78	229.92	262.0	242.31	215.38	309.57	274.51	293.75	286.33	227.91	197.7	226.84	238.06	235.89	258.84	221.26	223.69	200.33	318.63	223.72	188.69	267.12	400.61	363.5	198.04	212.42	397.69	246.11	299.56	315.32	0.0	0.0	446.99
Arhgef10l	0.0	0.0	67.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.2	2.59	0.0	0.0	0.0	0.0	2.83	0.0	0.96	5.27	17.43	0.41	0.0	0.0	2.55	0.0	0.25	0.91	0.0	0.09	0.0	0.0	17.99	7.18	12.24	6.06	0.0	0.0	0.0	0.0	0.0	0.0
Arhgef2	0.0	0.0	0.0	0.0	0.0	0.0	11.43	1.99	1.22	31.84	20.03	0.99	6.79	2.68	13.1	1.62	11.1	1.63	17.27	18.9	33.45	0.0	0.0	9.24	0.0	1.62	0.26	4.68	3.27	1.54	0.0	24.08	0.0	0.29	18.55	15.98	0.0	4.65	20.71	0.0	0.08	0.14
