	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_47	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_63	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_26	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_8
6330512M04Rik	0.0	0.0	0.0	0.0	17.47	40.37	23.59	0.0	0.0	6.64	6.92	10.38	0.0	0.63	5.71	6.17	23.7	18.98	4.31	2.44	22.28	12.98	14.66	9.81	59.27	11.18	22.5	61.94	15.0	8.51	0.0	7.14	20.36	1.99	11.32	8.75	16.14	28.89	10.95	25.53	2.3	42.74	13.78	0.0	6.06	1.12	1.56	0.0	0.0
Acn9	0.0	0.0	0.0	0.0	0.0	276.35	135.93	99.29	0.0	249.63	178.37	283.12	0.0	244.78	197.26	95.23	319.51	186.72	155.72	113.29	116.69	173.29	114.1	109.62	260.89	77.46	417.83	111.11	242.13	107.43	137.6	0.0	152.12	219.04	94.11	73.73	417.83	295.53	77.54	251.96	220.95	133.73	225.93	216.94	211.31	248.84	82.24	0.0	0.0
Actn1	0.0	0.0	0.0	0.0	0.0	22.07	4.91	0.0	46.75	8.98	7.45	9.88	0.0	1.56	0.41	0.0	5.07	11.5	8.79	0.0	1.44	3.5	5.44	0.52	11.49	0.12	11.62	6.07	11.68	0.0	0.0	0.0	0.0	6.08	2.51	5.6	0.0	0.0	1.46	3.24	0.0	2.44	10.04	5.88	4.5	0.0	0.0	0.0	0.0
Ankrd29	0.0	344.34	0.18	0.0	0.0	43.82	81.62	0.0	423.18	149.41	95.46	43.35	56.9	53.54	109.17	21.81	130.06	123.48	58.16	28.77	20.42	44.52	104.86	161.35	335.04	25.83	180.89	44.54	193.51	12.55	39.14	8.37	46.68	120.33	38.35	69.84	73.78	278.67	91.92	84.24	61.3	158.3	68.18	173.04	170.28	184.46	107.5	0.0	0.0
Ap2a2	0.0	5.19	0.0	21.19	0.0	55.45	47.86	0.0	37.18	128.05	69.04	37.72	33.6	83.07	96.31	47.81	45.29	66.09	55.15	70.89	61.24	50.15	116.02	50.92	21.92	59.68	106.87	89.28	95.23	37.91	56.99	46.29	35.08	14.67	36.39	54.66	50.89	61.95	86.33	40.94	45.89	61.51	20.52	40.89	91.96	14.29	28.27	0.08	1.31
B3galnt1	0.0	0.26	0.0	0.0	0.0	393.38	179.08	0.0	0.95	63.89	0.0	281.59	160.64	270.63	15.95	77.59	117.75	35.76	111.07	159.04	212.48	101.2	176.03	159.28	371.59	349.95	293.86	0.0	404.13	61.56	67.27	208.62	54.93	28.48	51.34	96.49	63.12	359.6	0.0	146.61	0.0	399.56	36.94	268.32	8.69	73.66	66.9	0.37	0.0
Carkd	415.06	0.0	0.0	0.0	0.0	134.57	100.97	0.34	0.47	37.64	205.94	111.86	3.0	74.85	107.2	110.07	86.77	308.94	0.0	211.44	280.86	99.76	116.52	107.4	114.95	0.0	108.27	121.3	135.47	195.54	71.96	0.41	117.31	36.97	42.7	31.92	114.32	94.56	126.25	0.34	163.88	94.14	12.68	65.59	134.03	70.15	43.98	0.55	0.0
Cdv3	2.27	13.68	0.0	0.55	0.14	64.74	32.35	0.13	0.36	56.75	8.2	72.18	46.76	33.09	39.54	0.17	75.71	46.17	83.33	41.5	100.96	61.32	121.74	37.03	86.13	22.03	159.15	119.0	273.64	0.0	61.78	52.24	32.06	31.55	27.27	39.92	5.03	56.1	2.55	44.58	6.57	90.84	29.79	37.09	162.57	33.9	5.49	0.11	0.27
Cntnap2	4.26	55.33	0.0	0.0	0.0	102.71	5.99	0.0	0.35	50.01	41.7	42.85	49.47	33.17	46.6	32.67	7.34	60.38	39.87	99.67	64.05	72.2	65.78	39.09	14.72	104.04	28.56	76.92	54.78	85.3	37.68	18.65	133.69	64.75	26.11	10.47	90.89	31.86	82.92	36.3	66.92	19.8	19.21	37.3	78.49	19.33	77.79	0.0	0.0
Fgf12	0.0	112.87	0.0	0.0	0.0	823.91	348.1	0.0	1.37	293.36	529.03	409.02	375.02	411.89	328.64	371.8	357.8	311.71	456.47	332.4	479.44	461.98	438.24	454.0	354.84	294.46	359.77	331.22	695.11	207.31	385.24	249.1	419.25	421.65	394.58	358.72	517.1	371.64	482.86	420.31	466.45	204.22	324.96	282.28	354.87	405.29	561.78	0.23	0.0
