	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_69	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001K23Rik	0.0	0.0	0.0	0.22	0.2	0.22
1700047I17Rik2	13.82	13.08	1.24	17.56	16.4	17.92
4930467K11Rik	0.0	0.0	0.0	0.0	0.0	0.15
4930526L06Rik	1.1	0.0	0.0	2.19	1.42	1.84
4930558K02Rik	0.0	0.0	0.0	0.0	0.0	0.0
4931406P16Rik	0.0	16.79	0.0	20.14	18.81	20.31
4931423N10Rik	0.0	0.0	0.0	0.22	0.2	0.22
4931440P22Rik	0.0	0.0	0.0	0.89	0.96	0.81
4932702P03Rik	0.0	0.0	0.0	0.0	0.5	0.6
4933431G14Rik	0.0	0.0	0.0	1.07	0.6	0.8
5031434O11Rik	0.0	0.0	0.0	4.86	4.31	4.43
6430573F11Rik	0.0	0.0	0.0	12.79	13.9	12.36
9230115E21Rik	0.0	0.0	0.0	0.75	0.81	0.71
9330162B11Rik	0.0	0.0	0.0	0.0	0.0	0.05
A230108P19Rik	0.0	0.0	0.0	0.08	0.04	0.0
A330021E22Rik	0.0	14.68	0.0	10.83	10.38	12.28
AI606473	0.0	0.0	0.0	0.55	1.08	0.61
AW495222	0.0	0.0	0.0	7.64	6.64	6.52
Adh6-ps1	0.0	0.0	0.0	0.04	0.06	0.03
Adra1b	0.18	0.0	0.0	13.5	14.36	16.19
Alox5ap	0.0	0.0	0.0	6.43	5.05	6.03
Apln	0.0	0.0	0.0	21.49	17.42	25.55
Arpc1b	0.0	0.0	0.0	22.11	22.95	26.75
Arrdc4	0.0	0.46	0.0	6.49	8.24	6.55
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
BC037032	0.0	0.0	0.0	0.59	0.46	0.67
Baat	0.0	0.0	0.0	0.2	0.0	0.21
C330006K01Rik	3.07	0.73	0.49	15.66	17.41	15.65
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Camk2n2	7.81	3.39	0.0	102.8	123.63	121.54
Ccl27b	1.08	0.0	3.31	30.63	28.29	22.96
Cd1d1	0.0	0.0	0.0	0.32	0.91	0.84
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Chst15	0.0	0.0	0.06	29.18	28.82	29.43
Cit	9.55	6.16	4.79	37.49	36.91	41.69
Ckap4	15.06	0.0	0.51	19.09	18.54	21.09
Col9a3	0.0	0.0	0.0	10.14	10.43	10.92
Cul9	0.0	0.23	0.19	32.03	32.62	31.68
Cyp2b23	0.0	0.0	0.0	0.0	0.0	0.05
D930015E06Rik	0.0	0.0	0.0	9.95	10.61	10.15
Dexi	0.0	0.0	2.74	45.36	47.95	43.59
Dspp	0.0	0.0	0.0	0.11	0.1	0.11
EU599041	0.0	0.0	0.0	0.15	0.15	0.17
Elmod3	57.57	11.17	0.0	18.29	20.04	18.02
Elovl2	0.0	0.0	0.0	13.35	12.02	13.14
Epn3	0.0	0.0	0.0	0.61	0.83	0.64
Eya1	0.0	0.0	0.0	6.22	5.83	6.0
Fam177a	13.82	13.08	1.24	17.56	16.4	17.92
Fam189b	0.18	3.31	0.0	35.65	38.7	42.02
Fance	0.0	0.0	0.0	14.41	18.94	16.58
Fbxl13	0.0	0.0	0.0	0.41	0.29	0.24
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Fyb	0.0	0.0	0.0	3.17	2.67	3.65
Fzd6	0.0	0.0	0.23	8.48	8.13	8.54
Ghr	0.0	0.0	0.36	7.76	5.47	9.9
Gm10825	0.0	0.0	0.0	0.25	0.12	0.34
Gm13306	1.08	0.0	3.31	30.63	28.29	22.96
Gm16576	0.0	0.0	0.0	0.45	0.68	0.54
Gm2381	0.0	0.0	0.0	0.03	0.16	0.09
Gm2506	1.08	0.0	3.31	30.63	28.29	22.96
Gm4710	0.0	0.0	0.0	0.37	0.34	0.35
Gm5577	3.21	0.43	1.36	18.15	13.4	18.24
Gm766	0.0	0.0	0.0	0.14	0.06	0.35
Gnrh1	0.0	0.0	0.0	0.4	0.76	1.45
