	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_9	Ctgf_tdTpositive_cell_10	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_6	Cux2_tdTnegative_cell_12	Cux2_tdTnegative_cell_15	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_5	Ndnf_tdTpositive_cell_6	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_20	Ndnf_tdTnegative_cell_11	Ntsr1_tdTnegative_cell_18	Ntsr1_tdTnegative_cell_28	Ntsr1_tdTnegative_cell_32	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_149	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_175	Rbp4_tdTpositive_cell_178	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_1	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_15	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_54	Scnn1a.Tg2_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_23	Scnn1a.Tg3_tdTnegative_cell_24	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001K19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.64	0.0	0.0	0.0	2.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.18	3.22	3.51
1700010I02Rik	1.13	0.0	1.02	7.41	0.0	0.0	1.23	2.21	0.0	0.0	0.0	1.11	4.62	0.0	0.0	0.0	0.0	1.89	0.0	2.13	1.51	2.76	2.63	1.62	2.72	17.54	0.0	3.11	1.46	3.68	1.9	0.0	0.0	0.0	0.0	0.0	1.05	0.0	4.37	6.32	0.0	0.0	0.0	2.05	1.35	3.15	5.65	0.0	3.98	0.0	0.0	0.0	2.75	0.0	0.0	0.0	0.0	2.06	5.8	0.0	0.49	0.0	0.9
1700010M22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	162.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0
1700061G19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.26	0.0	0.0	0.0	70.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.56	0.15	0.54
1700121L16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.07	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.11	0.74	0.38
4930511M11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	2.54	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.32	0.0	0.0	0.0	0.47	0.0	0.08	0.27	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.73	0.0	0.0	0.14	0.0	0.0	0.0	0.07	0.06	0.0
4930529F24Rik	0.0	0.0	54.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.17	17.46	24.55	0.0	0.0	24.76	291.26	7.49	46.03	0.0	55.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.96	0.11	0.0	0.11
4932411N23Rik	0.0	0.0	0.0	0.0	0.0	0.0	1.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	2.51	0.52	1.44	0.12	0.8	2.49	3.1	3.92	2.64	0.92	0.66	0.26	0.0	0.0	0.0	0.0	0.63	8.47	0.0	0.0	6.34	0.0	1.67	0.12	4.96	0.0	1.91	3.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.03	0.02	0.06
4933429O19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.31	0.0	0.0	0.0	0.64	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.22	0.0	0.0	0.0
6330439K17Rik	0.06	0.16	0.28	0.12	0.07	0.0	0.0	0.3	0.0	0.08	0.06	0.19	0.0	1.11	0.0	0.15	0.1	0.0	0.11	61.98	51.33	73.84	14.45	10.73	29.97	309.49	163.18	13.76	4.99	21.96	0.14	0.14	0.37	0.65	0.0	0.0	0.07	0.0	0.16	0.1	0.04	0.77	0.0	0.14	0.24	189.78	279.82	0.0	0.0	0.0	0.0	0.07	0.63	0.0	0.09	0.0	0.31	0.24	0.18	18.93	110.61	103.83	101.92
6430550D23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.48	0.0	1.13	0.0	0.89	0.68	0.87	0.0	0.0	0.41	0.36	0.0	0.65	0.14	0.0	0.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.86	0.97	0.0	0.4	0.32	0.0	0.0	0.0	0.0	0.0	100.5	0.0	0.42	0.0	0.0	0.0	0.0	0.89	1.39	1.24	1.44
