	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_28	Chrna2_tdTpositive_cell_30	Chrna2_tdTpositive_cell_47	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_57	Cux2_tdTpositive_cell_98	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_8	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Ndnf_tdTpositive_cell_21	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	PvalbF.Gad2_tdTpositive_cell_31	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_10	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_96	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2610524H06Rik	0.89	11.66	132.69	0.47	0.0	1.33	0.45	128.95	0.0	68.27	14.18	0.0	4.27	9.65	0.0	0.0	0.0	0.0	6.85	84.63	5.71	46.46	35.31	8.55	1.91	2.71	2.32	51.2	2.58	4.12	14.53	0.0	5.28	0.4	21.95	28.24	69.09	0.0	117.5	93.57	17.07	70.54	53.34	30.06	23.58	125.7	71.24	83.22	64.1	40.73	39.05	43.01
3110039I08Rik	0.0	23.14	0.0	0.0	0.0	0.0	0.0	50.04	0.0	0.0	22.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.99	0.0	0.0	1.18	0.0	0.0	5.35	0.0	0.0	0.0	0.0	5.62	0.0	3.41	0.0	0.0	0.0	3.21	2.27	0.0	0.0	0.0	0.0	0.0	0.0	11.69	0.0	0.0	3.41	8.96	1.01	1.83	2.65	1.74
4930427A07Rik	0.21	0.0	0.0	0.13	0.0	0.0	0.2	0.87	0.0	0.16	0.11	0.57	0.08	0.0	0.0	0.11	0.0	0.02	0.06	0.0	0.03	0.18	0.09	0.07	0.0	0.0	0.0	0.32	1.26	0.13	0.17	0.09	0.25	0.19	0.05	0.0	0.24	0.0	0.24	0.11	0.2	0.0	0.06	0.12	0.23	0.14	0.28	0.08	0.14	0.91	1.48	0.91
4930455C21Rik	20.09	69.89	86.64	12.51	6.03	10.75	1.81	191.31	96.41	38.23	70.72	80.13	9.88	86.34	2.99	11.71	3.64	17.63	18.67	36.56	8.03	12.11	33.85	24.18	41.06	28.13	63.74	44.61	36.97	52.54	22.9	31.59	21.86	41.87	27.78	77.8	80.42	17.25	26.33	113.12	56.28	39.25	66.14	47.43	137.17	62.67	27.22	23.29	89.29	20.81	20.82	22.2
A730036I17Rik	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.55	0.72
Aatk	17.9	2.99	0.0	1.39	2.81	3.51	0.0	62.43	0.0	0.65	1.53	0.0	23.83	0.55	0.0	0.0	0.0	0.0	1.4	0.65	0.06	9.68	0.69	1.85	11.64	0.05	0.45	0.8	0.0	1.67	0.0	1.23	0.16	1.7	0.0	7.07	1.78	0.0	1.66	0.07	0.9	0.11	3.99	0.0	0.93	0.0	13.72	1.25	2.52	135.38	148.21	152.53
Adamtsl2	0.0	0.0	0.0	15.24	0.0	0.0	0.0	34.59	0.0	0.0	24.99	0.0	0.0	0.0	0.0	0.0	136.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.44	10.99	0.0	20.78	0.0	0.0	0.0	15.9	0.0	0.0	0.0	0.0	0.0	5.66	4.25	4.61	4.58
Agap2	2.24	0.53	1.63	1.65	1.4	2.65	0.32	9.33	0.0	2.33	0.63	1.04	1.38	2.58	0.0	0.0	0.0	0.0	0.97	1.95	1.36	1.07	1.22	1.66	0.84	0.65	0.46	0.4	1.09	0.64	0.88	1.54	0.77	0.72	0.49	2.17	10.87	0.0	0.66	2.28	0.71	1.95	0.5	4.69	1.42	3.97	0.49	0.38	5.91	422.27	459.59	467.65
Alg14	78.97	0.0	103.08	0.0	0.0	71.87	0.0	417.63	0.39	93.21	0.0	0.0	0.0	103.22	0.51	0.0	0.0	0.0	0.0	0.0	58.72	0.0	72.83	67.03	1.94	46.57	0.0	1.85	43.29	35.83	0.32	40.28	69.43	81.06	0.0	49.05	77.54	0.0	0.0	106.73	21.31	0.41	0.0	0.0	0.0	112.71	0.0	17.62	55.84	17.28	18.07	20.14
Alyref2	0.29	0.0	1.56	1.03	1.48	2.31	0.0	57.02	0.0	0.95	1.02	0.0	0.63	0.36	1.48	0.0	0.0	6.08	3.91	0.8	1.25	0.33	6.08	0.69	1.54	1.03	1.48	3.69	2.13	0.86	3.13	1.41	1.32	0.0	1.3	0.36	3.51	0.0	0.27	34.94	1.12	36.3	3.98	9.04	3.03	1.49	0.4	0.35	6.15	4.32	4.91	5.54
