	Ctgf_tdTpositive_cell_3	Gad2_tdTpositive_cell_47	Gad2_tdTpositive_cell_55	Gad2_tdTpositive_cell_57	Gad2_tdTpositive_cell_75	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_72	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_26	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_39	PvalbF.Gad2_tdTpositive_cell_42	Tac2_tdTpositive_cell_8	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1600015I10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
1700003L19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.14
1700023A16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.07	0.16
1700081L11Rik	0.0	5.38	32.26	0.8	2.92	8.96	6.69	4.78	15.13	3.46	9.98	13.29	20.33	0.87	2.81	1.0	8.35	2.69	78.53	10.05	2.22	43.75	43.99	46.24
2310005G13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.06	0.06	0.19
4833403I15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.09	0.03
4930403N07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
4930528F23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
4930544D05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.16
4933431E20Rik	0.0	4.03	6.86	5.16	1.6	1.78	2.72	0.89	2.95	1.25	13.45	1.61	0.38	6.5	0.33	13.37	3.45	10.59	43.52	4.55	11.96	54.37	54.31	53.33
5830411N06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.03	0.07
9230104L09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.16
AI316807	0.0	0.0	1.68	0.0	8.36	0.0	5.19	0.0	17.9	0.0	0.0	0.0	22.46	32.27	0.44	7.5	3.18	24.8	56.76	0.0	15.42	33.02	33.81	32.06
Abca13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.02	0.03
Actn3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76	1.04	0.76
Adamdec1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Adamts12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.22	0.19
Agl	4.97	1.4	2.9	0.35	3.11	4.83	2.56	2.73	5.11	0.86	1.41	1.41	7.99	1.39	1.55	10.22	9.34	2.1	18.58	1.64	10.37	14.67	13.73	15.18
Ahi1	0.0	44.71	41.98	76.64	0.92	17.64	2.06	30.74	34.18	0.0	2.56	38.63	41.34	27.87	76.79	8.11	24.19	6.23	221.52	71.28	18.51	127.4	135.26	124.09
Akr1c12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.08
Als2	26.46	3.13	8.15	10.25	9.56	3.87	36.91	4.12	8.68	3.71	3.22	6.44	3.78	8.6	4.4	22.19	3.7	27.1	36.17	4.11	5.23	27.21	26.07	27.28
Amotl1	88.77	0.05	0.07	0.04	6.47	0.04	0.0	0.45	1.35	0.0	0.0	0.07	0.03	0.28	0.0	0.05	8.03	0.04	31.38	3.2	0.68	9.3	9.24	10.01
Angpt1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.05	3.97	4.05
Ap1ar	0.0	0.0	0.0	0.51	9.6	11.44	0.0	15.48	30.42	0.0	0.0	0.0	0.0	0.0	0.0	41.04	0.61	0.0	56.01	1.52	0.0	91.14	95.93	92.03
Appl2	0.0	0.0	3.31	0.0	10.53	0.0	23.11	0.0	0.0	25.95	2.23	0.16	2.65	0.0	15.92	22.32	10.1	21.87	49.01	0.0	0.0	70.8	67.67	70.7
BC051537	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.11	0.24
Barhl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.08	0.03
Bcar1	0.0	0.49	0.0	0.91	2.22	2.15	2.09	20.09	0.55	5.67	0.1	16.14	2.68	0.26	0.39	18.84	0.0	1.76	28.81	0.0	6.96	38.51	44.38	36.67
Bhlhe23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.18	0.08
Blk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Bsnd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.03	0.04
Capn13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Ccdc154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.08	0.04
Ccr3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.03
Ceacam15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.07
Cenpv	0.0	0.0	34.02	0.0	22.38	0.0	0.0	0.0	0.0	2.54	10.18	0.0	9.42	0.0	0.0	10.03	0.0	0.0	24.32	0.0	0.0	25.68	29.71	32.05
Cep250	43.01	0.0	0.0	0.05	0.0	0.0	0.0	0.43	0.0	0.0	0.0	1.83	0.99	2.43	0.0	0.17	0.63	0.0	12.9	0.0	0.0	16.61	14.77	16.8
Chchd10	0.0	25.46	28.93	16.92	7.68	2.76	13.44	15.01	19.44	12.82	2.63	41.34	31.83	4.91	5.35	26.58	50.35	7.71	64.44	0.0	2.29	219.56	249.09	250.7
Clec12b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.07
Cpa3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.06	0.07
Crkl	0.0	0.0	0.0	0.1	0.0	0.0	7.39	3.25	2.06	3.39	2.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.3	7.44	15.21	31.14	28.3	26.35
Csmd1	0.0	2.66	4.39	0.03	0.64	6.38	0.9	4.61	1.73	0.1	0.0	0.06	11.86	1.29	0.08	0.33	2.05	4.72	16.77	2.52	0.0	21.52	19.01	22.85
Cyp3a57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
F630028O10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.17	0.07
Fam170b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.06	0.12
Fam59a	0.0	0.0	0.0	0.0	5.12	0.0	0.12	0.0	0.0	5.99	0.0	0.0	1.46	8.67	0.0	0.0	0.0	6.01	23.77	22.18	1.55	18.62	18.24	21.1
Fam83b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.18	0.06
Fam83g	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.08	0.02
Fam89a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.44	2.15	2.44
Fgfr4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.24	0.03
Fmo4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
