	Ctgf_tdTpositive_cell_10	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_96	Gad2_tdTpositive_cell_66	Ndnf_tdTpositive_cell_7	Nr5a1_tdTpositive_cell_35	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Rbp4_tdTpositive_cell_183	Slc17a6_tdTpositive_cell_2	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_30	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_32	CAV_LP_Ipsi_tdTpos_cell_33	CAV_LP_Ipsi_tdTpos_cell_35	CAV_LP_Ipsi_tdTpos_cell_36
2310014L17Rik	0.29	0.91	0.27	0.07	1.21	0.0	0.4	0.35	0.0	0.63	0.08	0.21	0.66	0.0	0.77	9.05	1.14	2.09	0.14	0.76	1.21	1.15	1.26	0.14	0.47
Aimp1	0.0	326.95	0.79	318.77	2.09	0.0	222.72	155.94	274.79	185.13	143.78	224.37	141.27	22.7	380.51	29.41	439.64	126.18	120.33	18.18	192.15	67.23	164.24	272.19	243.94
Ank2	0.0	202.53	62.52	150.67	333.29	0.0	19.32	68.31	107.21	176.02	126.14	128.34	133.46	70.6	164.72	124.01	140.31	58.13	174.38	79.96	123.7	79.64	167.81	221.7	138.93
Ankrd45	0.0	223.55	143.8	0.0	150.22	0.0	0.0	37.28	47.17	132.71	3.89	0.0	27.35	0.0	73.2	53.76	84.49	0.0	0.0	25.2	0.0	47.42	0.0	0.0	35.25
Azi2	0.68	96.6	8.24	40.16	83.37	0.13	7.01	33.76	0.0	0.59	2.06	40.02	0.53	0.0	77.33	53.98	107.11	19.53	0.0	9.45	0.0	20.57	59.89	110.61	26.65
B230217C12Rik	0.0	316.07	105.44	164.0	368.23	0.0	3.36	509.73	192.74	290.58	196.95	551.12	130.97	64.68	91.8	143.47	633.59	593.58	0.0	464.95	0.0	346.45	93.61	353.46	79.23
Bbs4	0.0	0.15	308.62	73.81	97.04	0.0	1.53	14.2	68.17	1.07	140.91	109.05	5.36	0.28	81.42	106.85	247.18	0.0	162.01	156.62	4.86	188.63	197.68	206.34	131.82
Calm2	4781.69	20813.5	20740.74	19533.68	18790.75	4138.44	16560.15	19628.74	24749.41	21064.56	20654.99	19749.13	19736.86	17261.61	20660.56	19581.9	22860.58	23322.9	25106.81	21777.08	23557.63	18704.89	18134.58	18864.48	19735.95
Ccl27b	0.0	28.24	41.09	7.65	38.65	0.0	10.7	5.82	5.88	112.91	318.99	85.18	7.32	0.0	34.73	156.7	319.12	80.83	176.84	149.77	84.31	258.72	191.16	132.48	66.02
Celf2	0.0	133.46	51.83	74.46	157.75	0.0	31.02	70.94	95.66	49.48	142.6	93.86	157.33	27.47	102.62	99.56	162.56	104.91	106.96	58.0	245.54	110.74	37.53	143.27	64.64
Ctnnd2	0.0	263.74	160.02	125.83	264.0	0.0	40.93	75.17	65.88	167.09	46.73	73.49	155.39	31.43	123.43	117.64	135.52	78.57	133.38	176.25	62.93	75.01	348.6	263.11	69.21
Dync1i1	0.0	627.46	22.62	9.1	296.77	0.0	3.81	44.58	151.17	320.59	244.83	249.4	5.14	108.23	167.93	207.24	392.96	441.17	24.69	95.81	176.62	305.74	310.79	113.26	437.06
Gabra3	0.0	0.31	0.44	48.8	87.03	0.0	0.0	0.12	0.09	236.84	0.0	151.25	27.98	0.19	56.14	118.43	105.21	83.93	2.11	56.89	218.28	83.4	91.51	60.29	94.76
Gm13306	0.0	28.24	41.09	7.65	38.65	0.0	10.7	5.82	5.88	112.91	318.99	85.18	7.32	0.0	34.73	156.7	319.12	80.83	176.84	149.77	84.31	258.72	191.16	132.48	66.02
Gm2506	0.0	28.24	41.09	7.65	38.65	0.0	10.7	5.82	5.88	112.91	318.99	85.18	7.32	0.0	34.73	156.7	319.12	80.83	176.84	149.77	84.31	258.72	191.16	132.48	66.02
Grm5	0.0	181.93	27.16	53.36	195.47	0.0	105.16	7.9	54.15	12.59	21.63	21.06	69.64	40.42	79.5	33.3	52.53	51.87	72.26	0.03	45.56	43.19	69.75	69.24	209.65
Hnrnpd	0.07	18.94	7.1	27.99	96.78	0.06	0.77	22.99	24.83	87.58	15.11	39.41	9.86	13.68	35.53	25.52	38.25	80.16	86.74	76.87	23.63	30.89	37.33	72.19	29.14
Myo9a	0.0	50.96	28.51	0.99	71.64	0.0	0.96	5.5	0.03	23.61	7.7	1.44	23.18	17.91	42.63	32.32	17.3	28.07	26.14	8.1	0.0	47.96	31.3	24.87	50.86
Ndn	0.0	51.83	38.5	0.0	322.81	0.0	3.18	0.0	0.2	226.4	0.46	111.61	140.82	0.0	220.89	340.35	204.14	0.17	0.81	6.93	23.92	68.37	456.52	147.76	132.3
Ociad1	0.0	575.04	340.72	423.34	442.99	0.26	175.67	264.8	220.84	405.21	58.93	556.35	392.5	230.44	498.37	594.07	649.34	712.31	933.11	1058.31	948.38	768.22	646.4	563.73	371.55
Opcml	0.0	116.29	75.3	160.24	278.55	0.0	15.18	13.77	104.09	7.75	1.54	24.19	3.82	93.2	114.54	63.65	52.18	0.61	172.51	3.21	0.0	124.62	39.05	111.29	138.18
Pja2	0.41	534.05	304.07	366.91	321.71	0.0	129.89	274.66	358.75	384.44	159.63	222.54	292.96	321.31	645.63	173.52	356.52	99.43	192.61	129.57	857.18	337.47	183.31	321.63	314.4
Ppm1k	1.47	226.9	166.57	83.47	279.82	4.32	107.62	64.68	192.06	175.61	34.51	143.7	109.55	175.39	216.98	88.71	236.45	159.58	155.15	196.23	481.68	350.73	367.78	526.28	315.23
Prps1	0.0	402.23	0.0	111.46	170.31	0.0	3.33	183.5	62.81	149.36	0.0	217.39	2.52	461.29	429.25	159.49	417.45	388.54	357.63	346.0	107.05	196.87	598.07	340.55	337.89
Prss35	0.0	8.1	3.17	2.68	2.94	0.0	0.0	2.02	0.0	6.79	0.48	1.24	1.09	0.3	0.73	3.5	114.94	2.79	13.68	0.0	7.67	60.81	5.76	10.76	9.53
Psmd11	0.0	737.34	59.74	165.81	432.96	0.2	167.02	412.76	291.59	109.0	78.79	92.31	46.72	0.0	356.8	136.93	203.04	223.4	0.51	8.09	332.9	71.32	635.3	145.47	267.12
