	Ctgf_tdTpositive_cell_3	Cux2_tdTpositive_cell_4	Cux2_tdTpositive_cell_12	Cux2_tdTpositive_cell_13	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_18	Cux2_tdTpositive_cell_21	Cux2_tdTpositive_cell_22	Cux2_tdTpositive_cell_29	Cux2_tdTpositive_cell_32	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_30	Rorb_tdTpositive_cell_5	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_36	Scnn1a.Tg2_tdTpositive_cell_9	Scnn1a.Tg2_tdTpositive_cell_16	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_34	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2310036O22Rik	0.0	1.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.98	0.0	5.68	0.0	0.25	21.12	6.7	44.82	0.0	92.1	105.42	106.0
2410004N09Rik	0.0	0.0	0.0	16.59	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.0	0.0	0.0	0.0	46.87	73.59	69.94	0.0	13.52	17.38	14.46
6330578E17Rik	0.66	3.64	0.52	0.2	0.0	0.17	0.0	1.05	6.03	0.0	0.08	0.09	0.06	0.0	0.24	28.97	63.35	0.7	0.62	68.06	63.45	63.56
Ankrd39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.74	43.46	0.0	0.0	9.91	11.11	11.6
B3gntl1	0.0	1.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	15.88	0.0	0.0	5.52	4.77	6.45
BC026585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.85	100.18	0.0	0.0	7.46	9.01	8.59
BC030500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.97	144.68	0.33	0.0	13.43	12.34	13.78
Camk1d	0.0	31.0	0.0	0.0	2.32	0.0	38.26	20.24	13.47	0.0	22.62	39.86	0.0	78.95	29.76	30.31	67.15	61.49	127.07	73.79	63.25	73.79
Ccdc138	0.63	0.09	0.0	0.0	0.15	0.0	0.0	0.28	0.0	0.0	0.14	0.0	0.06	0.0	0.06	0.48	0.43	0.0	0.0	2.92	2.91	3.18
Cnpy4	0.0	0.0	0.0	1.08	0.0	0.0	0.0	1.94	0.0	0.0	0.19	0.0	0.13	0.0	0.0	67.66	120.43	22.21	0.0	10.83	11.25	10.49
Creb1	0.0	59.91	0.0	0.13	3.38	0.0	0.7	0.0	0.06	10.43	14.75	0.0	0.13	0.0	18.1	0.0	37.51	32.15	12.68	18.65	15.15	18.21
Dagla	0.0	6.4	0.3	0.0	0.46	6.61	0.0	0.24	10.68	0.75	2.0	0.0	0.0	0.0	7.08	19.66	34.83	0.89	11.77	63.23	62.82	67.85
Dnajc27	0.0	116.2	2.92	103.63	0.0	0.0	0.0	0.0	0.0	0.1	56.77	0.0	228.19	0.0	40.15	110.03	145.21	67.16	0.0	91.95	90.65	89.27
Epm2aip1	0.31	90.01	1.47	1.84	87.32	15.39	52.35	33.81	23.11	0.26	1.2	4.29	1.57	0.14	0.72	46.35	110.19	41.84	49.67	81.29	75.74	76.95
