	Ctgf_tdTpositive_cell_5	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_8	Cux2_tdTnegative_cell_10	Htr3a_tdTpositive_cell_16	Htr3a_tdTpositive_cell_53	Ndnf_tdTpositive_cell_1	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_5	Ndnf_tdTpositive_cell_8	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Nkx2.1_tdTpositive_cell_16	Nos1_tdTpositive_cell_1	Nos1_tdTpositive_cell_54	Ntsr1_tdTpositive_cell_60	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_36	Rbp4_tdTpositive_cell_89	Scnn1a.Tg2_tdTpositive_cell_21	Vip_tdTpositive_cell_16	CAV_LP_Ipsi_tdTpos_cell_28
Abcb1a	693.64	927.59	121.17	410.09	0.0	0.0	749.64	337.68	267.8	911.04	442.82	274.34	407.35	134.05	385.76	177.85	0.0	155.12	295.76	0.0	6.5	2.7	0.0	0.0	0.0	0.0
Agl	17.41	21.56	5.61	10.2	0.11	0.22	3.14	6.98	23.91	4.07	13.85	15.69	10.18	20.03	26.16	0.79	0.81	60.64	13.74	0.65	1.86	3.22	0.09	0.98	0.03	0.91
Ahnak	128.83	255.37	114.67	41.08	0.0	0.0	15.15	54.95	40.35	14.35	195.04	21.14	39.06	104.44	162.61	30.99	0.0	111.23	116.58	18.93	2.17	14.88	0.0	0.0	0.0	0.0
Anxa3	2012.35	3190.76	1226.35	1094.69	0.0	0.0	453.38	682.1	1336.38	784.15	1552.99	3080.15	1842.48	2569.81	5591.26	1458.55	0.0	2273.96	1206.94	0.0	135.13	159.68	0.0	0.0	0.0	0.0
B4galt1	63.14	185.73	0.0	62.65	0.0	0.0	189.47	176.25	0.0	153.94	176.47	60.32	234.47	103.97	0.0	0.0	0.0	26.77	278.53	0.0	5.72	9.23	0.0	0.0	0.0	0.0
Cd93	156.32	685.08	1118.9	1045.17	0.24	0.0	120.42	422.07	223.8	178.39	483.98	267.95	148.92	2.38	0.27	451.54	0.09	432.93	762.75	0.11	24.61	54.89	0.0	1.04	0.0	0.06
Ctla2a	1153.38	2311.22	1328.16	845.67	3.18	0.52	442.51	365.92	1491.23	1507.15	521.57	1638.75	1274.91	432.26	1399.42	1001.25	4.9	19.76	14.96	0.0	59.68	230.31	0.43	146.33	0.0	8.39
Cxcl12	539.55	511.06	207.58	241.27	0.0	0.0	15.82	36.83	1716.27	0.13	629.0	725.51	7.39	0.51	1360.41	155.68	0.0	4.58	67.06	0.0	29.81	17.67	0.0	0.0	0.0	0.0
Egfl7	829.85	163.33	376.17	1651.04	0.0	0.36	69.7	868.59	1068.6	386.72	1064.46	216.98	580.37	1097.78	1563.91	1490.44	0.0	606.52	1401.42	0.0	1.26	46.76	0.0	0.54	0.0	0.0
Eltd1	2019.38	387.65	503.66	495.5	0.0	0.0	0.58	612.88	271.87	216.43	187.13	602.65	842.66	537.16	1513.51	208.81	0.0	361.36	964.66	0.0	11.18	74.64	0.0	0.0	0.0	0.0
Epas1	543.74	468.42	202.96	24.32	0.0	0.0	621.63	67.01	110.86	163.23	380.46	56.83	0.06	0.82	53.98	84.72	0.11	531.54	681.63	0.05	21.53	19.05	0.0	1.52	0.0	0.09
Ets1	551.04	367.65	0.62	436.47	0.0	0.0	287.55	0.1	1834.55	353.41	834.13	804.66	19.96	923.58	727.96	1.55	0.06	153.42	1299.16	0.0	0.1	0.0	0.0	0.0	0.0	0.0
F11r	0.0	992.7	797.79	1772.51	0.0	0.0	171.32	29.96	26.72	569.5	407.38	1001.45	679.92	1137.99	0.37	0.0	0.0	604.01	733.58	0.22	55.24	0.49	0.0	0.25	0.15	0.09
Fli1	386.13	301.85	1429.13	426.53	0.0	0.0	203.21	404.26	203.12	0.0	479.82	312.09	204.96	781.72	349.35	218.3	0.0	50.42	199.53	0.0	0.0	26.92	0.0	0.0	0.0	0.0
Flt1	528.68	832.46	206.79	16.45	0.0	0.0	202.94	227.12	724.08	274.62	88.35	477.56	167.76	293.17	738.39	29.55	0.0	114.06	477.95	0.0	19.8	18.34	0.0	0.0	0.0	0.0
Fn1	267.84	317.75	363.49	422.28	0.0	0.0	286.31	665.9	205.92	272.25	551.13	410.44	0.12	0.0	256.18	27.7	0.0	210.55	120.7	0.0	8.71	0.0	0.0	0.0	0.0	0.0
Fxyd5	1314.28	2433.2	1207.2	2036.31	0.0	0.0	1.92	32.6	0.0	398.45	1360.75	1025.85	1183.23	1051.1	0.38	0.0	0.0	669.01	2493.88	0.0	122.15	147.07	0.0	0.0	0.0	0.0
Gata2	0.13	454.55	187.94	244.99	0.0	0.0	363.48	0.05	194.68	409.06	560.41	443.31	559.34	0.17	168.99	110.74	0.0	87.65	577.03	0.0	13.92	43.89	0.0	0.0	0.0	0.0
Gpr116	205.96	571.27	154.85	75.9	0.0	0.0	490.89	7.82	216.6	170.94	235.67	58.53	0.04	0.06	29.78	2.6	0.0	358.98	294.51	0.0	5.07	0.5	0.0	0.0	0.0	0.0
Gpr77	2.88	5.44	1.58	0.88	0.0	0.0	1.03	0.61	1.06	0.62	1.29	3.64	1.22	1.69	0.56	0.0	0.09	0.66	2.49	0.09	0.16	0.16	0.1	0.0	0.11	0.15
H2-D1	1139.2	860.04	537.65	346.26	0.0	0.0	14.51	328.98	72.17	191.33	40.73	426.64	682.76	1.44	420.75	4.37	0.0	326.24	469.03	19.62	22.51	1.72	0.0	0.76	0.0	0.82
Jun	71.7	326.51	21.65	75.72	0.0	0.0	10.61	0.0	0.0	0.13	89.87	7.35	40.14	277.65	210.22	39.92	0.0	0.0	105.9	5.85	7.16	2.09	0.0	0.0	0.0	7.21
Ly6a	14071.51	14683.4	21065.05	18226.9	0.0	0.0	11499.48	10976.91	13117.71	20778.33	15755.6	19913.31	14520.76	13013.61	13073.16	18980.87	0.0	11306.66	14305.86	0.0	896.59	1982.06	0.0	0.0	0.0	0.0
Macf1	139.68	164.01	81.74	9.15	3.32	0.48	89.3	122.44	14.08	7.36	9.43	0.03	36.15	86.07	121.52	104.85	6.02	14.68	29.32	4.99	13.31	33.23	0.04	0.0	0.02	8.41
Map3k1	455.93	539.18	151.37	207.54	0.0	0.0	90.8	129.9	0.56	52.16	166.36	261.27	98.42	329.97	185.33	139.57	10.62	145.13	45.96	0.0	15.15	28.81	0.0	0.0	0.0	0.0
Mier1	242.02	460.75	156.86	223.12	0.0	0.0	435.34	158.35	330.21	486.25	0.73	0.0	0.0	335.18	329.12	0.0	0.0	0.6	163.29	0.0	24.01	29.96	0.0	0.0	0.0	0.0
Myh9	288.79	343.39	358.96	188.37	0.0	0.0	306.6	313.27	101.69	309.92	175.22	81.74	160.3	96.37	191.13	197.1	2.88	193.57	348.28	0.23	10.64	14.84	1.65	0.0	10.19	2.09
Ocln	421.66	258.01	272.56	172.22	0.0	0.0	124.67	392.48	169.01	13.68	867.46	1798.25	139.66	275.75	2140.26	14.07	0.0	214.29	855.49	0.0	34.54	24.13	0.0	164.67	0.12	0.0
Sgms1	841.12	886.23	366.1	1246.03	0.0	0.0	249.26	85.54	719.07	198.4	852.4	2490.3	379.15	722.36	2393.01	2.29	0.0	313.62	658.54	0.0	31.6	79.99	2.2	0.0	0.0	0.0
Slc40a1	1856.41	1197.24	320.98	1106.2	0.0	0.0	768.94	1207.51	0.26	395.87	0.09	51.62	8.98	4731.49	2371.44	77.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Srgn	1830.72	2630.3	3033.42	2199.91	0.0	0.0	1468.09	1789.1	976.52	698.15	4637.06	3258.15	2320.77	2126.87	2448.9	1779.63	0.0	1509.97	383.04	0.0	49.76	184.23	0.0	0.0	0.0	0.0
