	Gad2_tdTpositive_cell_44	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_13	Ntsr1_tdTnegative_cell_16	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_22	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_32	Ntsr1_tdTnegative_cell_41	Pvalb_tdTpositive_cell_81	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_23	Sst_tdTpositive_cell_19	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_100cell_2	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2
1110037F02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.16	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.78	0.0	15.95	15.19	10.72	9.01	12.61	14.65	7.94	20.16	18.84
2410091C18Rik	2.25	0.42	1.52	222.68	0.0	6.81	1.88	2.56	3.16	2.58	25.78	158.41	0.42	19.29	28.27	2.19	21.94	310.79	183.53	120.08	194.55	186.2	170.44	163.46	146.38	116.68	33.19	35.83
2510049J12Rik	0.42	0.0	0.23	0.18	0.0	0.0	0.18	0.28	0.36	0.32	0.0	0.37	0.0	0.0	0.0	0.0	0.0	1.03	1.04	1.01	0.0	0.95	1.05	1.19	0.56	2.12	2.97	1.96
2610507I01Rik	19.81	8.02	32.26	18.0	1.58	6.36	2.83	10.95	11.56	6.92	20.5	7.33	5.19	3.6	1.78	6.04	1.23	119.04	20.1	20.29	26.75	34.79	16.64	33.55	22.12	21.18	25.11	23.48
2900010M23Rik	127.81	0.0	533.27	0.0	153.84	0.0	363.03	468.36	0.95	0.0	1.82	2.9	0.0	0.0	445.44	302.93	270.81	585.33	277.02	491.89	419.59	477.8	652.33	523.18	621.67	467.86	166.76	182.96
4930546K05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.09	0.0	0.23	0.0	0.0	0.1	0.08	0.0	0.0	0.09	0.29	0.18	0.1
9130401M01Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.36	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	264.59	6.41	19.19	50.19	31.2	32.21	50.34	43.89	32.06	36.91	38.52
AI464131	0.0	0.0	0.69	0.16	0.0	0.53	0.0	0.14	0.19	0.19	0.09	0.13	0.0	0.0	0.17	0.0	0.0	0.75	0.07	0.34	0.17	0.2	0.34	0.0	0.0	0.16	20.92	21.63
Amotl1	0.0	0.0	0.13	0.13	0.0	0.05	0.06	0.0	0.0	0.0	0.1	0.02	0.0	0.0	0.09	0.0	0.0	0.39	0.0	4.81	5.12	0.0	3.21	2.47	2.07	2.5	9.3	9.24
Arid1b	0.0	0.0	60.21	9.17	11.97	9.1	0.0	4.93	0.0	0.36	0.0	2.17	0.0	2.13	2.23	0.0	7.78	35.88	5.14	5.81	6.93	6.48	8.74	9.24	7.46	9.06	20.92	20.89
Arl16	0.52	0.47	0.0	1.41	2.25	0.48	1.78	2.4	0.51	1.67	2.1	0.16	3.12	7.63	1.18	0.63	0.1	387.68	1.31	23.59	30.31	31.71	37.23	24.11	2.44	27.98	21.27	19.89
Arpc3	183.86	0.0	0.0	0.0	0.0	0.0	0.61	3.6	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	288.4	3.9	238.2	249.92	243.63	227.48	131.63	224.3	118.06	244.0	244.99
Arvcf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	1.77	0.0	1.3	0.12	0.06	0.0	17.34	18.33
C430002E04Rik	0.0	0.7	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.26	0.0	0.0	0.0	0.44	0.66	0.42	0.31	2.32	0.15	0.17	0.49	0.76	0.47	0.22	0.57	0.36	1.42	0.89
C630020P19Rik	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.27	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.0	10.23	15.7	9.76	2.21	2.72	1.81	6.56	1.88	1.76
Cacybp	182.89	17.66	19.66	17.05	12.92	0.0	120.15	1.11	113.31	0.13	0.18	0.0	0.41	247.2	0.0	0.0	0.0	198.6	41.36	116.05	112.78	244.29	165.14	145.26	190.88	178.32	72.18	69.4
Ccl27b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	164.03	114.56	132.22	177.66	103.08	62.2	76.52	30.63	28.29
Cdk9	9.31	1.2	6.59	3.08	10.9	11.83	0.47	6.08	2.34	18.64	10.69	0.41	9.39	7.24	4.72	3.18	5.56	23.03	9.11	7.6	21.0	13.8	17.06	18.36	21.45	16.76	58.69	62.51
Cenpp	65.47	0.0	43.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.59	0.0	0.0	0.0	0.0	0.0	0.0	111.69	0.0	21.99	1.41	0.66	0.0	8.75	0.0	0.34	2.58	2.98
Crcp	0.0	0.35	0.0	0.0	0.0	0.0	21.19	322.21	310.78	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	912.12	0.0	86.16	145.21	66.84	125.61	119.76	62.81	101.13	34.85	34.69
Cxcr2	18.06	47.42	69.36	33.92	25.24	40.99	37.94	25.41	66.62	28.98	33.4	22.62	17.2	7.28	2.97	33.2	28.81	108.33	21.36	74.42	62.06	56.83	70.51	59.06	48.82	43.43	8.42	5.87
Elof1	139.36	332.43	226.78	0.63	0.0	0.55	0.48	1.14	200.86	278.26	0.0	0.24	0.0	0.0	0.0	0.0	0.0	317.29	144.93	148.17	160.32	160.1	157.64	135.55	166.33	121.83	49.05	51.26
Esr2	0.57	0.0	0.55	0.0	0.4	1.06	0.59	0.74	0.46	0.46	0.48	0.86	0.0	0.0	0.32	1.13	0.44	5.48	1.32	0.56	1.48	0.65	1.7	0.69	0.93	0.43	1.31	0.99
