	Calb2_tdTpositive_cell_11	Chrna2_tdTpositive_cell_5	Chrna2_tdTpositive_cell_11	Chrna2_tdTpositive_cell_64	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_15	Gad2_tdTpositive_cell_71	Nkx2.1_tdTpositive_cell_12	Pvalb_tdTpositive_cell_15	Pvalb_tdTpositive_cell_18	Pvalb_tdTpositive_cell_19	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_31	Pvalb_tdTpositive_cell_36	Pvalb_tdTpositive_cell_37	Pvalb_tdTpositive_cell_38	Pvalb_tdTpositive_cell_50	Pvalb_tdTpositive_cell_53	Pvalb_tdTpositive_cell_60	Pvalb_tdTpositive_cell_62	PvalbD.Slc32a1_tdTpositive_cell_9	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_33	PvalbD.Slc32a1_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_41	PvalbF.Gad2_tdTpositive_cell_94	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_24	Ntsr1_tdTpos_10cell_7	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2610524H06Rik	9.54	357.09	12.96	90.45	0.0	0.0	3.2	40.19	26.23	7.56	5.11	86.64	6.97	0.0	73.23	115.18	85.26	4.65	57.71	33.27	2.55	4.61	80.02	85.68	5.54	0.0	1.0	4.69	0.0	0.0	43.41	40.73	39.05	43.01
Aida	0.15	0.23	32.22	0.28	0.0	0.22	8.12	0.0	0.68	0.2	9.54	43.69	4.56	0.2	0.21	36.95	43.0	0.0	0.07	38.64	1.12	0.84	3.09	2.32	0.41	0.14	0.2	0.0	0.23	1.7	24.37	36.55	33.92	32.54
Arf6	2.97	9.41	1.59	9.4	0.0	0.5	3.63	0.0	3.1	38.67	13.73	40.61	2.97	0.81	10.94	6.49	67.92	5.87	2.53	24.06	0.96	3.83	6.18	55.14	4.01	4.1	5.31	0.0	0.19	0.34	5.12	30.71	32.07	31.03
Camsap2	0.57	0.48	27.22	29.11	0.0	0.0	2.55	0.59	0.0	0.84	15.44	26.31	0.0	0.0	8.01	17.46	64.38	3.81	20.38	24.68	0.0	0.0	18.39	16.73	40.44	1.14	0.03	0.0	0.0	0.0	13.16	69.2	62.43	66.22
Capn10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.46	0.0	0.0	0.0	0.0	42.83	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	11.65	22.22	22.83	24.07
Cdc27	17.74	0.0	5.96	0.05	0.0	0.0	0.0	0.0	3.81	11.53	16.84	18.73	0.0	0.53	18.95	56.66	16.21	4.39	23.83	29.5	0.0	24.8	9.3	0.08	9.21	3.95	2.36	0.0	0.0	0.0	27.67	29.52	27.72	29.59
Celf5	21.17	0.0	3.21	16.01	0.0	0.11	2.09	0.14	1.21	8.51	1.37	1.52	4.57	0.11	0.46	18.25	8.07	0.3	2.78	0.21	8.07	0.0	6.07	4.14	0.0	0.1	1.45	0.0	0.0	0.0	23.71	163.01	160.05	172.09
Commd1	2.6	140.25	0.0	64.25	0.0	210.57	0.0	78.68	0.0	0.0	89.94	169.78	0.0	78.89	0.0	76.11	224.72	31.51	153.18	12.43	0.0	77.87	56.62	69.19	49.89	29.69	22.36	0.0	0.0	0.0	59.54	30.46	41.41	37.31
Cyp3a13	0.68	0.54	0.46	0.48	0.0	0.0	1.51	0.14	0.33	0.21	0.0	1.09	0.0	0.0	0.0	0.59	0.33	0.0	0.04	0.31	0.0	0.0	0.32	0.2	0.15	0.0	0.0	0.0	0.0	0.0	0.19	1.27	0.78	0.96
Ddx6	41.85	1.01	10.82	64.42	0.0	22.69	6.18	0.93	2.54	20.39	34.71	43.94	6.31	18.75	31.29	31.29	33.02	7.64	14.66	3.71	13.67	6.41	29.07	24.51	20.91	9.53	28.44	1.03	0.0	0.42	11.4	84.34	83.49	81.63
