	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_20	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_56	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_31	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_90	PvalbF.Gad2_tdTpositive_cell_91	Rbp4_tdTpositive_cell_174	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1810024B03Rik	0.0	0.0	0.0	0.0	3.24	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.36	0.0	0.0	0.33	0.55	0.0	0.0	0.0	0.94	0.45	0.41
2010107G23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.24	0.0	38.67	0.0	0.47	0.47	24.2	0.34	0.68	26.49	31.34	26.69
2410002F23Rik	0.26	0.17	0.0	0.0	0.0	0.0	0.0	118.09	0.16	0.0	0.53	96.24	45.7	0.0	0.18	42.79	19.8	0.0	22.3	1.21	61.81	71.71	62.25
2610524H06Rik	0.56	0.0	0.0	0.0	0.0	0.0	0.0	1.3	10.02	1.75	109.9	6.64	28.24	88.03	2.33	27.67	27.16	11.64	72.72	20.56	40.73	39.05	43.01
2810008M24Rik	0.0	1088.06	0.0	0.0	0.0	364.63	0.0	0.0	0.09	0.0	0.0	0.0	68.97	19.54	8.26	0.22	0.49	136.89	0.0	0.65	51.41	45.07	46.03
2810428I15Rik	0.0	0.0	0.0	0.0	0.0	0.0	658.01	0.0	0.0	3.5	0.0	70.68	47.46	65.03	70.01	32.13	80.98	84.13	194.01	0.0	60.74	73.64	66.94
2900056M20Rik	0.12	0.0	0.0	0.0	0.11	0.0	0.0	57.88	0.07	0.0	0.25	0.34	25.49	38.59	12.98	0.1	0.28	27.83	0.3	163.77	28.43	27.54	27.66
3110043O21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.32	0.0	3.82	0.0	0.0	73.03	0.0	0.11	0.26	11.0	0.08	0.05	1.11	21.0	21.81	18.47
4921513D23Rik	0.0	0.0	0.05	0.0	132.29	0.0	187.03	95.09	4.13	126.95	0.27	82.43	47.77	43.74	33.91	80.35	6.68	35.33	19.69	152.76	53.3	48.63	49.68
4933407C03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.01	0.04	2.59	1.44	11.2	48.44	15.53	10.18	16.75	4.51	8.79	0.38	4.7	170.94	165.8	181.82
5430417L22Rik	0.0	0.0	0.0	0.0	0.0	0.0	226.21	54.17	0.0	123.94	3.1	122.43	147.87	90.37	181.08	47.19	0.89	7.24	1.13	1.17	30.2	29.69	27.45
A730043L09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.47	0.0	0.0	0.0	0.0	0.38	0.64	0.0	0.7	0.0	0.36	0.43	1.19	2.31	1.44	1.47
AI848100	3.46	0.0	0.0	0.0	0.0	0.0	0.0	14.35	0.0	0.23	26.57	6.27	5.86	0.22	1.44	17.62	0.04	22.03	11.23	1.52	17.59	14.92	16.56
Aasdhppt	0.21	3.15	5.24	0.24	512.83	1.12	0.0	0.44	0.1	0.08	2.82	39.6	63.24	69.33	16.05	5.56	1.95	70.52	14.32	2.19	27.25	24.71	25.34
