	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_75	Ctgf_tdTpositive_cell_17	Cux2_tdTpositive_cell_68	Cux2_tdTnegative_cell_4	Htr3a_tdTpositive_cell_96	Htr3a_tdTpositive_cell_111	Ndnf_tdTpositive_cell_4	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_26	Nos1_tdTpositive_cell_37	Nos1_tdTpositive_cell_38	Nos1_tdTpositive_cell_51	Nos1_tdTpositive_cell_56	Ntsr1_tdTpositive_cell_11	Ntsr1_tdTpositive_cell_15	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_23	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_49	Rbp4_tdTpositive_cell_41	Rbp4_tdTpositive_cell_44	Rbp4_tdTpositive_cell_73	Rbp4_tdTpositive_cell_96	Rbp4_tdTpositive_cell_121	Rbp4_tdTpositive_cell_170	Rbp4_tdTpositive_cell_180	Scnn1a.Tg3_tdTpositive_cell_62	Scnn1a.Tg3_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_24	Slc17a6_tdTpositive_cell_24	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_40	Sst_tdTpositive_cell_18	Vip_tdTpositive_cell_69	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_7	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32
1110057K04Rik	66.52	56.72	96.29	11.17	210.14	0.18	4.01	5.2	7.53	4.74	144.68	7.56	109.35	99.26	2.11	91.98	34.55	3.28	74.73	0.32	2.25	324.77	21.41	77.72	143.63	156.04	11.63	167.47	2.84	165.9	81.65	55.43	89.36	8.5	149.66	117.35	2.79	0.82	1.62	2.67	97.26	11.86	0.7	28.18	4.47	4.09	104.17	3.05	2.31	53.35	2.64	50.0	52.87
2610301G19Rik	16.33	4.08	0.0	0.0	145.91	0.0	0.35	0.86	0.0	1.34	15.17	0.0	0.0	0.09	0.0	0.0	55.46	0.0	0.0	0.0	0.3	0.0	0.0	0.0	21.13	0.0	0.0	0.12	44.77	0.22	14.79	76.82	110.21	41.0	21.17	11.12	21.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.33	4.54	0.46	0.06	0.0	0.0	0.0	0.0
AI597479	57.34	0.0	0.15	0.0	103.54	0.0	0.0	98.65	0.0	32.96	264.4	83.52	65.51	11.57	0.14	78.36	0.1	0.0	0.0	0.0	8.74	0.0	4.4	0.0	0.0	0.0	0.0	0.25	27.89	41.04	50.53	63.24	164.79	101.4	14.94	0.16	18.79	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Amy2a2	0.3	0.15	0.42	0.06	0.11	0.0	0.21	0.26	0.0	0.1	0.13	0.18	0.72	0.35	0.38	0.56	0.64	0.12	0.23	0.18	0.06	0.31	0.18	0.08	0.12	0.16	0.07	0.35	0.04	0.17	0.02	0.32	0.42	0.12	0.37	0.35	0.04	0.05	0.0	0.0	0.16	0.15	0.36	0.0	0.04	0.63	0.17	0.14	0.05	0.05	0.1	0.08	0.03
Amy2a3	0.3	0.15	0.42	0.06	0.11	0.0	0.21	0.26	0.0	0.1	0.13	0.18	0.72	0.35	0.38	0.56	0.64	0.12	0.23	0.18	0.06	0.31	0.18	0.08	0.12	0.16	0.07	0.35	0.04	0.17	0.02	0.32	0.42	0.12	0.37	0.35	0.04	0.05	0.0	0.0	0.16	0.15	0.36	0.0	0.04	0.63	0.17	0.14	0.05	0.05	0.1	0.08	0.03
Amy2a4	0.3	0.15	0.42	0.06	0.11	0.0	0.21	0.26	0.0	0.1	0.13	0.18	0.72	0.35	0.38	0.56	0.64	0.12	0.23	0.18	0.06	0.31	0.18	0.08	0.12	0.16	0.07	0.35	0.04	0.17	0.02	0.32	0.42	0.12	0.37	0.35	0.04	0.05	0.0	0.0	0.16	0.15	0.36	0.0	0.04	0.63	0.17	0.14	0.05	0.05	0.1	0.08	0.03
Celf4	161.4	82.28	65.45	196.98	317.65	0.0	79.69	130.74	0.67	175.95	174.73	276.28	352.05	115.3	93.79	54.75	83.95	78.57	53.59	47.7	104.93	116.23	140.35	58.22	109.17	105.54	24.61	145.49	92.57	244.76	85.18	202.19	285.93	98.63	211.04	36.17	75.5	0.0	3.98	11.45	112.96	73.1	82.49	215.68	2.59	70.3	134.48	4.82	71.31	32.07	37.36	40.75	56.98
Chd1	2.47	0.0	6.62	1.77	41.78	0.0	3.96	1.68	0.0	6.86	9.67	1.2	3.93	2.72	6.01	0.04	3.71	0.04	3.41	0.0	0.9	5.53	0.0	5.45	0.0	1.68	2.98	0.06	0.0	27.31	4.01	33.19	36.64	20.8	0.57	7.28	0.0	0.0	0.0	0.0	4.22	7.13	1.36	17.64	0.0	16.92	1.02	0.0	0.21	0.0	0.04	0.0	0.53
Csrnp2	0.0	0.04	0.0	21.03	87.74	0.0	53.22	18.33	0.0	0.02	0.0	77.11	113.46	0.06	60.75	0.0	96.34	176.56	47.65	100.67	37.96	32.37	57.71	10.29	0.06	24.69	0.26	63.17	26.62	11.05	32.99	17.63	19.3	0.0	67.91	52.15	0.0	0.0	0.0	0.0	0.0	0.2	35.13	12.94	0.3	107.24	65.35	195.64	26.33	0.21	0.0	79.16	23.34
Dcun1d4	80.45	22.38	0.0	0.0	295.85	0.0	100.65	38.65	0.0	0.04	0.0	195.36	74.37	230.27	0.0	89.25	29.42	0.0	0.0	125.68	57.95	14.62	0.0	13.49	34.71	0.1	27.8	42.37	22.46	106.48	4.64	20.6	82.2	75.61	111.71	48.49	0.0	0.0	0.0	0.0	2.6	0.0	2.18	85.07	612.96	3.91	29.26	6.49	3.91	46.9	0.0	4.03	50.96
Dpp10	50.58	50.52	49.23	46.15	455.44	0.0	77.94	158.39	0.0	0.98	0.0	95.72	114.17	95.74	24.98	111.23	50.99	142.63	160.73	0.0	133.82	6.97	21.48	1.6	89.66	66.74	62.2	0.76	92.15	58.74	104.39	120.24	411.07	53.64	345.54	30.38	63.35	0.0	0.0	0.0	0.0	61.32	129.58	41.24	0.1	106.33	59.55	0.06	91.06	0.47	36.31	30.64	94.6
Gm14430	8.29	8.59	7.12	0.0	0.0	0.0	3.58	9.34	0.0	6.16	0.0	17.58	1.11	12.36	0.11	0.07	6.14	19.02	6.53	0.16	1.59	1.66	0.0	0.0	0.22	2.16	0.04	0.62	0.0	20.16	0.43	13.35	0.0	0.26	8.32	0.2	0.0	0.0	0.0	0.0	0.0	0.0	10.22	0.82	2.15	0.48	0.0	0.0	13.98	0.0	0.0	0.0	0.04
Gm14431	1.11	0.0	0.17	0.7	28.53	0.0	1.23	0.99	0.0	8.73	0.13	1.62	5.42	2.59	0.17	0.18	0.5	0.0	0.0	0.0	0.0	1.31	1.02	0.06	0.48	0.0	2.71	0.48	0.0	2.14	2.37	0.36	13.46	0.0	7.06	7.13	0.0	0.0	0.0	0.0	1.11	0.82	0.0	0.89	0.7	2.13	4.76	0.0	0.0	0.0	0.37	3.49	0.5
Gm14434	8.29	8.59	7.12	0.0	0.0	0.0	3.58	9.34	0.0	6.16	0.0	17.58	1.11	12.36	0.11	0.07	6.14	19.02	6.53	0.16	1.59	1.66	0.0	0.0	0.22	2.16	0.04	0.62	0.0	20.16	0.43	13.35	0.0	0.26	8.32	0.2	0.0	0.0	0.0	0.0	0.0	0.0	10.22	0.82	2.15	0.48	0.0	0.0	13.98	0.0	0.0	0.0	0.04
Gm14461	0.37	0.52	0.88	0.92	2.23	0.2	0.46	1.55	0.48	0.0	0.0	1.32	1.55	0.18	0.15	0.53	0.68	1.36	0.34	0.0	0.37	1.39	0.0	0.55	0.78	0.61	0.0	1.28	0.66	0.43	0.39	0.99	1.08	0.0	1.37	0.66	0.72	0.0	0.31	0.0	0.37	0.52	0.55	0.22	1.13	0.98	0.45	0.76	0.0	0.74	0.25	0.56	0.74
Gm20597	1.33	0.61	0.58	0.92	1.07	0.0	2.53	2.68	0.0	2.28	0.19	5.51	4.98	3.49	0.26	5.31	1.25	0.42	1.48	0.99	0.11	0.31	0.05	0.18	1.0	4.21	1.21	0.24	0.98	0.39	0.46	3.67	5.62	2.94	3.88	3.9	2.93	0.1	0.0	0.0	0.27	5.87	0.94	0.36	2.0	3.28	1.51	1.08	0.09	0.83	0.16	1.13	3.59
Gm4724	8.29	8.59	7.12	0.0	0.0	0.0	3.58	9.34	0.0	6.16	0.0	17.58	1.11	12.36	0.11	0.07	6.14	19.02	6.53	0.16	1.59	1.66	0.0	0.0	0.22	2.16	0.04	0.62	0.0	20.16	0.43	13.35	0.0	0.26	8.32	0.2	0.0	0.0	0.0	0.0	0.0	0.0	10.22	0.82	2.15	0.48	0.0	0.0	13.98	0.0	0.0	0.0	0.04
Gm8898	1.11	0.0	0.17	0.7	28.53	0.0	1.23	0.99	0.0	8.73	0.13	1.62	5.42	2.59	0.17	0.18	0.5	0.0	0.0	0.0	0.0	1.31	1.02	0.06	0.48	0.0	2.71	0.48	0.0	2.14	2.37	0.36	13.46	0.0	7.06	7.13	0.0	0.0	0.0	0.0	1.11	0.82	0.0	0.89	0.7	2.13	4.76	0.0	0.0	0.0	0.37	3.49	0.5
H2afy	54.31	2.29	60.56	43.8	186.95	0.0	82.74	9.98	68.06	24.95	130.74	52.82	135.44	45.56	163.46	91.55	51.8	0.0	46.13	55.55	5.01	17.96	33.36	141.46	73.9	48.43	0.36	3.43	0.0	54.74	39.54	48.89	87.16	47.89	50.45	58.52	22.45	1.36	0.0	0.0	35.05	19.6	12.91	76.95	0.23	16.28	31.84	0.0	6.56	12.75	14.22	0.0	24.0
Ints6	1.44	20.0	1.28	20.11	25.85	0.0	5.42	2.16	0.18	0.53	2.03	2.04	12.78	9.14	0.07	1.54	2.85	4.0	1.72	0.18	0.8	1.66	0.13	0.22	0.53	10.78	0.32	2.19	0.74	8.4	0.23	3.58	13.87	1.19	10.16	11.64	0.94	0.18	0.0	0.51	0.16	37.48	0.31	1.27	1.26	7.94	43.54	0.33	1.25	0.0	6.81	0.42	17.95
Lnp	34.48	34.37	24.31	0.59	182.56	0.0	71.03	7.38	0.0	40.74	72.8	58.85	56.5	26.84	6.16	71.69	59.81	263.75	93.81	0.0	16.28	87.34	24.35	9.75	12.16	24.38	48.44	54.81	17.1	67.35	98.99	66.62	83.47	7.43	48.53	81.56	45.22	0.0	0.0	0.0	66.64	30.47	31.96	29.98	25.65	57.93	64.1	0.0	10.15	8.11	33.22	5.36	73.39
Mir1195	0.0	0.0	0.0	17.1	55.89	0.0	0.0	8.84	0.0	0.0	5.41	29.81	28.54	9.1	0.0	4.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.99	67.76	0.0	0.0	0.0	0.0	0.0	0.0	14.49	20.77	28.82	42.87	8.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mkln1	7.37	48.96	173.66	1.78	172.15	0.0	35.76	109.49	0.0	79.51	4.86	51.97	160.75	15.52	70.09	17.65	103.61	0.18	97.44	2.39	1.54	59.69	3.02	57.36	0.0	221.79	2.64	92.67	85.06	161.93	41.06	1.03	137.62	66.67	123.65	29.55	0.0	74.03	0.0	13.3	0.0	91.51	8.72	32.71	0.0	22.46	54.55	0.0	27.69	0.11	48.86	12.86	126.98
Pcp4	5117.81	4955.04	5030.53	5350.95	1913.19	0.0	5130.46	5293.38	0.0	4184.47	4425.79	854.94	1243.35	2012.53	5082.23	4736.97	4085.02	7467.74	3966.76	5853.47	5181.2	5178.03	6240.76	5498.56	5326.1	6808.32	7407.1	5341.11	6583.41	5093.83	4160.15	1935.73	1520.81	4149.68	1299.54	4470.96	5307.32	0.0	0.0	0.0	7030.52	5084.45	4796.79	5005.09	5492.66	7638.97	5202.71	6941.16	7178.2	6670.6	6291.11	8685.7	6217.49
Pogz	22.81	11.38	0.0	0.0	14.21	0.0	0.3	1.67	0.0	2.88	0.0	5.64	4.68	38.5	1.46	0.37	0.6	2.48	16.5	0.04	0.29	1.47	0.0	0.0	0.07	0.05	0.64	0.06	0.04	0.06	20.31	17.35	16.8	0.0	25.89	27.55	39.85	0.0	0.0	0.0	0.38	4.91	8.42	3.33	0.0	0.04	18.22	0.29	35.06	40.43	9.53	0.5	1.29
Rap2b	2.88	20.81	69.27	34.75	58.69	27.64	44.32	45.45	0.0	9.84	44.94	116.17	53.87	69.44	0.0	61.52	59.6	94.59	103.83	37.8	40.31	63.92	35.85	21.84	27.7	11.39	36.47	60.56	13.66	50.5	46.25	132.33	47.15	10.5	76.17	125.21	77.88	0.0	0.0	0.0	53.04	41.63	48.57	0.0	0.11	71.41	71.35	4.08	3.3	50.07	3.02	2.67	39.75
Rdh1	13.02	6.01	40.77	39.41	53.34	3.52	36.8	24.98	13.65	10.78	23.73	35.99	42.42	36.07	22.24	37.45	32.96	41.56	40.29	12.06	21.59	26.31	12.95	14.52	27.36	35.08	21.46	34.35	35.18	27.51	15.23	63.31	39.81	35.31	53.12	62.39	37.33	23.49	10.48	29.55	26.89	38.8	23.32	18.15	73.34	38.87	18.22	23.93	12.31	31.36	20.17	19.08	25.42
Snord116	0.0	7.4	0.0	0.0	35.79	0.0	3.02	0.0	0.0	8.88	0.0	3.63	6.33	3.03	6.45	0.0	0.0	0.0	3.0	0.0	1.44	0.0	4.88	0.0	6.99	3.27	9.54	7.99	0.0	11.97	0.0	2.71	5.84	0.0	0.0	5.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.93	2.64	5.24	4.47	0.0	0.0	0.0	0.0
Snord116l1	0.0	7.4	0.0	0.0	35.79	0.0	3.02	0.0	0.0	8.88	0.0	3.63	6.33	3.03	6.45	0.0	0.0	0.0	3.0	0.0	1.44	0.0	4.88	0.0	6.99	3.27	9.54	7.99	0.0	11.97	0.0	2.71	5.84	0.0	0.0	5.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.93	2.64	5.24	4.47	0.0	0.0	0.0	0.0
Snord116l2	0.0	7.4	0.0	0.0	35.79	0.0	3.02	0.0	0.0	8.88	0.0	3.63	6.33	3.03	6.45	0.0	0.0	0.0	3.0	0.0	1.44	0.0	4.88	0.0	6.99	3.27	9.54	7.99	0.0	11.97	0.0	2.71	5.84	0.0	0.0	5.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.93	2.64	5.24	4.47	0.0	0.0	0.0	0.0
