	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_43	Calb2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_75	Ctgf_tdTpositive_cell_17	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_72	Htr3a_tdTpositive_cell_106	Htr3a_tdTpositive_cell_116	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_26	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_70	Ntsr1_tdTpositive_cell_2	Ntsr1_tdTpositive_cell_7	Ntsr1_tdTpositive_cell_9	Ntsr1_tdTpositive_cell_10	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_22	Ntsr1_tdTpositive_cell_23	Ntsr1_tdTpositive_cell_26	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_40	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_51	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_57	Ntsr1_tdTpositive_cell_77	Rbp4_tdTpositive_cell_41	Rbp4_tdTpositive_cell_76	Rbp4_tdTpositive_cell_82	Rbp4_tdTpositive_cell_121	Rbp4_tdTpositive_cell_173	Rbp4_tdTpositive_cell_180	Scnn1a.Tg3_tdTpositive_cell_62	Scnn1a.Tg3_tdTnegative_cell_20	Slc17a6_tdTpositive_cell_3	Slc17a6_tdTpositive_cell_23	Slc17a6_tdTpositive_cell_24	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_40	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Vip_tdTpositive_cell_20	Vip_tdTpositive_cell_57	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_10	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_7	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32
3110035E14Rik	0.05	0.0	0.0	0.0	545.33	48.6	8.02	371.85	441.39	380.99	0.1	0.0	0.0	110.3	0.0	0.0	0.0	0.0	522.48	760.31	355.47	424.95	660.18	34.36	903.51	389.01	397.72	638.56	378.84	993.2	268.91	307.58	184.44	164.5	446.63	433.22	907.52	332.53	446.9	364.88	648.09	349.77	10.69	295.51	285.71	0.0	461.7	119.89	763.37	0.0	271.49	0.0	521.9	514.81	605.55	0.0	0.0	0.0	0.47	0.0	0.0	362.32	116.98	91.71	440.96	753.91	98.22	447.07	305.68	300.85	241.36	106.33
Ak5	0.0	0.0	0.0	0.0	119.84	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.94	87.73	10.87	16.83	8.19	0.0	97.98	0.0	106.97	88.71	132.7	85.96	4.57	71.04	101.77	18.52	59.25	1.81	46.91	23.74	49.8	36.13	144.79	0.34	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	55.64	0.0	67.78	1.62	0.0	0.0	0.0	0.0	0.0	0.15	0.0	17.79	0.0	21.66	6.06	0.09	42.98	0.0	84.05	0.0	0.23	0.0
Ano3	0.0	0.0	0.0	0.0	200.73	259.84	0.0	93.98	121.69	0.0	0.07	0.0	0.0	84.61	0.0	0.0	0.0	0.0	138.95	61.79	260.29	350.29	339.23	0.0	168.98	326.79	254.05	69.12	127.5	273.55	123.36	200.49	365.92	261.1	214.62	306.77	317.71	182.97	147.01	288.58	237.4	170.77	205.48	29.84	69.17	0.0	397.02	28.43	262.75	58.54	283.65	0.0	51.55	144.96	57.87	0.1	0.1	0.0	0.0	0.0	0.0	247.28	50.77	227.22	238.38	153.31	342.04	772.9	173.24	279.18	133.96	8.56
Atp2b1	17.32	98.24	100.5	22.87	495.23	189.76	182.96	84.76	136.56	146.93	16.23	34.49	41.83	69.7	7.43	20.14	4.97	16.66	427.58	855.31	828.86	524.99	635.18	262.92	618.86	545.4	1010.8	456.28	487.54	803.9	383.85	403.6	641.96	245.11	638.31	517.74	403.39	320.63	416.61	972.53	836.16	619.72	204.22	374.57	392.11	70.25	63.12	319.95	488.1	241.51	583.71	135.13	619.57	690.5	735.03	45.26	16.05	39.84	16.42	142.28	161.45	406.68	429.92	376.42	431.08	488.35	405.62	382.14	395.09	289.35	488.69	308.67
Atp2b4	0.07	0.0	0.0	41.46	57.45	14.18	0.0	5.86	27.84	3.59	0.02	6.08	0.15	0.38	0.0	0.0	0.04	0.0	26.57	24.93	53.2	60.31	33.73	0.04	129.81	28.82	3.21	55.4	35.2	72.33	0.1	17.89	36.02	31.76	0.0	49.36	11.14	44.54	28.91	57.27	74.59	46.53	0.97	3.78	4.3	0.0	0.0	13.2	16.45	0.0	4.24	0.0	28.01	33.63	11.25	0.08	0.39	0.0	0.0	0.0	0.0	20.87	10.72	0.0	62.07	28.86	25.66	75.86	92.49	29.44	5.98	21.91
Ccl27b	0.0	0.0	0.0	0.0	83.17	0.59	5.27	19.91	0.11	0.0	1.74	0.0	0.58	0.0	0.29	0.0	1.9	4.31	83.54	159.27	52.23	152.11	131.07	0.0	25.12	44.71	37.14	5.88	147.36	54.51	310.16	79.41	318.99	272.53	188.03	85.18	111.71	178.93	211.15	183.85	79.46	62.7	3.75	118.89	49.81	200.54	4.35	118.2	106.59	144.42	16.51	30.14	150.83	156.7	108.35	4.89	1.61	0.0	0.0	0.0	0.0	75.81	138.81	91.35	100.7	80.83	235.31	83.58	176.84	97.07	149.77	258.72
Cnksr2	3.28	0.0	0.0	0.0	22.61	0.0	0.08	11.88	0.12	0.0	0.03	0.0	0.0	25.4	0.05	0.0	0.05	0.02	38.76	38.13	23.06	56.45	1.45	0.0	27.84	17.55	67.56	0.48	0.06	35.21	12.22	59.46	68.46	34.76	0.28	0.97	48.54	19.62	41.31	0.39	112.76	31.23	2.35	2.0	52.79	0.0	11.85	40.77	6.21	11.4	54.0	0.0	107.66	7.69	28.17	0.0	0.0	0.0	1.22	13.62	6.44	21.84	3.6	34.06	24.62	0.05	38.79	34.33	26.01	25.16	25.3	26.87
Ephb6	0.0	0.0	0.0	14.41	171.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.32	55.78	0.09	51.94	75.22	0.19	0.54	42.97	51.59	1.65	49.47	92.59	0.14	0.11	128.36	48.63	27.33	149.8	164.03	0.17	66.14	55.9	15.97	17.34	0.12	43.99	40.51	17.92	9.89	1.95	74.11	0.0	32.14	0.2	138.53	48.38	36.06	18.77	23.85	0.0	0.0	0.0	0.0	28.8	1.11	0.0	43.43	10.18	0.0	62.24	112.68	10.22	50.52	17.24
Foxp2	0.0	0.0	0.0	0.0	52.62	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.03	56.74	117.02	28.42	78.2	25.77	10.07	35.54	63.33	34.47	82.85	112.74	16.09	90.98	7.76	19.64	110.17	6.05	41.27	173.95	19.14	59.52	138.98	164.24	13.25	0.0	0.0	6.75	0.0	0.0	0.09	62.88	0.0	30.74	0.08	82.28	0.0	34.62	0.0	0.0	0.0	0.0	0.0	0.0	30.97	0.0	0.0	17.89	68.05	8.76	10.93	6.19	0.0	34.99	0.0
Gadd45a	3.07	6.28	0.0	10.21	168.83	24.35	18.25	87.21	1.98	3.94	0.14	0.0	0.0	0.0	15.65	0.0	3.43	2.07	37.4	158.09	45.16	109.06	48.15	168.69	30.53	34.19	357.2	145.91	122.84	67.42	52.46	353.06	208.91	14.98	122.9	118.82	353.95	14.32	49.67	86.5	108.5	149.79	84.56	0.0	0.0	0.0	24.86	2.86	117.82	0.0	72.1	0.0	33.25	37.44	31.43	0.0	0.0	2.04	0.0	0.0	0.0	48.81	0.0	0.0	375.99	8.07	29.09	49.99	25.14	31.18	7.85	0.0
