	Calb2_tdTpositive_cell_46	Chrna2_tdTpositive_cell_31	Nkx2.1_tdTpositive_cell_19	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_23	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_70	Nr5a1_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_36	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_55
1700010I02Rik	0.94	0.0	5.24	3.36	0.0	0.22	1.88	1.23	1.06	0.84	0.0	3.46	0.0	0.0	0.75	0.0	0.0	0.0	0.0	1.67	0.0	10.54	8.1	3.09	0.0	0.52	0.71
2200002D01Rik	1.33	0.0	0.85	4.0	0.0	0.0	0.0	0.25	0.0	0.57	0.0	0.0	0.0	0.0	1.1	0.0	0.45	0.0	0.0	0.0	1.57	1.86	0.48	0.91	0.0	0.0	0.0
2810442I21Rik	3.92	1.4	2.7	4.49	0.19	1.02	0.32	0.39	1.29	0.6	0.48	2.53	0.24	0.69	0.37	0.31	0.21	0.53	0.98	0.52	0.43	4.82	4.62	1.56	0.09	0.21	0.55
2900060B14Rik	0.0	52.06	11.51	41.91	0.0	0.0	3.81	0.8	0.0	1.5	1.41	26.34	0.0	0.0	0.0	49.88	2.72	2.99	0.0	0.99	0.0	72.87	100.74	5.3	1.04	0.0	0.0
4930578E11Rik	0.73	0.32	1.12	0.0	0.39	0.19	0.26	0.0	0.24	0.11	0.19	0.59	0.17	0.51	0.14	0.15	0.0	0.18	0.23	0.42	0.22	0.46	1.0	1.44	0.18	0.11	0.3
7530416G11Rik	0.6	0.0	1.65	0.51	0.0	0.2	0.11	0.29	0.27	0.0	0.0	1.33	0.0	0.22	0.0	0.0	0.0	0.38	0.0	0.0	0.0	1.4	1.34	0.0	0.51	0.51	0.2
A530088E08Rik	0.39	0.0	0.29	0.0	0.0	0.0	0.13	0.06	0.0	0.0	0.0	0.3	0.39	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.14	0.18	0.62	0.67	0.0	0.0	0.0
Aldoc	13275.38	714.71	1612.55	2580.37	198.31	839.87	645.77	0.46	107.95	84.48	8.31	1402.9	0.34	0.0	237.85	66.1	0.13	0.28	0.0	0.33	52.01	1498.98	7969.48	746.95	0.17	217.0	21.71
Alx4	1.18	0.4	1.25	1.53	0.23	0.81	0.36	0.34	0.35	0.26	0.2	1.59	0.17	0.22	0.24	0.19	0.0	0.25	0.16	0.26	0.39	1.75	2.48	1.06	0.2	0.31	0.16
Atp1a2	1492.64	2.18	93.34	178.51	0.96	1.62	1.17	3.66	2.43	1.13	1.4	32.6	7.8	1.04	2.22	1.93	4.6	1.62	0.81	1.46	3.03	101.94	203.5	42.22	1.18	2.01	2.18
Ccr4	2.79	0.69	1.35	4.22	0.15	0.74	0.62	1.64	1.95	0.27	0.91	2.88	0.67	0.66	0.38	0.23	0.77	0.78	0.51	0.95	0.65	1.98	4.61	0.86	0.59	0.4	0.4
Chrdl1	366.85	0.0	47.24	72.76	0.0	0.04	0.0	0.0	0.0	0.0	0.0	40.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	43.48	1.42	0.0	0.0	0.0	0.0
Crhr1	0.0	0.0	0.43	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.71	0.18	0.0	0.0	0.0	0.0
