	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_70	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_33	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610043K17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.89	0.0	0.0	0.0	0.0	0.0	0.0	14.52	0.0	1.04	1.21	1.01	1.74	1.73
1700007B14Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.09	0.0
2310036O22Rik	21.77	1.6	2.54	3.99	0.0	18.92	24.36	35.63	7.58	0.25	45.6	0.28	5.08	3.18	0.0	0.0	0.58	0.0	2.75	12.27	5.3	92.1	105.42	106.0
4930488B22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.08	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.01	0.05	0.26
4931440F15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	3.26	0.0	0.0	0.0	0.0	0.0	0.0	1.49	3.97	0.49	0.76	0.55
4933412O06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.92	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	1.37	0.96	2.06	2.96	2.96
5033406O09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	119.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.27	0.26
5730422E09Rik	0.0	0.81	0.39	0.28	0.08	0.01	0.0	0.0	0.38	0.0	9.72	0.69	0.0	0.22	0.0	0.0	0.52	0.51	0.35	0.17	1.03	0.18	0.75	0.8
5730528L13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.32	37.83	0.0	14.35	0.0	38.33	35.45	0.0	0.0	16.47	11.16	16.59	15.92	16.38
A830009L08Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.87	2.1	2.64	3.71	2.76
