	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_31	PvalbF.Gad2_tdTpositive_cell_88	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610007L01Rik	0.0	0.0	0.0	0.04	3.49	0.0	27.21	0.06	33.53	34.24	31.73
1110001J03Rik	0.0	0.0	16.13	0.0	82.57	73.95	119.14	483.54	40.48	46.53	49.74
2210403K04Rik	0.75	0.21	0.99	0.0	2.83	3.82	76.7	19.69	39.34	39.29	36.47
3110002H16Rik	0.0	0.0	0.0	0.0	0.0	66.44	30.4	24.41	27.37	28.01	27.36
3830406C13Rik	0.0	0.0	0.0	0.07	0.0	0.0	38.35	0.66	22.91	20.24	21.78
4930455C21Rik	12.32	2.06	10.71	3.87	27.38	44.04	77.8	2.85	20.81	20.82	22.2
4930506M07Rik	0.0	0.0	1.37	0.0	0.51	6.17	1.28	1.23	26.69	25.17	27.17
4933408J17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.38	0.12
9030425E11Rik	0.0	0.0	0.0	0.0	0.0	0.65	8.26	1.78	16.3	14.93	17.89
AI314180	0.0	0.0	1.45	0.03	7.96	1.12	18.67	18.46	52.59	46.66	49.63
Agpat6	0.0	0.0	0.0	53.89	0.0	19.09	30.28	0.46	59.42	61.46	58.92
Akap8l	0.0	0.0	149.67	2.77	105.42	16.44	62.89	9.18	131.54	137.91	145.39
Ampd2	0.0	0.0	17.9	0.09	0.53	0.0	25.32	1.67	43.08	46.45	44.94
Arl6ip1	334.12	0.0	228.56	0.15	104.91	399.05	642.26	166.44	283.09	300.58	286.14
Bbs1	0.07	4.35	6.07	5.01	2.89	0.7	4.88	4.04	25.47	26.95	26.59
Bcap31	0.0	0.0	74.57	123.02	0.18	339.07	324.31	148.71	89.53	90.82	90.66
Bhlhb9	0.0	0.0	0.0	0.06	0.0	2.2	47.37	0.81	61.05	60.88	59.31
C87436	0.0	0.0	0.23	0.0	49.99	42.07	29.34	0.09	15.88	16.1	16.38
Camkk1	0.0	0.0	0.0	0.0	0.37	1.24	14.48	2.63	101.21	102.79	94.75
Ccdc115	0.0	0.0	0.0	0.0	0.0	0.0	14.13	1.76	22.23	23.64	21.45
Ccl27b	0.0	0.0	9.17	0.0	20.98	11.75	29.61	0.85	30.63	28.29	22.96
Cdk5	0.0	0.0	3.1	0.15	0.84	168.15	84.72	60.07	107.92	114.65	108.19
Cnih	0.23	0.0	0.4	0.11	0.0	300.68	330.86	98.05	98.55	92.49	86.3
Cnnm2	0.0	0.0	0.18	0.0	25.04	0.29	7.77	0.07	25.24	27.57	26.02
Coq10a	0.0	0.0	0.0	0.0	0.09	0.0	12.5	15.55	27.62	29.36	27.88
Csnk2b	0.0	0.73	161.56	0.0	2.24	171.64	222.55	216.54	114.9	114.02	114.42
D830029L11	0.0	0.0	0.0	0.0	0.0	0.0	0.15	50.65	4.27	3.46	4.55
Dcp1a	0.0	0.0	0.0	0.0	0.0	15.37	6.44	0.4	13.96	13.69	12.3
