	Ctgf_tdTpositive_cell_6	Cux2_tdTpositive_cell_5	Cux2_tdTnegative_cell_4	Ndnf_tdTnegative_cell_11	Rbp4_tdTpositive_cell_59	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_30
2010003O02Rik	0.0	63.15	0.0	0.0	60.47	31.81	0.0	0.0	0.0	20.12	85.71	0.0	49.62	43.13	0.0	0.0	56.51	0.0	0.0	120.68
2610002M06Rik	0.21	87.14	0.0	0.0	63.95	7.61	12.11	0.07	21.79	24.69	0.41	5.38	18.63	0.76	1.0	1.21	0.51	1.67	54.63	115.27
6030405A18Rik	0.0	77.86	0.0	0.0	35.05	0.0	0.0	81.05	22.02	0.0	0.21	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	75.44
A830010M20Rik	0.0	191.77	0.0	0.0	151.82	68.45	35.08	91.41	115.91	37.62	38.61	96.81	4.58	101.45	0.11	0.0	1.36	0.23	184.83	243.99
Bnip3l	0.1	387.81	0.0	0.46	271.52	6.03	188.68	134.54	78.89	68.54	143.85	174.22	227.32	171.9	1.12	271.59	0.0	0.0	356.6	367.14
Cand1	0.0	31.12	2.06	0.0	57.33	43.14	29.32	10.83	23.17	8.69	7.02	21.85	24.54	36.34	0.09	0.0	0.0	131.86	17.91	88.72
Cbfa2t2	0.12	82.86	0.0	0.0	153.13	47.71	19.39	0.25	0.45	7.8	0.29	29.98	0.27	23.65	1.61	0.78	78.76	39.64	107.82	161.46
Cdk7	0.4	52.26	0.0	0.69	53.19	16.58	16.25	12.06	40.67	7.94	7.01	11.27	36.63	18.45	8.1	7.24	3.38	5.28	30.33	77.41
Cutc	0.0	86.27	0.0	0.0	58.75	0.0	2.24	0.0	97.33	29.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	111.85
Cxadr	0.0	64.24	0.0	0.07	81.45	7.49	20.18	2.84	1.83	20.28	0.29	0.15	19.99	44.84	0.0	0.0	0.0	0.0	77.36	70.24
Ehmt1	18.83	59.65	0.41	0.75	52.53	10.84	10.66	33.44	12.29	2.21	5.19	3.37	22.08	3.6	16.48	0.16	0.0	0.0	9.35	87.31
Exoc8	0.11	89.47	0.0	0.0	76.08	14.04	10.18	5.4	36.79	4.02	54.81	10.65	18.64	0.09	0.4	0.32	329.05	0.44	0.44	115.3
Fgf14	0.0	512.5	0.0	0.0	309.97	182.51	139.25	125.39	75.35	42.13	86.51	66.76	21.05	37.66	0.45	7.17	0.0	0.0	39.64	481.04
Ift80	0.0	77.39	0.0	0.0	56.93	0.0	0.0	40.99	0.0	0.0	0.0	0.0	64.21	0.0	0.0	0.0	0.0	0.0	0.0	99.41
Kitl	0.12	160.14	0.0	2.36	86.87	0.0	6.75	0.0	31.02	0.0	0.0	0.0	2.99	7.62	0.0	0.0	0.0	0.0	44.27	141.53
Lgi3	0.0	62.33	0.0	0.0	22.91	23.6	0.0	0.0	0.0	1.72	0.0	0.0	0.18	6.15	0.0	0.24	0.0	0.0	0.0	38.61
Mir690	14983.6	15143.79	9673.58	7643.83	10245.69	30528.33	39867.27	42000.18	28765.87	28695.45	37370.15	37614.4	23271.48	32522.04	44948.68	42282.55	35532.88	23237.11	48007.3	13202.21
Mrpl19	3.17	49.34	0.78	2.28	41.89	28.18	48.67	38.71	35.9	15.89	20.44	11.93	9.85	4.27	7.08	3.23	7.55	2.95	30.35	36.48
Nup160	0.0	27.24	0.0	0.0	42.07	24.95	27.44	0.66	6.1	6.33	0.0	10.23	0.79	44.08	0.13	0.0	0.1	0.0	9.86	59.25
Plekhb2	8.53	254.67	0.27	4.34	328.99	339.38	162.8	165.09	57.92	27.72	26.79	27.4	89.99	52.96	14.37	6.68	24.32	7.31	317.21	264.04
Pphln1	0.0	89.58	0.0	0.59	66.42	16.88	34.91	50.84	26.8	33.84	1.83	2.49	23.51	0.95	2.05	1.78	2.25	0.25	2.57	115.8
Rai2	0.0	0.22	0.0	0.0	75.0	6.33	0.0	4.6	11.46	103.55	11.13	16.57	3.11	11.76	0.0	0.0	0.0	0.0	9.11	140.46
Rarb	0.0	38.18	0.0	0.0	26.93	0.0	15.26	0.0	0.0	0.0	0.0	0.0	8.59	0.12	0.0	0.0	0.0	0.0	0.0	43.68
Rasal2	0.0	31.38	0.0	0.11	21.9	16.49	12.55	18.3	27.42	16.67	12.24	24.42	14.54	12.63	0.3	0.34	0.28	0.19	26.6	37.29
Scn2a1	0.05	213.76	0.0	0.0	215.09	150.4	128.08	97.79	144.77	72.87	45.39	137.86	74.1	128.53	0.35	0.15	0.21	0.07	149.95	231.91
Sec61b	0.0	243.38	0.0	0.0	275.14	53.88	300.12	194.74	0.78	129.81	76.91	0.0	233.15	147.69	0.0	0.0	0.0	0.0	6.87	464.06
Spcs3	0.09	855.41	0.0	1.6	682.63	479.9	301.32	287.83	200.7	301.91	271.13	372.28	109.04	173.0	0.84	0.67	0.0	0.0	442.14	623.78
Srsf3	0.13	568.92	0.0	24.57	313.22	361.72	64.16	245.18	198.81	339.98	127.7	60.45	148.57	264.97	621.49	1789.54	0.0	0.0	237.53	441.84
Sytl2	0.0	281.7	0.0	0.0	193.68	125.1	90.4	137.16	37.49	0.48	6.28	84.17	67.69	51.53	0.28	0.6	0.0	0.0	194.86	267.86
Tomm70a	0.0	86.12	0.0	0.0	128.69	43.37	45.58	0.64	95.73	16.04	7.68	8.8	44.65	49.95	20.76	0.0	0.0	0.12	52.16	211.86
Ttbk2	0.09	70.14	0.0	0.1	45.13	5.05	16.12	17.37	23.19	23.72	0.14	12.74	14.0	6.58	1.06	1.85	4.15	0.11	2.52	73.03
