	Nr5a1_tdTpositive_cell_49	Rbp4_tdTpositive_cell_174	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_183	Rbp4_tdTnegative_cell_2	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Scnn1a.Tg3_tdTnegative_cell_21	Rbp4_CTX_10pg_2	Rbp4_CTX_10pg_5	Rbp4_CTX_10pg_6	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2700097O09Rik	0.0	0.0	3.58	139.79	0.0	441.49	0.0	0.0	2.0	0.0	9.48	9.95	6.67	8.3
4930414L22Rik	0.0	0.0	0.16	13.77	0.0	0.0	0.0	0.0	1.54	24.14	0.19	18.73	17.82	18.42
4931417G12Rik	0.0	0.0	0.11	9.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.42	0.53
5730480H06Rik	0.0	0.0	0.0	8.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.44	1.09	1.49
Adm	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.17	0.0	0.0	2.86	2.74	1.92
Agpat5	17.35	0.0	0.73	76.11	0.88	0.0	0.46	0.0	0.02	2.17	34.15	30.53	29.34	30.23
Ahcy	33.15	0.0	95.47	88.65	0.0	0.0	0.0	0.24	0.03	90.09	0.0	28.02	30.58	29.17
Aldh5a1	0.0	0.18	8.84	30.15	0.0	0.0	0.0	0.0	0.05	13.48	29.04	53.65	52.91	55.22
Ankrd50	3.81	0.0	0.24	23.13	0.0	0.0	0.0	0.0	29.69	0.03	7.96	20.09	18.87	19.18
Arpc3	12.86	1.48	85.39	548.49	0.84	37.89	0.0	0.0	358.33	414.72	659.37	244.0	244.99	234.91
BC002230	0.0	0.0	0.16	8.47	0.0	0.0	0.0	0.0	51.48	0.04	0.14	11.8	11.86	12.54
Begain	0.0	12.8	7.55	30.19	0.0	10.09	0.0	0.0	14.38	0.15	3.33	103.74	126.52	123.92
Ces1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Dhcr7	21.24	0.0	0.83	26.77	0.24	20.49	0.63	0.0	21.28	23.59	1.26	27.41	29.23	29.58
Dhrs2	0.76	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.15	0.08
Dok3	51.57	0.0	15.4	22.04	0.0	0.0	0.0	0.0	0.0	17.89	0.0	9.22	10.09	8.79
Eef2k	2.05	6.43	3.09	26.23	0.21	40.36	2.94	1.48	25.33	14.08	1.38	27.93	28.9	28.24
Errfi1	122.19	0.0	0.53	78.59	0.22	0.0	0.0	0.0	0.0	60.31	0.0	27.66	27.93	21.94
Gm14431	1.81	0.0	1.96	0.1	0.0	0.0	0.81	0.0	6.47	0.07	4.91	8.87	7.17	8.34
Gm2002	0.58	0.0	0.04	1.12	0.0	1.53	0.7	0.0	0.0	0.04	0.0	1.73	1.86	1.4
Gm8898	1.81	0.0	1.96	0.1	0.0	0.0	0.81	0.0	6.47	0.07	4.91	8.87	7.17	8.34
Grpr	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.75	0.62
Hgsnat	7.41	0.0	37.46	65.55	0.0	1.42	0.0	0.0	5.83	23.48	1.06	50.84	52.82	50.58
Hnrnpa0	155.11	1.78	103.28	279.86	0.0	4.16	17.18	0.0	1.81	50.59	23.82	126.2	144.89	131.58
Igsf11	1.48	1.45	2.38	16.97	0.0	2.7	1.78	0.19	4.77	8.65	10.37	22.1	20.7	23.96
Il11ra2	0.58	0.0	0.04	1.12	0.0	1.53	0.7	0.0	0.0	0.04	0.0	1.73	1.86	1.4
Jph1	0.0	0.0	0.8	18.06	0.0	0.0	0.0	0.0	0.0	1.45	2.67	14.53	14.58	14.41
Kcna4	49.52	0.0	6.08	40.86	0.0	0.09	3.25	0.0	0.0	0.0	0.0	16.2	14.71	15.3
Kera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Lao1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Lrp10	0.0	0.0	0.1	42.79	0.0	0.0	0.0	0.0	0.0	5.27	0.0	18.03	22.06	21.75
Mdk	0.0	0.0	0.19	31.89	5.38	0.0	0.0	0.0	0.0	0.0	36.04	24.5	33.44	27.76
Morc4	0.0	0.0	0.21	65.92	0.0	0.13	0.0	0.0	0.0	0.0	0.0	2.8	2.62	2.6
Nol7	18.23	0.67	53.42	107.75	0.0	14.12	0.0	0.0	10.86	43.44	13.4	37.67	35.96	34.8
Otud7a	0.0	0.0	0.17	27.64	0.0	0.0	12.19	0.0	0.27	0.0	0.2	34.24	37.91	37.57
Pcsk7	0.0	0.0	0.04	18.76	0.0	0.0	17.95	0.0	63.35	0.11	25.27	18.18	16.48	17.69
Pcyox1l	13.22	0.0	5.34	106.76	0.0	17.45	0.0	0.0	1.45	5.93	7.87	20.55	22.17	20.93
Phactr2	0.11	0.0	0.06	8.05	0.0	0.0	0.0	0.0	0.18	1.4	1.77	11.12	9.96	11.27
Pigq	0.61	1.77	49.4	128.12	0.0	22.5	3.55	0.0	30.36	6.83	54.88	79.81	85.55	87.13
Rai2	0.0	0.0	2.88	69.22	0.0	0.12	0.0	0.0	0.06	0.0	0.0	9.96	10.39	9.98
