	Calb2_tdTpositive_cell_27	Gad2_tdTpositive_cell_40	Ntsr1_tdTnegative_cell_13	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001K23Rik	0.0	0.0	0.0	0.22	0.2	0.22
1700021N21Rik	0.0	0.0	0.0	0.67	0.53	0.77
1700022I11Rik	0.0	0.0	0.0	0.0	0.02	0.05
1700071K01Rik	0.0	0.0	0.0	0.1	0.0	0.1
1700092M07Rik	0.0	0.0	0.0	0.28	0.0	1.46
2810422O20Rik	0.0	0.0	0.0	5.55	5.48	4.03
4930419G24Rik	0.0	0.0	0.0	0.19	0.18	0.2
4930420K17Rik	0.0	0.0	0.0	13.13	13.26	16.54
4930423M02Rik	0.0	0.0	0.0	0.0	0.0	0.0
4930523C07Rik	0.0	0.17	0.0	1.0	1.09	0.66
4930538K18Rik	0.0	0.0	0.0	2.06	3.0	2.33
4931423N10Rik	0.0	0.0	0.0	0.22	0.2	0.22
4932412H11Rik	0.0	0.0	0.0	0.17	0.16	0.21
6330409D20Rik	0.0	0.0	0.0	3.51	2.88	2.88
A330035P11Rik	0.0	0.0	0.0	0.55	1.1	0.78
A930041C12Rik	0.0	0.0	0.0	0.19	0.18	0.2
Accn1	0.0	14.64	0.0	50.26	51.96	53.47
Actg2	0.0	0.0	0.0	0.5	0.14	0.16
Ankrd23	0.0	0.0	0.0	4.72	3.92	3.77
Astl	0.0	0.0	0.0	0.0	0.0	0.0
Atp2a1	0.0	0.0	0.0	0.4	0.3	0.21
Atp5s	0.0	0.0	0.0	24.13	20.95	22.14
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
Bai2	0.0	0.14	0.0	231.59	239.36	249.07
Bbox1	0.0	0.0	0.0	1.35	1.27	2.02
C4bp-ps1	0.0	0.0	0.0	0.14	0.38	0.84
C630004H02Rik	0.0	0.0	0.0	83.05	88.74	84.8
C85492	0.0	8.19	0.0	28.22	32.88	28.74
Cacna1a	0.0	1.72	0.0	73.0	70.76	78.42
Calhm1	0.0	0.0	0.0	0.1	0.09	0.1
Ccdc141	0.0	0.0	0.0	7.78	7.48	9.07
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Ces2g	0.0	0.0	0.22	0.47	0.16	0.28
Ckap2l	0.0	0.0	0.0	0.57	0.77	0.84
Cnnm2	0.0	0.0	0.0	25.24	27.57	26.02
Csnk2a1	21.7	33.16	39.57	77.48	76.29	75.41
Ctf1	0.0	0.0	0.0	1.42	1.86	2.03
Cyp2u1	0.0	0.0	0.0	6.28	5.0	6.0
Cyp46a1	0.0	201.34	0.0	251.55	268.78	265.67
Cyp4f16	0.0	0.0	0.0	4.77	4.39	5.9
D6Mm5e	0.0	0.0	0.0	0.1	0.09	0.1
Dlg2	0.0	145.06	0.0	164.86	151.24	164.22
Dnm2	0.0	0.0	0.0	36.7	38.37	41.09
Dspp	0.0	0.0	0.0	0.11	0.1	0.11
Dyrk4	0.0	0.0	0.0	0.1	0.09	0.1
E030010A14Rik	0.26	0.4	0.0	1.21	1.66	0.45
E030018B13Rik	0.0	0.0	0.0	0.1	0.09	0.1
Ebi3	0.0	0.0	0.0	2.23	1.37	1.42
Epas1	0.26	0.0	0.0	56.18	55.43	68.04
Exosc1	0.0	0.0	0.0	16.12	16.21	15.15
