	Gad2_tdTpositive_cell_47	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_66	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_72	PvalbD.Slc32a1_tdTpositive_cell_17	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_28	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700034G24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	2.26	2.5
1700125D06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.7	0.77
2010001E11Rik	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	1.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.85	1.06	1.62	1.09
2410004I01Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.9	0.99
3830431G21Rik	0.08	0.0	0.13	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.26	0.21	0.1	0.13	0.0	0.0	0.0	9.08	0.1	0.15	0.19	0.0	0.0	0.13	0.17	0.0	0.37	0.12	0.06	1.9	1.88	2.57
4833428L15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0
5031410I06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.77	0.71	1.06
5330426P16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.12	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	6.41	4.85	6.1
5730494N06Rik	43.7	69.37	3.17	0.0	0.9	73.05	97.18	105.1	0.0	0.51	52.34	0.0	0.0	0.0	63.93	0.72	0.0	0.32	52.63	60.53	35.43	72.69	0.87	5.27	15.32	0.33	0.0	9.59	1.2	0.29	39.61	38.28	36.33
A230051G13Rik	0.08	0.0	0.0	0.1	0.0	0.0	0.0	0.42	0.21	0.0	0.0	0.0	0.0	0.03	0.09	0.0	0.0	0.0	3.18	0.07	0.0	0.0	0.11	0.1	0.12	0.32	0.14	0.0	0.0	0.03	4.81	5.48	4.87
