	Gad2_tdTpositive_cell_28	Ndnf_tdTnegative_cell_10	Pvalb_tdTpositive_cell_46	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001K23Rik	0.0	0.0	0.0	0.22	0.2	0.22
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4931423N10Rik	0.0	0.0	0.0	0.22	0.2	0.22
Abcc8	9.92	0.0	0.0	20.59	20.61	19.74
Accn1	0.0	0.0	0.0	50.26	51.96	53.47
Akt1	0.35	0.0	0.23	127.05	134.23	125.75
Asb1	11.29	0.16	0.21	26.5	26.8	25.67
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
Blk	0.0	0.0	0.0	0.04	0.04	0.04
C530028O21Rik	0.0	0.0	17.25	152.06	160.33	155.46
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Ccdc153	0.22	0.0	0.0	3.6	4.61	4.59
Ccdc154	0.0	0.0	0.0	0.04	0.08	0.04
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
D11Wsu99e	6.45	0.0	0.0	37.77	42.92	37.07
Ddx20	0.0	0.0	0.0	11.94	12.9	10.53
Dlgap4	1.93	0.0	0.0	141.07	142.88	143.51
Dspp	0.0	0.0	0.0	0.11	0.1	0.11
Fkbp8	0.0	0.0	47.69	325.84	367.96	350.02
Fnbp1l	15.55	0.0	18.34	70.63	59.91	69.07
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Ftcd	0.46	0.17	0.23	0.66	0.81	0.71
Gabra6	0.0	0.0	0.0	0.04	0.04	0.08
Gdf6	0.0	0.0	0.0	0.03	0.03	0.06
Gsr	0.26	0.0	5.45	21.06	23.21	20.48
Gtpbp1	0.07	0.0	0.0	38.95	39.97	38.95
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Il18rap	0.0	0.0	0.0	0.04	0.08	0.04
Il1rn	0.0	0.0	0.0	0.04	0.08	0.04
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Kpnb1	16.64	0.0	20.09	90.36	86.91	86.26
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lipm	0.0	0.0	0.0	0.11	0.1	0.11
Mcm10	0.0	0.0	0.0	0.59	0.82	0.49
Msh4	0.0	0.0	0.0	0.03	0.03	0.06
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Npdc1	1.12	0.0	0.0	252.93	280.5	267.22
Nudcd2	0.0	4.03	0.0	16.85	19.22	18.94
Olfr1420	0.0	0.0	0.0	0.11	0.1	0.11
Pdgfb	0.0	0.0	0.0	22.86	26.58	25.28
Pspc1	0.0	0.0	0.0	46.17	50.17	47.53
Rad17	0.0	0.0	0.0	13.94	14.39	12.57
Serinc3	8.54	0.0	38.69	199.4	197.55	189.33
Siah1a	0.0	0.0	0.87	31.01	30.39	29.68
Slco6c1	0.0	0.0	0.0	0.04	0.04	0.04
Sphk2	0.0	0.0	0.0	18.77	19.52	18.93
Spint2	0.0	0.0	0.0	30.38	30.33	27.08
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Timm50	16.31	0.0	3.18	41.0	41.99	46.28
Tmeff1	27.76	0.0	15.44	93.01	86.83	88.78
Tmem9b	3.75	0.0	58.73	128.28	132.47	131.39
Trim58	0.0	0.0	0.0	0.21	0.05	0.17
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Tysnd1	0.0	0.0	0.0	17.18	21.61	21.13
Ulk1	0.04	0.0	3.35	43.63	46.37	46.9
Usp27x	0.0	0.14	0.0	10.61	10.6	9.2
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn1r45	0.0	0.0	0.0	0.03	0.03	0.06
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Vsx1	0.0	0.0	0.0	0.22	0.1	0.11
Wdr43	0.0	0.0	0.0	18.99	17.87	18.26
Wscd1	0.0	0.0	0.0	63.53	68.22	74.36
Zfp146	0.0	0.0	0.0	37.59	38.25	36.9
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
