	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Cux2_tdTpositive_cell_123	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_10	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_32	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Nr5a1_tdTpositive_cell_39	Nr5a1_tdTpositive_cell_49	Rbp4_tdTnegative_cell_8	Scnn1a.Tg3_tdTpositive_cell_107	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_16	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700034H15Rik	2.69	2.11	2.78	1.89	2.21	4.26	0.88	0.08	4.64	4.94	3.58	5.06	2.5	15.14	7.84	2.15	3.9	1.08	1.67	0.91	1.25	0.97	5.09	1.33	2.02	3.04	2.8	0.99	1.85	4.12	1.08	3.5	4.04	2.12	2.54	1.76	1.16	5.03	2.57	2.38	2.0	1.2	1.31	2.15	1.1	1.37	6.41	10.26	4.07	13.44	1.54	1.58	1.93	0.71	1.5	1.81	1.13	1.61	3.34	3.19	3.2
4930539E08Rik	3.3	3.02	1.21	1.73	2.3	15.26	0.0	0.07	9.42	3.55	9.34	8.25	3.95	12.88	6.94	6.47	7.06	1.8	1.79	2.57	1.95	1.81	4.09	1.71	4.12	1.93	4.04	3.17	3.73	3.5	2.56	3.18	2.03	2.63	2.9	2.41	2.41	1.3	2.87	3.25	3.73	1.13	2.94	1.6	1.8	1.51	5.71	8.67	11.16	5.98	2.11	2.76	2.92	1.65	5.02	2.26	1.37	0.46	9.63	8.55	9.86
9830107B12Rik	0.0	1.92	0.0	0.43	0.15	5.42	0.0	0.0	0.37	1.3	0.43	0.23	2.58	1.67	2.66	0.27	1.34	0.0	1.4	0.46	0.49	0.05	0.03	0.4	0.05	0.41	0.34	0.44	0.93	1.28	0.42	0.26	0.83	0.0	0.35	0.0	0.51	0.11	0.59	0.07	0.0	0.25	0.34	0.15	0.11	0.08	1.24	5.5	2.44	0.96	0.01	0.62	0.03	1.09	0.0	0.0	0.38	0.0	0.28	0.13	0.13
Amy2a2	0.3	0.17	0.0	0.07	0.0	1.1	0.0	0.06	0.49	0.15	0.0	0.0	0.48	0.49	0.6	0.12	0.51	0.13	0.06	0.13	0.22	0.1	0.29	0.09	0.08	0.17	0.12	0.09	0.03	0.2	0.1	0.07	0.17	0.18	0.05	0.11	0.0	0.1	0.38	0.23	0.26	0.08	0.31	0.17	0.09	0.22	1.09	0.29	0.26	0.53	0.02	0.0	0.06	0.09	0.08	0.12	0.13	0.0	0.26	0.19	0.21
Amy2a3	0.3	0.17	0.0	0.07	0.0	1.1	0.0	0.06	0.49	0.15	0.0	0.0	0.48	0.49	0.6	0.12	0.51	0.13	0.06	0.13	0.22	0.1	0.29	0.09	0.08	0.17	0.12	0.09	0.03	0.2	0.1	0.07	0.17	0.18	0.05	0.11	0.0	0.1	0.38	0.23	0.26	0.08	0.31	0.17	0.09	0.22	1.09	0.29	0.26	0.53	0.02	0.0	0.06	0.09	0.08	0.12	0.13	0.0	0.26	0.19	0.21
Amy2a4	0.3	0.17	0.0	0.07	0.0	1.1	0.0	0.06	0.49	0.15	0.0	0.0	0.48	0.49	0.6	0.12	0.51	0.13	0.06	0.13	0.22	0.1	0.29	0.09	0.08	0.17	0.12	0.09	0.03	0.2	0.1	0.07	0.17	0.18	0.05	0.11	0.0	0.1	0.38	0.23	0.26	0.08	0.31	0.17	0.09	0.22	1.09	0.29	0.26	0.53	0.02	0.0	0.06	0.09	0.08	0.12	0.13	0.0	0.26	0.19	0.21
Aplp1	203.5	174.19	79.92	100.8	180.33	1008.0	387.28	67.23	421.02	250.92	417.36	263.22	251.69	319.39	519.77	213.87	281.41	116.7	34.01	53.76	130.11	108.36	195.72	173.5	122.77	29.73	13.91	108.37	122.97	86.1	66.05	123.07	223.46	186.28	110.24	2.01	156.22	54.88	7.18	92.98	128.66	101.85	33.81	273.87	110.28	22.87	669.76	635.47	707.65	961.46	64.04	169.48	41.91	93.63	98.25	252.12	60.99	202.68	1108.57	1258.77	1161.27
Ccdc82	83.09	132.55	18.79	35.67	83.88	391.36	23.03	18.6	185.12	194.11	196.82	149.36	178.2	255.03	408.55	130.61	153.28	93.29	92.3	137.08	81.46	47.01	97.08	97.39	73.92	66.15	104.99	103.6	60.75	98.81	101.08	63.32	67.09	132.14	63.65	123.82	34.93	77.54	51.48	96.89	81.16	83.24	86.62	91.95	74.23	110.95	287.49	512.76	256.54	374.4	44.64	73.16	109.95	98.39	49.05	58.32	37.77	14.0	129.46	122.4	144.77
Cd33	0.27	0.32	0.16	0.0	0.22	4.05	0.14	0.0	0.66	0.28	0.63	0.23	1.28	1.68	1.46	0.36	0.7	0.33	0.16	0.26	0.17	0.14	0.66	0.06	0.3	0.19	0.5	0.18	0.68	0.0	0.2	0.13	0.12	0.88	0.28	0.23	0.17	0.0	0.1	0.06	0.23	0.09	0.78	0.69	0.07	0.22	1.43	1.17	1.55	1.28	0.0	0.09	0.26	0.53	0.19	0.0	0.19	0.0	5.21	4.81	6.26
Cd38	1.1	2.33	0.54	0.54	0.41	7.51	0.16	0.0	3.4	0.78	1.85	3.35	2.76	6.02	17.38	3.49	1.85	0.53	0.78	1.62	2.6	0.63	1.73	0.66	0.69	1.01	1.52	1.84	0.29	1.0	1.13	0.65	0.66	1.31	1.34	0.73	0.83	2.19	0.0	0.86	1.09	1.93	0.73	0.73	0.64	1.81	2.71	11.21	2.34	8.6	0.74	0.91	1.73	0.97	0.81	2.28	0.33	0.07	8.08	7.82	8.58
Colec12	40.76	16.73	7.0	6.44	9.24	75.46	3.67	1.15	44.44	23.58	28.6	26.5	34.36	36.55	87.45	17.74	19.72	14.49	10.75	17.33	7.4	4.0	18.45	13.42	14.05	8.55	21.35	12.65	8.61	10.44	12.24	11.4	9.07	17.13	12.51	14.1	8.52	22.66	11.99	13.16	11.96	12.34	10.46	12.0	8.46	15.94	44.55	65.0	38.65	73.79	12.61	11.79	18.28	71.48	9.43	35.53	3.7	0.61	20.29	19.38	20.84
Ddx5	218.71	91.52	115.53	34.19	93.99	374.05	0.1	0.0	396.66	254.81	411.6	469.47	166.28	396.8	339.5	138.44	566.62	78.87	215.3	138.55	6.5	14.16	283.03	22.2	108.19	72.88	254.03	132.82	84.11	196.61	36.55	104.43	132.52	260.85	106.65	88.51	76.21	127.56	252.99	57.42	178.73	147.71	127.63	227.79	192.19	188.22	658.06	529.54	657.11	797.73	56.45	152.86	85.63	248.1	159.36	90.0	235.59	0.11	633.11	643.14	601.38
E130112N10Rik	5.39	5.28	1.77	5.38	5.83	26.97	0.0	0.0	41.2	11.28	17.85	13.5	22.09	19.61	45.63	8.21	14.06	4.79	2.11	7.18	11.19	1.55	4.71	8.33	38.06	4.98	7.6	9.72	9.5	5.59	6.36	4.26	19.37	6.31	7.64	11.89	4.07	12.54	6.7	9.37	10.33	6.59	5.61	5.11	4.47	5.84	23.46	61.08	25.42	20.89	4.66	3.07	4.9	5.28	5.54	3.44	4.0	0.28	9.89	9.91	12.14
Epb4.2	0.46	0.54	0.41	0.0	0.05	2.35	0.0	0.0	0.83	0.25	1.58	0.0	1.46	2.33	1.69	0.42	0.31	0.56	0.33	0.32	0.89	0.26	0.35	0.13	0.61	0.03	0.62	0.09	0.41	0.0	0.32	0.36	0.37	0.45	0.56	0.67	0.34	0.41	0.22	0.15	0.3	0.08	0.17	0.0	0.32	0.21	1.2	2.83	1.96	0.73	0.08	0.0	0.09	0.4	0.09	0.09	0.19	0.22	0.94	0.68	0.95
Etnk1	38.93	35.74	35.91	1.68	37.24	1.95	0.0	0.0	14.97	114.56	198.05	162.97	168.97	127.08	306.24	47.48	65.92	11.74	45.58	26.65	0.81	1.16	60.93	56.42	25.32	14.77	72.39	30.93	31.27	0.25	21.54	50.61	54.31	79.66	4.7	17.11	31.29	7.49	33.38	12.4	9.8	12.24	52.3	29.69	85.05	31.48	140.54	91.56	80.15	38.41	38.61	27.86	28.62	21.05	37.5	13.1	43.62	0.0	204.06	192.99	197.61
Fam198b	0.76	0.48	0.12	0.7	0.82	2.6	0.0	0.0	1.1	2.5	17.15	1.22	0.75	87.98	3.0	4.14	8.87	0.56	0.16	0.33	0.5	0.27	0.33	0.42	0.67	0.39	0.79	0.39	0.7	0.5	0.31	0.26	0.33	1.13	0.44	0.88	0.35	1.92	0.36	0.81	0.47	0.57	0.53	0.63	0.48	0.65	1.97	4.54	1.28	2.37	0.49	0.36	1.15	0.62	0.56	0.48	0.27	0.0	4.49	3.5	4.54
Fyco1	22.58	18.34	0.14	2.63	4.02	37.01	0.0	0.25	35.17	26.57	36.98	61.29	19.94	27.81	59.71	62.21	13.26	5.77	8.11	2.25	3.79	9.69	3.91	8.95	2.83	16.04	9.67	12.49	8.14	5.06	3.75	6.57	12.55	9.18	11.94	6.87	5.07	15.34	12.0	5.37	12.55	19.41	4.24	3.82	5.42	5.84	14.56	90.87	27.49	138.65	5.9	6.03	17.13	8.78	4.63	8.92	22.49	0.1	23.38	18.49	24.79
Gabpb2	0.94	0.75	0.06	0.26	0.56	4.35	0.0	0.0	2.88	2.04	28.87	0.48	0.76	37.38	3.64	0.9	1.39	0.24	0.35	0.32	0.6	0.32	0.73	20.03	0.52	0.52	0.99	0.17	0.26	0.56	0.96	0.36	0.61	0.38	0.68	0.48	0.24	0.81	0.73	0.77	0.79	0.78	0.44	0.39	0.28	1.01	1.24	5.35	2.83	3.78	0.67	0.47	0.6	0.31	0.77	0.44	0.46	0.06	9.12	8.58	8.74
Gjc3	14.6	25.33	2.5	12.62	19.97	65.87	0.0	0.18	38.62	29.9	30.76	42.09	32.28	52.18	85.74	29.85	30.66	15.89	12.18	14.53	17.8	11.22	11.23	9.72	13.06	13.43	19.56	16.6	14.29	21.44	14.34	12.34	18.52	14.69	13.68	13.26	11.13	32.13	44.22	14.65	17.11	13.51	15.32	9.99	11.06	17.99	58.17	109.63	47.69	68.79	15.27	13.01	38.79	16.3	11.54	17.27	13.6	1.95	44.74	38.77	52.76
Gtdc1	37.54	13.44	3.87	5.62	11.1	106.29	2.62	2.05	121.13	153.49	26.7	25.91	84.89	23.28	24.88	16.38	11.33	9.12	7.3	11.83	9.42	3.03	16.99	6.19	32.92	6.42	62.05	8.29	7.74	9.46	10.12	5.82	6.78	11.65	39.6	12.47	6.27	14.65	6.89	16.63	10.13	12.15	11.33	8.91	8.14	10.27	47.39	46.02	31.45	55.93	5.46	6.51	6.91	8.39	8.82	5.3	30.91	2.01	58.73	53.38	59.5
Hif3a	0.26	0.0	0.0	0.05	0.04	1.07	0.0	0.0	0.11	0.2	0.12	0.07	0.06	0.48	0.53	0.13	0.35	0.02	0.34	0.09	0.16	0.05	0.08	0.05	0.05	0.03	0.08	0.04	0.0	0.06	0.04	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.07	0.33	0.45	0.08	0.18	0.04	0.1	0.07	0.17	0.68	0.27	0.4	0.0	0.03	0.1	0.0	0.15	0.0	0.03	0.0	2.52	2.86	2.1
Hivep2	0.0	14.01	16.69	15.66	12.78	273.15	0.0	0.0	63.91	7.63	73.68	40.49	39.02	138.3	67.06	1.03	8.73	12.46	0.41	0.02	4.96	0.67	12.9	0.12	1.58	7.09	18.38	5.11	4.73	10.94	0.61	6.4	2.2	2.03	0.0	1.38	0.0	6.57	0.0	16.29	12.3	25.69	8.48	0.06	3.23	15.59	182.93	231.95	117.27	175.72	2.37	0.0	0.0	0.0	0.0	0.57	2.36	0.0	91.36	84.2	96.55
Il17rd	0.0	0.0	0.0	0.22	0.03	0.22	0.0	0.0	0.01	0.1	0.0	0.14	0.25	0.35	0.36	0.16	0.05	0.0	0.0	0.02	0.12	0.06	0.09	0.03	0.1	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.09	0.04	0.0	0.09	0.0	0.14	0.09	0.0	0.0	0.08	0.32	0.07	0.0	0.06	0.07	0.23	0.32	0.3	0.1	0.11	0.0	0.04	0.0	0.0	0.08	0.0	2.68	2.44	2.51
Itga4	2.12	5.3	1.64	1.96	3.12	22.62	0.0	0.57	6.3	8.79	6.65	4.13	6.92	14.21	13.73	5.07	4.36	1.94	5.5	4.86	4.09	3.79	1.75	1.52	3.93	3.33	5.48	3.93	5.13	4.53	2.75	3.3	2.42	3.21	4.0	3.91	2.04	4.12	3.83	6.0	4.21	4.05	3.84	3.45	3.54	3.25	8.38	63.96	48.72	122.41	2.7	2.74	2.73	3.25	2.97	2.93	2.79	0.45	11.38	8.49	11.06
Kpna1	20.87	5.24	9.37	0.0	21.35	16.18	0.0	0.0	0.03	0.0	29.87	94.63	0.0	127.65	178.16	0.0	0.48	19.9	47.58	38.13	0.06	0.08	0.59	94.26	12.36	0.06	46.64	65.57	0.0	0.1	21.9	19.2	3.13	72.34	47.64	0.06	0.0	0.14	0.06	40.21	14.32	66.64	0.07	0.0	3.88	0.43	12.02	47.64	19.03	186.53	9.9	2.87	0.0	40.01	1.91	11.62	71.87	0.09	98.17	87.0	90.49
LOC330599	2.22	2.03	0.0	0.0	0.03	27.55	0.0	0.51	13.58	7.38	0.0	5.95	20.3	10.53	21.43	4.17	7.54	1.87	10.8	1.91	4.3	0.38	3.31	9.51	4.84	2.99	4.61	4.64	5.47	10.94	2.55	1.66	3.14	1.96	8.83	0.33	9.38	2.79	3.85	0.09	9.89	6.53	2.56	1.08	1.17	4.95	7.44	13.88	21.55	22.34	2.6	3.8	3.36	4.42	0.39	1.3	23.24	0.0	3.05	2.65	3.62
Lrp12	0.0	21.91	0.0	0.0	1.82	42.24	0.0	0.0	225.31	65.81	298.94	5.01	42.35	279.92	0.0	0.0	26.17	32.35	30.67	0.02	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	32.98	21.87	0.07	0.0	0.0	1.21	0.0	0.0	0.1	0.0	0.0	0.0	8.31	0.0	9.5	0.0	2.42	0.0	17.54	92.6	24.88	0.0	0.0	0.0	0.0	0.0	0.0	2.37	16.41	0.0	43.41	41.76	42.49
Mprip	3.1	12.02	0.0	0.45	18.66	15.43	0.0	0.07	64.68	63.34	93.04	0.65	51.32	214.48	74.39	3.65	6.06	11.62	9.34	9.17	4.1	6.42	2.94	7.96	30.53	14.3	1.62	12.57	14.21	10.7	30.45	0.16	10.74	4.01	23.86	0.5	25.35	49.17	0.28	8.14	10.79	24.19	3.7	14.97	2.13	3.37	111.43	48.25	26.44	140.21	7.43	10.0	12.23	28.92	22.69	0.44	0.29	0.03	76.02	75.36	80.87
Mycn	21.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.71	50.65	59.91	27.66	0.16	109.57	0.0	0.0	68.89	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	19.25	16.02	0.0	3.29	0.0	0.0	17.68	0.0	0.0	0.0	0.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.98	19.9	6.57	0.0	0.0	0.0	0.0	0.0	6.09	0.03	0.0	10.63	10.07	7.11
Myt1l	44.91	69.09	75.65	0.91	14.57	52.91	0.0	14.84	50.46	40.19	32.82	23.49	90.67	65.77	132.53	89.99	111.45	23.95	49.24	18.08	28.33	3.8	41.51	48.86	36.39	33.13	79.71	16.74	52.92	50.53	48.61	21.11	27.05	41.09	85.78	9.74	28.16	15.24	17.12	35.66	20.98	59.94	23.34	0.04	30.03	30.15	103.95	216.16	93.83	119.32	25.94	21.95	0.14	34.89	40.3	48.87	37.12	14.62	108.73	92.4	106.64
