	Ctgf_tdTpositive_cell_15	Ctgf_tdTpositive_cell_17	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_6	Cux2_tdTnegative_cell_12	Cux2_tdTnegative_cell_15	Htr3a_tdTpositive_cell_101	Htr3a_tdTpositive_cell_111	Htr3a_tdTpositive_cell_113	Nos1_tdTpositive_cell_37	Nos1_tdTpositive_cell_42	Nos1_tdTpositive_cell_46	Nos1_tdTpositive_cell_49	Nos1_tdTpositive_cell_65	Ntsr1_tdTnegative_cell_18	Ntsr1_tdTnegative_cell_28	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_77	Rbp4_tdTpositive_cell_99	Rbp4_tdTpositive_cell_153	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_169	Rbp4_tdTpositive_cell_171	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_54	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_24	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610038L08Rik	0.0	4.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.16	0.07	0.62
1700001D01Rik	0.0	38.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.33	2.01	0.0	0.0	0.0
1700047I17Rik2	2.43	22.5	6.05	0.81	0.31	86.64	16.19	35.52	14.33	12.77	21.4	8.15	1.48	51.95	0.64	138.63	1.21	20.01	0.08	43.35	16.78	14.31	0.81	0.76	7.99	0.28	1.16	7.53	0.4	2.34	17.42	1.36	1.38	1.52	0.0	0.87	0.26	6.42	0.48	2.02	13.41	14.19	19.02	17.56	16.4	17.92
2010005H15Rik	0.0	2.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.37	0.2
4921530L18Rik	0.0	25.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.24	0.79
4930520O04Rik	0.0	85.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.54	1.3	0.33	0.83	1.13	1.45
4930529M08Rik	0.0	4.64	0.0	0.0	0.0	2.85	3.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.0	0.25	0.0	0.0	5.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.99	5.83	0.0	0.12	0.0	0.0	0.0	13.23	0.7	0.0	0.0	0.0	0.9	3.39	1.41	0.92	1.57
4933427D06Rik	0.0	0.48	0.0	0.0	0.0	0.2	0.4	0.0	0.0	0.0	0.0	0.31	0.03	0.0	0.0	0.26	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.44	0.44	0.0	0.0	0.0	0.14	0.0	0.08	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.11	0.08	0.23
9130008F23Rik	0.0	1.81	0.21	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.23	0.12	0.57	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.23	0.13	0.37
9330020H09Rik	1.73	20.68	0.17	0.29	0.19	0.3	1.16	0.27	2.61	3.17	0.68	0.66	0.98	0.51	2.36	0.2	0.26	1.83	9.49	0.09	4.56	0.7	0.49	1.55	0.72	0.79	19.46	0.22	0.5	0.0	0.28	0.21	0.88	0.0	0.22	0.0	0.87	0.0	0.18	0.37	1.91	2.26	0.87	1.16	1.13	0.99
