	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_4	Ctgf_tdTpositive_cell_5	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_8	Ctgf_tdTpositive_cell_10	Cux2_tdTnegative_cell_4	Htr3a_tdTpositive_cell_27	Ndnf_tdTpositive_cell_1	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_5	Ndnf_tdTpositive_cell_8	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_1	Nos1_tdTpositive_cell_54	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_49	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_11	Ntsr1_tdTnegative_cell_17	Ntsr1_tdTnegative_cell_29	Ntsr1_tdTnegative_cell_56	PvalbF.Gad2_tdTpositive_cell_12	PvalbF.Gad2_tdTpositive_cell_27	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_31	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_37	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_90	PvalbF.Gad2_tdTpositive_cell_91	PvalbF.Gad2_tdTpositive_cell_92	PvalbF.Gad2_tdTpositive_cell_94	Rbp4_tdTpositive_cell_17	Rbp4_tdTpositive_cell_174	Rbp4_tdTnegative_cell_14	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Rbp4_CTX_10pg_1	Rbp4_CTX_10pg_2	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110059E24Rik	0.36	0.0	0.0	1149.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	811.04	0.32	0.0	595.49	0.0	5.35	0.0	0.0	18.09	0.0	129.17	0.22	0.0	0.0	0.0	2.37	324.85	0.0	7.02	0.38	66.02	84.94	148.64	0.0	127.49	29.08	338.94	249.95	294.87	159.07	0.15	0.25	0.0	0.46	0.19	0.0	35.49	93.22	27.85	25.51	26.51
Apc	45.52	0.0	0.0	142.24	182.85	0.0	0.0	0.04	0.0	9.36	0.0	0.01	0.0	0.0	73.16	0.03	0.0	65.57	62.56	31.57	0.0	48.62	13.3	66.82	24.97	0.0	0.0	0.0	0.66	69.2	93.31	35.08	25.62	52.05	26.59	32.79	32.66	9.62	11.31	15.67	27.36	18.16	18.8	78.91	0.05	14.45	39.77	29.67	76.26	97.77	76.83	103.87
Arfgap3	0.0	0.0	0.0	192.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	349.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.45	0.0	0.0	0.0	0.0	0.0	153.39	0.0	20.78	0.84	0.0	0.27	0.0	61.57	0.09	0.1	0.0	16.22	1.7	0.4	0.0	0.0	0.21	0.0	52.7	0.0	19.69	19.64	18.84
Arhgef9	0.0	0.0	0.37	517.65	0.07	0.08	0.18	0.02	0.0	0.15	0.0	0.0	1.23	0.0	0.0	0.0	0.0	26.2	0.09	0.2	5.95	12.01	15.5	18.68	6.54	0.0	0.86	0.0	0.0	52.11	64.44	26.29	30.11	8.71	17.09	8.84	3.39	46.02	42.04	63.54	46.47	0.32	94.72	7.3	0.12	256.23	4.84	59.16	46.98	220.51	209.27	213.67
Camk2b	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.19	0.0	0.0	0.08	84.25	70.6	475.4	64.79	0.0	0.0	0.0	1.84	15.65	33.64	11.38	32.18	46.42	18.9	36.74	40.98	7.01	4.45	0.42	43.65	1.37	144.27	55.89	0.32	179.81	133.45	149.74	245.5	532.26	557.69	545.35
Capns1	0.0	0.0	0.25	556.86	0.0	130.02	0.0	0.0	428.38	0.0	0.0	354.48	17.81	0.0	1092.32	0.0	0.0	52.17	79.81	0.0	0.0	189.2	89.19	0.0	0.0	134.77	0.0	550.93	3.0	238.28	169.71	0.0	24.19	0.0	187.53	148.95	28.4	47.89	0.55	107.03	57.3	135.22	104.22	0.88	0.0	1.93	0.0	17.77	58.01	177.54	188.72	182.92
Ccl27b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.17	0.0	0.0	0.0	17.08	177.13	344.85	20.98	0.0	0.0	0.0	0.81	11.55	2.27	11.75	29.61	11.59	0.69	1.74	7.82	0.85	0.0	0.0	0.0	0.45	41.42	389.64	0.0	14.7	274.48	17.69	2.83	30.63	28.29	22.96
Cxx1a	0.0	0.0	0.0	366.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	564.47	0.0	0.0	1.75	2.79	101.31	99.5	84.23	0.0	181.57	0.0	0.0	0.0	0.0	0.0	12.64	0.0	6.45	1.53	22.38	12.02	4.74	0.0	6.17	0.32	44.09	13.53	15.0	15.56	0.0	0.0	0.0	64.62	50.25	30.89	133.83	145.01	142.69
Dnajb11	0.0	0.51	0.55	437.46	0.0	0.0	0.27	0.24	0.0	4.11	0.0	0.0	0.0	1.13	381.16	0.0	0.0	0.46	0.13	0.0	0.0	40.25	1.2	49.39	1.87	0.0	0.0	0.45	2.2	45.11	1.0	27.56	24.79	0.56	0.44	38.71	4.89	44.12	1.15	0.74	15.16	0.7	17.68	3.53	5.96	0.51	11.45	3.04	75.42	58.65	55.63	56.06
Eef1d	0.0	0.0	75.64	396.06	0.0	0.0	0.0	0.0	0.0	0.0	23.22	0.0	0.0	0.0	297.73	0.0	0.0	7.53	0.0	146.23	0.0	0.0	6.85	176.2	21.43	0.0	0.99	0.0	0.0	46.45	2.56	45.73	13.11	4.83	0.0	60.4	37.81	0.14	16.67	7.81	0.0	16.65	13.88	0.71	624.15	182.09	5.25	44.73	62.34	49.44	51.76	46.26
