	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_7	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_43	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_4	Nkx2.1_tdTpositive_cell_9	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_21	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_29	Pvalb_tdTpositive_cell_32	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_56	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_17	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_7	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_55	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_61	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_88	Rbp4_tdTpositive_cell_51	Rorb_tdTpositive_cell_47	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_12	Tac2_tdTpositive_cell_7
1700025G04Rik	0.0	0.0	0.0	0.0	0.0	0.06	0.0	8.01	0.0	0.0	0.91	0.03	7.43	0.09	0.0	6.53	0.14	0.0	5.12	10.91	0.08	11.08	0.5	0.77	27.76	5.09	5.97	2.93	2.39	2.62	0.0	1.05	6.81	8.91	6.78	1.81	10.09	16.13	0.0	0.0	2.21	0.0	5.33	4.86	0.08	4.19	20.1	4.41	0.85	0.92	0.0	24.41	3.3	9.06	0.0	0.18	0.98	0.04	5.62	9.34	0.0	0.15	0.05	0.0	0.04
2210039B01Rik	1.0	0.0	16.06	0.0	0.0	0.0	0.0	4.04	4.37	0.0	1.88	11.62	0.0	0.96	113.38	2.33	18.1	0.0	11.45	14.87	6.85	0.0	7.13	21.1	10.25	7.37	6.89	2.75	0.0	1.14	3.0	7.98	11.77	5.15	3.76	9.36	5.19	7.38	6.33	3.05	0.95	1.98	1.99	39.48	3.69	10.39	7.39	2.17	15.69	0.99	7.26	10.34	7.69	2.32	5.3	1.61	10.49	12.98	5.13	0.63	0.0	0.0	0.39	32.08	13.42
A330070K13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95.85	0.0	0.0	0.0	0.0	0.0	101.24	0.0	0.0	69.37	78.78	0.0	0.0	0.0	29.58	0.0	0.0	0.0	0.0	0.0	69.54	0.0	0.0	124.08	0.0	0.0	0.0	0.0	0.0	0.0	38.76	125.69	72.96	0.0	0.0	0.0	0.0	0.0	30.24	0.0	0.0	0.0	88.87	0.0	50.56	88.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Adar	0.0	37.19	0.1	0.0	0.0	0.0	0.0	4.34	0.05	0.0	11.72	43.28	27.23	0.0	0.3	25.73	24.12	19.08	12.23	21.82	82.7	59.2	53.26	21.98	28.66	41.75	16.85	22.7	16.62	0.66	13.93	28.67	38.89	29.96	31.25	21.17	20.86	40.17	6.78	9.52	20.97	23.64	6.09	5.45	35.52	59.55	7.97	20.58	65.52	0.0	8.23	37.54	6.43	29.8	35.16	38.81	17.88	3.05	8.84	5.05	0.99	0.56	0.0	0.0	59.6
Ap1b1	2.18	5.36	0.0	0.0	0.0	0.0	0.0	6.32	0.0	0.0	7.75	0.8	54.05	0.0	0.15	23.11	24.17	5.14	31.97	21.72	11.6	61.51	21.76	6.48	32.55	113.89	45.85	25.24	48.67	26.45	9.7	38.46	0.74	83.08	43.68	180.07	11.22	86.78	96.48	102.9	50.83	68.03	30.19	253.98	120.91	35.97	48.44	8.14	66.09	25.76	53.74	52.82	37.88	75.28	98.72	58.71	64.5	77.13	0.5	52.76	0.1	0.36	0.0	7.95	36.67
Arhgef11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.2	0.0	0.0	0.0	0.12	30.59	0.0	0.11	0.31	8.51	0.0	15.78	10.67	19.32	2.32	0.0	21.1	15.49	0.0	11.01	5.53	3.64	18.74	0.0	13.19	0.0	0.09	0.0	30.3	0.74	26.67	0.0	36.43	14.78	33.91	1.01	41.83	4.56	13.25	0.0	0.0	0.35	30.14	0.19	5.63	0.0	13.02	17.83	8.47	0.71	27.75	0.04	39.21	0.0	0.0	0.0	0.0	2.1
Bace1	88.65	8.92	32.2	0.0	0.0	0.0	0.0	74.47	0.0	0.0	13.1	88.99	31.16	0.0	119.85	54.69	102.36	2.42	25.4	11.76	60.05	59.49	44.18	34.57	69.19	69.11	78.85	93.27	65.53	75.49	19.14	1.26	31.72	20.2	46.32	68.39	120.07	182.19	27.37	45.11	40.27	105.09	47.59	48.48	52.93	38.82	102.7	232.42	40.83	37.21	7.72	111.83	39.57	49.76	47.26	2.89	19.69	87.82	0.11	34.74	36.57	739.23	0.13	0.0	41.26
Cand1	0.0	0.03	37.8	2.06	0.0	0.0	0.0	27.03	0.03	0.0	21.51	10.64	32.94	0.0	0.07	24.92	34.84	4.25	21.06	10.62	65.98	44.23	49.23	28.23	20.68	46.12	13.03	65.36	33.0	21.59	28.92	48.27	32.94	18.84	14.57	15.04	16.1	25.28	3.08	23.49	27.65	39.93	36.7	27.85	6.07	33.21	13.72	14.89	14.68	12.66	5.96	44.02	45.36	74.98	30.2	49.68	66.8	21.92	13.01	26.2	0.05	0.13	0.0	0.0	42.27
Ccl27b	0.0	0.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.4	0.77	1.67	0.0	0.68	0.0	0.92	0.0	6.15	2.68	8.29	0.77	0.0	0.0	0.0	1.08	0.0	4.51	7.64	1.16	0.0	0.0	0.0	0.0	0.0	3.31	0.0	0.76	0.0	0.31	0.0	0.0	2.62	0.0	1.92	0.0	4.77	9.42	8.43	2.09	8.14	1.56	0.0	2.04	0.26	0.3	2.37	2.94	0.85	9.34	0.46	0.0	0.0	0.0	0.79
Cd3eap	2.12	1.47	0.7	0.0	1.27	0.74	0.67	0.28	1.08	13.51	50.01	98.01	10.1	2.62	2.69	22.25	8.16	0.11	3.16	2.95	31.01	16.28	5.61	1.43	42.47	8.87	1.14	11.15	18.42	2.85	34.14	7.37	0.83	3.31	80.08	55.49	0.71	36.74	19.85	26.72	44.39	36.86	10.87	2.17	32.1	3.21	42.14	16.06	5.07	0.43	1.9	3.41	0.18	28.25	48.05	9.85	18.06	1.4	1.61	13.19	1.19	3.44	0.63	1.18	38.19
