	Calb2_tdTpositive_cell_46	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_7	Cux2_tdTpositive_cell_6	Htr3a_tdTpositive_cell_12	Ndnf_tdTnegative_cell_7	Ndnf_tdTnegative_cell_8	Nr5a1_tdTpositive_cell_35	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_178	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_8	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_22	Rorb_tdTpositive_cell_13	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_39	Rorb_tdTpositive_cell_47	Scnn1a.Tg2_tdTpositive_cell_14	Scnn1a.Tg3_tdTnegative_cell_17
2700007P21Rik	0.0	0.12	0.0	0.21	55.73	0.0	288.39	127.8	23.9	27.74	13.37	49.5	64.9	124.29	0.47	57.54	57.56	0.36	328.09	78.37	83.61	0.0	0.21	1.23	0.0	134.68	0.11	0.63	137.51	0.0
9430091E24Rik	0.0	0.0	0.0	0.0	0.15	0.0	0.78	3.61	0.0	3.66	0.16	0.0	0.0	0.27	0.27	0.9	0.4	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	1.96	0.0	0.0	0.0	0.0
AY074887	3.1	2.92	0.49	4.18	7.91	2.54	16.59	3.96	9.13	3.3	4.22	18.11	7.21	15.86	12.99	12.28	8.5	6.74	11.36	5.2	40.74	6.28	0.0	0.99	15.42	6.92	6.31	51.33	23.06	17.71
Ap1s1	0.0	0.0	0.0	96.38	175.45	0.0	671.42	493.87	191.39	405.24	146.13	177.25	131.92	184.47	32.08	167.43	137.89	0.26	1.17	98.39	0.62	0.0	0.0	0.0	0.69	297.42	1.42	0.33	281.55	0.93
Arl8b	2.98	0.14	0.0	574.1	262.37	630.93	1167.01	728.11	653.58	405.54	36.25	439.76	288.77	383.09	357.19	450.33	286.21	93.77	724.94	586.08	881.87	3.7	0.6	1343.49	217.74	753.84	392.02	320.1	756.0	0.0
Arpp19	0.0	0.0	3.06	318.86	0.0	0.0	1352.41	1157.93	442.15	291.97	742.96	747.39	617.67	365.77	464.64	624.12	363.32	0.16	0.92	491.27	0.19	0.0	0.26	0.0	474.45	550.0	1.33	1.04	1194.0	383.63
Ccdc53	0.0	0.0	0.0	0.0	0.0	0.0	255.93	1.28	0.0	9.62	157.07	11.71	0.0	0.0	117.89	83.66	112.6	102.71	190.79	2.39	0.0	0.0	0.0	0.0	18.79	203.2	0.0	0.0	202.1	0.0
Ccl27b	0.0	0.0	0.0	113.94	0.0	0.0	0.22	10.7	30.68	0.23	50.62	21.3	114.35	145.03	0.49	118.2	75.28	0.0	0.0	42.8	0.0	0.0	0.0	0.0	43.11	150.8	0.0	0.46	237.48	0.0
Cd3eap	1.48	0.41	3.86	56.11	2.53	7.76	140.01	3.66	54.57	7.79	3.17	5.44	5.3	4.45	7.68	1.4	2.26	1.72	2.05	34.29	8.75	1.12	0.47	7.41	38.2	47.77	2.75	1.19	147.11	16.32
Eef1e1	0.0	0.0	0.0	0.0	60.4	0.0	209.06	38.75	48.76	160.04	260.1	0.0	120.43	0.0	0.55	123.28	78.22	0.0	1135.74	126.35	0.0	0.0	0.0	0.0	0.0	95.23	0.35	0.41	279.6	0.0
Eif3e	0.0	0.0	0.0	486.03	0.0	0.0	388.09	3.42	236.84	371.46	235.13	164.76	159.56	122.26	198.65	153.84	728.64	0.21	56.82	151.71	1124.33	0.0	0.69	0.0	16.5	306.75	0.93	1.92	307.52	0.0
Gabarapl2	0.0	0.44	882.12	1026.64	400.78	0.0	1037.19	1020.81	564.4	796.55	1407.57	1191.32	951.92	1328.95	1351.03	1142.07	816.77	1.36	812.14	627.56	14.74	0.0	1.86	1524.96	383.4	414.99	435.74	859.65	910.48	768.25
Gm13306	0.0	0.0	0.0	113.94	0.0	0.0	0.22	10.7	30.68	0.23	50.62	21.3	114.35	145.03	0.49	118.2	75.28	0.0	0.0	42.8	0.0	0.0	0.0	0.0	43.11	150.8	0.0	0.46	237.48	0.0
Gm2506	0.0	0.0	0.0	113.94	0.0	0.0	0.22	10.7	30.68	0.23	50.62	21.3	114.35	145.03	0.49	118.2	75.28	0.0	0.0	42.8	0.0	0.0	0.0	0.0	43.11	150.8	0.0	0.46	237.48	0.0
Gosr1	0.0	0.0	0.0	3.86	0.0	0.0	13.5	0.6	18.85	3.47	0.0	1.97	23.61	10.05	0.0	5.15	5.28	0.0	29.07	26.67	0.0	8.16	0.16	2.79	37.93	5.26	2.79	0.0	0.0	0.0
Hapln2	0.0	0.22	0.0	0.31	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.21	0.4	0.68	0.29	0.24	0.0	0.42	0.34	0.5	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.2	0.33	0.0
Hipk3	0.0	0.0	0.0	0.04	0.0	0.0	28.25	0.34	33.98	40.95	41.32	23.74	19.23	0.28	21.65	71.82	12.88	0.0	0.1	29.52	0.0	0.0	0.0	0.0	11.25	43.97	0.05	0.0	10.47	0.0
Hmgb1	584.79	292.22	1281.68	1142.73	390.6	591.35	1644.07	1574.99	848.59	614.14	1556.74	1360.52	1432.0	1474.34	1485.38	1297.51	1520.95	236.47	157.79	861.84	350.26	1138.01	54.91	608.75	233.61	710.98	525.48	632.97	1909.49	554.2
Mir690	13972.45	26828.41	15929.17	25738.25	19953.62	22720.97	14888.9	30464.78	39867.27	42000.18	28765.87	28695.45	37370.15	37614.4	24336.09	23271.48	32522.04	27509.93	44948.68	18757.58	42282.55	11286.64	17671.81	35532.88	21676.6	48007.3	17302.77	26597.61	6261.17	19413.83
Nbea	0.0	0.0	0.0	36.76	0.11	5.4	41.41	69.08	40.02	17.89	9.46	6.78	25.3	13.99	26.8	41.91	20.75	0.03	0.13	53.5	0.07	0.0	0.03	0.0	0.93	26.77	0.09	0.04	56.44	0.42
Oaz1	541.12	0.0	0.0	847.71	410.43	53.44	1295.76	1268.49	794.9	918.09	392.06	939.0	492.04	560.96	474.24	1011.91	847.6	1175.8	5.61	722.46	616.7	55.6	678.39	0.0	433.61	742.74	404.19	0.0	1114.49	352.72
Pgbd5	0.0	0.0	0.0	171.21	0.0	0.0	270.59	108.52	57.26	167.55	6.0	180.14	34.15	118.11	293.96	83.53	55.21	0.11	1.03	381.87	0.82	0.0	0.25	0.0	0.0	99.52	0.37	0.44	44.02	0.0
Prickle2	0.0	0.0	0.0	2.86	0.42	0.01	121.96	0.33	24.05	45.08	12.67	8.04	62.79	15.1	6.19	16.21	25.19	0.04	0.35	132.09	0.0	0.0	0.05	0.0	6.75	50.74	0.08	0.1	185.57	0.0
Psma4	0.0	0.0	0.0	253.62	143.81	0.0	870.69	1.22	287.64	90.17	198.02	626.68	418.59	696.32	220.69	603.97	321.56	0.61	112.73	204.75	1379.76	0.0	0.0	0.56	139.71	148.62	0.66	320.62	955.19	0.0
Ralyl	0.0	0.0	0.0	122.44	0.0	0.0	119.37	170.04	417.41	228.26	61.61	72.02	132.34	62.58	34.78	360.52	249.3	0.0	0.0	218.22	0.0	0.0	0.0	0.0	111.22	142.61	0.0	0.41	272.58	0.0
Rnf141	0.0	0.0	0.0	0.0	0.0	0.0	117.08	1.42	0.0	3.79	0.0	1.85	0.0	0.0	0.0	0.0	78.42	0.0	0.0	0.0	0.84	0.0	0.77	0.0	0.0	24.85	0.0	0.45	171.33	0.0
Rock2	0.0	256.78	0.0	253.84	16.01	0.0	166.04	41.62	37.33	76.01	74.92	23.13	27.04	118.24	103.3	161.68	5.79	0.0	0.18	72.59	0.29	0.0	0.13	1.38	86.64	2.09	0.04	0.1	163.41	0.0
Rps4x	0.0	1884.93	0.95	368.3	284.56	0.0	1013.68	77.44	401.89	468.75	521.65	275.29	502.91	305.49	413.93	469.95	772.03	716.99	2.61	197.73	0.92	1712.17	0.42	657.68	1.03	289.67	0.0	1.51	1559.65	0.0
Rsph3b	0.0	0.0	0.0	0.0	2.15	0.0	91.46	3.26	0.0	4.68	2.72	76.03	2.04	0.0	0.35	0.36	1.1	0.2	213.03	19.72	0.0	0.0	0.0	0.0	0.0	3.14	0.22	0.26	128.96	0.0
Set	0.27	0.0	248.0	381.81	339.17	787.73	902.14	962.47	499.07	573.15	534.56	600.92	872.19	624.02	624.11	757.77	743.75	1.8	1620.83	514.22	1085.47	0.0	0.79	0.22	418.09	764.14	1.05	2.48	741.44	224.77
Sipa1l1	0.08	0.0	0.0	32.18	8.64	0.08	53.03	52.68	54.44	1.88	19.26	32.22	48.0	27.27	23.29	36.19	26.94	0.39	0.1	49.75	0.62	0.0	0.08	0.13	21.26	27.03	0.23	0.05	77.53	0.6
Smarca4	0.0	0.0	0.0	5.33	0.03	0.0	56.84	0.4	7.09	1.62	5.81	5.94	11.16	29.1	7.94	32.49	0.85	0.0	0.0	16.57	0.29	0.0	1.25	0.0	0.13	0.19	0.04	0.13	46.14	0.0
Speg	1.79	0.0	0.0	58.44	0.0	0.0	90.7	0.94	0.09	14.44	33.21	45.49	0.0	4.54	157.81	3.39	0.25	0.0	0.0	29.13	0.0	0.0	0.0	0.0	0.0	1.35	0.0	0.0	2.9	38.24
Tti1	0.0	0.0	0.0	0.0	0.1	0.0	67.4	0.0	0.0	0.0	0.0	0.33	11.33	0.18	0.0	32.16	0.0	0.0	1.44	3.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.81	0.0
Ubxn1	0.0	0.0	0.0	3.33	58.04	0.0	147.76	3.9	3.77	55.99	13.42	107.86	0.0	1.4	18.93	68.27	57.67	0.0	1.46	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	209.62	0.0
Ubxn2b	98.98	0.06	0.0	2.09	12.23	0.0	106.22	0.0	29.96	31.9	0.08	16.49	0.0	19.9	14.14	39.65	30.52	0.12	0.13	48.32	0.77	0.0	0.87	0.25	0.0	27.04	0.11	0.23	62.11	0.0
Uqcc	0.0	0.0	0.0	8.94	0.0	0.0	176.28	0.49	29.1	150.14	1.03	6.67	0.0	0.24	1.87	0.43	25.38	0.48	0.55	2.35	0.0	0.0	0.0	0.0	0.0	74.15	0.26	0.0	212.75	0.0
Wasf1	0.0	0.0	0.0	417.94	14.14	138.67	671.03	144.5	248.78	314.73	475.59	226.56	344.33	291.29	410.58	505.02	420.06	0.25	0.29	559.86	0.3	0.0	0.28	0.0	199.51	270.48	49.65	0.98	261.57	405.56
Ypel4	0.0	0.0	0.0	0.0	0.0	0.0	148.58	0.0	65.38	0.0	1.66	36.98	0.0	0.0	0.0	46.33	0.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.74	0.0	0.0	46.18	0.0
c2_tRNA-Ala-GCY_	51.87	14.08	0.0	0.0	14.36	0.0	256.11	161.23	0.0	66.48	49.51	135.35	35.77	0.0	74.94	178.67	0.0	0.0	1139.55	46.79	0.0	0.0	0.0	0.0	159.89	172.23	0.0	261.5	25.74	37.66
