	Cux2_tdTpositive_cell_2	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_16	Ndnf_tdTpositive_cell_9	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_2	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_5	Nr5a1_tdTpositive_cell_23	Nr5a1_tdTpositive_cell_25	Nr5a1_tdTpositive_cell_26	Nr5a1_tdTpositive_cell_27	Nr5a1_tdTpositive_cell_32	Nr5a1_tdTpositive_cell_33	Rorb_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_6	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_34	Scnn1a.Tg3_tdTpositive_cell_37	Scnn1a.Tg3_tdTpositive_cell_42	Scnn1a.Tg3_tdTpositive_cell_89	Slc17a6_tdTpositive_cell_15	Slc17a6_tdTpositive_cell_18	Vip_tdTpositive_cell_16	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
A230050P20Rik	6.6	0.56	0.33	0.97	17.71	0.0	0.48	2.8	4.75	0.0	23.44	45.37	0.0	3.96	1.48	4.17	1.07	0.54	68.09	17.95	2.53	71.47	0.77	2.07	105.28	5.13	41.62	4.01	0.0	64.45	70.84	74.75
Atic	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.04	0.0	0.0	0.0	1.45	0.6	0.0	0.0	0.0	0.0	6.22	58.69	0.0	1.49	0.0	0.0	25.94	27.5	26.74
Cabyr	35.87	189.73	30.28	160.23	23.37	0.0	0.0	57.52	35.87	107.69	61.92	0.0	0.0	0.0	0.0	8.3	0.0	0.0	0.12	114.04	62.01	30.0	15.71	28.7	195.77	0.0	0.0	0.0	0.0	14.66	14.36	14.71
Cacna1a	3.62	6.13	20.84	6.72	8.98	0.0	0.24	0.55	0.0	1.3	3.27	2.62	1.43	13.64	0.5	4.76	0.76	1.62	3.65	1.03	4.11	9.92	2.53	12.06	26.05	0.61	0.98	4.99	0.52	73.0	70.76	78.42
Cacng2	0.16	15.7	26.77	0.0	8.17	0.0	0.13	3.62	23.33	2.49	0.0	0.0	37.87	5.9	1.87	18.46	0.88	2.73	10.39	27.07	5.0	4.93	0.0	4.91	40.09	0.0	2.41	2.54	0.0	32.73	28.9	35.08
Cdan1	9.63	10.23	23.97	14.11	12.73	0.0	19.21	0.07	4.8	0.04	0.08	21.13	0.13	17.53	2.59	7.66	7.52	0.41	0.08	0.26	0.0	16.5	2.1	0.0	54.16	0.62	0.0	0.0	0.0	12.72	12.84	12.6
Clta	0.09	137.75	41.27	10.2	52.55	0.0	0.0	117.56	39.6	57.96	78.11	0.0	0.0	75.8	93.09	0.0	6.01	10.36	218.64	84.51	144.64	0.0	22.29	0.0	152.75	120.44	34.33	1.68	0.0	283.56	310.7	294.37
Cntfr	1.76	0.0	0.0	0.0	2.28	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.29	0.0	7.9	0.0	0.0	0.0	0.0	73.24	81.29	77.33
Efr3b	5.19	69.55	23.29	10.63	10.48	0.0	0.12	65.04	68.52	0.06	8.94	0.21	0.18	2.04	0.05	52.14	21.86	0.19	1.86	0.35	32.9	0.2	63.87	0.67	78.26	0.15	17.4	0.29	0.0	94.67	93.25	100.15
Git1	0.0	93.12	4.82	1.03	2.65	0.0	0.0	0.0	3.39	0.0	0.0	0.0	0.0	0.12	12.07	6.24	0.0	0.0	40.87	4.87	4.83	23.12	0.0	0.41	60.76	0.0	14.78	0.0	0.0	228.58	244.29	233.42
