	Calb2_tdTpositive_cell_3	Cux2_tdTpositive_cell_2	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_56	Htr3a_tdTpositive_cell_84	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_9	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_33	Pvalb_tdTpositive_cell_49	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_25	Rbp4_tdTpositive_cell_116	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_38	Sst_tdTpositive_cell_24	Sst_tdTpositive_cell_27	Sst_tdTpositive_cell_46	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2
6330527O06Rik	0.0	1340.16	76.04	974.84	0.85	0.0	821.67	1212.94	556.95	903.75	0.0	0.36	0.45	0.87	694.35	240.27	1.02	0.31	0.0	397.52	475.81
9430023L20Rik	0.0	362.19	0.0	0.19	0.0	0.0	124.99	92.71	0.33	125.72	0.0	0.0	0.24	0.0	97.29	0.09	100.98	0.76	0.0	110.19	94.53
Acsl4	174.39	84.01	68.36	183.7	207.01	71.2	211.05	83.37	95.38	61.44	35.63	94.02	92.83	42.18	213.79	133.32	52.51	31.63	114.97	114.01	80.99
Adam11	0.0	5.72	0.02	0.34	0.11	0.0	66.41	110.84	53.3	0.82	0.0	0.09	56.07	0.0	139.54	0.08	0.0	0.0	0.1	4.8	6.01
Adamtsl2	0.0	26.82	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.89	0.0	0.0	69.92	0.0	0.0	0.0	0.0	4.59	3.81
Arhgap20	20.58	52.74	5.61	15.51	176.5	0.0	8.27	7.67	75.94	25.07	0.0	0.0	0.09	0.09	16.77	10.87	0.57	0.0	0.0	11.76	10.84
Atp6v1d	797.35	1183.04	835.51	561.89	904.57	692.79	922.42	1292.63	1216.48	1443.99	423.22	1141.81	1143.36	986.87	828.6	1088.53	574.61	1417.8	604.05	1420.89	1242.78
BC048546	0.0	16.2	0.0	0.0	9.35	0.0	0.04	13.95	19.85	0.0	0.0	0.0	10.64	8.07	0.0	22.37	0.06	0.0	0.11	1.34	3.05
Baiap2	616.92	209.12	139.44	217.57	202.67	0.87	227.85	77.54	126.33	0.76	0.0	109.91	65.39	142.28	311.56	181.77	42.02	0.0	0.0	254.26	269.61
Ccl27a	402.99	636.61	454.5	863.48	725.47	258.37	422.37	1376.73	399.36	966.21	127.39	299.3	342.77	181.62	1134.03	807.87	114.78	334.86	70.98	872.97	1276.69
Ccl27b	0.0	88.08	2.22	7.78	39.72	0.0	98.78	170.68	32.42	70.05	0.0	1.96	37.12	8.68	0.0	180.86	0.24	18.49	0.0	61.27	76.52
Cfl1	360.84	1028.78	928.46	1220.67	571.7	964.23	843.44	1621.68	1200.75	1042.82	647.78	576.27	1246.15	1577.23	1247.39	1217.68	577.78	494.76	327.69	821.78	943.57
Clstn1	0.0	108.73	0.24	81.89	76.74	0.68	144.27	36.41	19.82	40.17	0.0	12.05	42.47	20.48	208.8	141.67	4.48	18.86	13.24	45.4	47.83
