	Ctgf_tdTpositive_cell_8	Ctgf_tdTpositive_cell_10	Cux2_tdTnegative_cell_6	Ndnf_tdTpositive_cell_5	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_56	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_90	Scnn1a.Tg3_tdTnegative_cell_15	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
Adap1	0.0	0.0	0.0	0.0	15.18	0.0	3.3	8.44	0.44	4.18	0.29	15.85	23.34	12.74	1.61	0.0	195.41	199.98
Aqp4	0.0	0.0	0.0	0.31	9.66	0.0	0.0	0.84	1041.73	17.84	0.07	19.47	19.67	0.09	0.0	0.0	58.68	73.11
Capns1	0.0	0.0	0.0	0.0	52.17	0.0	189.2	0.0	3.0	0.0	0.0	187.53	148.95	47.89	0.55	3.41	177.54	182.92
Ccl27b	0.0	0.0	0.0	0.0	9.17	0.0	17.08	20.98	0.81	11.75	11.59	0.69	1.74	0.85	0.0	0.0	30.63	22.96
Cdk10	0.0	0.0	0.0	0.0	6.53	0.1	9.03	98.11	1.32	61.27	2.01	1.74	34.91	0.14	68.52	0.0	67.5	70.59
Cpe	0.0	340.47	0.0	0.0	987.74	64.25	463.04	1185.64	1778.92	788.94	299.33	489.04	254.53	709.76	412.01	0.0	2585.49	2616.63
Crbn	0.0	0.12	0.11	0.0	0.59	0.0	94.6	0.81	7.75	4.01	147.94	73.47	27.94	97.76	0.76	0.0	54.92	52.07
Dap3	0.09	0.0	3.83	0.0	0.25	0.0	33.11	34.33	5.62	45.04	101.42	50.32	24.39	0.48	4.86	0.0	32.85	32.16
Egln1	0.0	0.0	0.0	101.34	0.16	0.0	0.14	0.0	0.59	8.18	0.0	0.0	8.24	0.06	0.0	0.0	59.34	58.89
Epb4.9	0.26	0.24	3.19	0.53	2.18	0.19	100.34	12.54	2.68	5.94	24.3	56.99	32.99	1.43	30.26	1.06	204.98	207.52
Gas2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	30.29	0.0	0.83	0.0	0.43	27.34	0.0	8.95	9.47
Gm13306	0.0	0.0	0.0	0.0	9.17	0.0	17.08	20.98	0.81	11.75	11.59	0.69	1.74	0.85	0.0	0.0	30.63	22.96
Gm14430	0.0	0.0	1.53	0.0	0.06	0.0	5.63	7.21	0.06	0.0	0.0	12.07	23.92	6.94	0.0	0.0	7.67	7.49
Gm14431	0.0	0.0	0.0	0.0	0.87	0.71	42.61	2.99	0.37	0.44	0.11	0.53	5.21	0.37	0.4	0.0	8.87	8.34
Gm14434	0.0	0.0	1.53	0.0	0.06	0.0	5.63	7.21	0.06	0.0	0.0	12.07	23.92	6.94	0.0	0.0	7.67	7.49
Gm2506	0.0	0.0	0.0	0.0	9.17	0.0	17.08	20.98	0.81	11.75	11.59	0.69	1.74	0.85	0.0	0.0	30.63	22.96
Gm4724	0.0	0.0	1.53	0.0	0.06	0.0	5.63	7.21	0.06	0.0	0.0	12.07	23.92	6.94	0.0	0.0	7.67	7.49
Gm8898	0.0	0.0	0.0	0.0	0.87	0.71	42.61	2.99	0.37	0.44	0.11	0.53	5.21	0.37	0.4	0.0	8.87	8.34
Gnpnat1	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	2.03	36.48	0.0	2.1	7.78	4.52	126.08	0.0	13.51	12.1
Gpr19	0.0	0.0	0.0	0.0	0.74	0.0	0.0	0.0	4.73	56.33	0.0	44.85	22.94	17.07	0.0	0.0	18.27	16.52
Hadhb	0.0	0.0	0.24	0.0	0.0	0.0	36.05	3.22	27.2	129.49	0.55	304.05	195.82	127.69	141.38	0.0	88.63	84.02
Heatr7a	0.24	0.0	2.59	0.36	49.94	0.96	38.72	4.79	2.45	5.66	22.86	18.42	18.74	10.0	23.51	1.32	36.68	42.51
Kcnj11	0.0	0.0	0.0	0.0	5.4	0.0	1.48	3.71	0.39	10.55	0.13	21.4	4.31	11.44	0.39	0.0	37.29	40.33
Lphn1	0.0	0.0	0.0	0.0	21.72	0.0	40.01	6.43	0.38	7.35	3.81	32.85	35.59	8.25	25.69	0.0	185.96	203.82
Mrpl12	0.0	0.0	0.0	0.0	181.4	0.0	15.74	1.61	1106.27	85.22	0.39	324.9	278.34	294.66	70.5	0.0	94.27	99.5
Pdcd6ip	28.8	0.0	2.91	0.0	1.34	0.0	0.0	0.0	0.0	7.92	11.72	25.25	21.16	0.08	7.35	0.0	42.01	42.87
Prrc2b	0.0	0.0	0.0	0.0	15.95	0.35	3.3	2.5	0.48	14.02	0.0	1.08	30.44	0.13	0.39	0.0	152.07	157.09
Rab3gap1	0.0	0.0	0.0	0.0	9.15	0.04	5.88	0.7	0.25	5.57	3.87	75.2	30.57	117.88	5.52	0.0	67.33	62.99
Rbfox2	0.0	0.0	0.0	0.0	5.05	0.0	4.16	0.86	0.16	0.79	0.21	13.07	18.22	17.2	0.34	0.0	114.48	110.57
Rnmt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	2.17	20.71	28.85	34.17	32.77	13.19	0.0	35.35	34.9
