	Chrna2_tdTpositive_cell_22	Htr3a_tdTpositive_cell_121	Ntsr1_tdTpositive_cell_68	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_73	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001G11Rik	30.8	0.0	0.0	0.0	0.0	0.0	0.41	0.52	0.86
2310005A03Rik	32.89	0.0	0.72	0.0	0.62	2.28	0.81	0.41	1.28
2610318N02Rik	0.27	0.0	0.0	0.0	0.0	0.0	0.87	1.27	1.31
4921507P07Rik	40.88	0.0	0.0	0.0	0.77	0.0	0.85	1.04	0.57
4930465K10Rik	4.08	0.0	0.0	0.0	0.0	0.0	0.16	0.15	0.08
4930547N16Rik	8.65	0.0	0.0	0.0	0.0	0.0	0.42	0.31	0.55
5730408K05Rik	95.99	0.84	0.0	0.0	0.0	38.04	2.21	1.79	2.61
6430550D23Rik	25.4	0.54	0.73	0.0	0.77	0.95	1.39	1.24	1.44
Adamts1	67.7	0.0	0.0	0.0	0.0	0.0	6.81	6.92	7.5
Akap8	57.98	1.56	30.29	0.0	0.2	1.87	57.68	58.61	60.39
Ankrd13d	82.09	0.0	0.0	0.0	0.0	0.41	58.38	59.24	61.04
Ankrd9	15.33	0.0	0.0	0.0	0.09	0.0	8.46	10.62	8.41
Arfgef2	36.44	0.0	17.98	0.0	0.08	17.48	31.51	30.54	31.38
Arid5a	39.87	0.0	0.0	0.0	0.0	0.0	4.25	4.23	4.08
Atg7	127.08	0.0	0.9	0.0	0.18	2.65	18.47	21.21	22.24
Baiap2l2	19.68	0.0	0.0	0.0	0.0	0.0	2.34	3.74	2.67
Brf1	55.52	0.0	0.0	0.0	0.08	0.0	35.27	37.61	35.3
Brsk2	69.35	27.56	5.99	0.0	4.46	14.16	148.06	151.67	152.3
Capn5	71.6	0.13	0.0	0.0	0.0	0.0	34.6	32.35	35.1
Cbx1	106.6	23.57	78.67	0.0	44.55	4.26	29.04	33.73	34.03
Chrna2	0.57	0.16	0.0	0.11	0.13	0.2	0.47	0.5	0.87
Chst10	200.06	25.59	48.66	0.0	47.39	1.69	53.78	51.9	52.82
Clca1	9.98	0.0	0.0	0.0	0.0	0.0	0.25	0.33	0.53
Ddx49	125.28	0.0	0.0	0.0	98.31	0.0	26.88	30.44	30.01
Dfna5	436.17	12.1	151.32	0.0	0.0	91.1	11.47	13.52	12.32
Dpf3	0.53	0.0	0.0	0.0	0.0	0.0	3.63	2.47	2.79
Edc4	48.09	0.06	26.66	0.0	0.05	0.31	39.35	42.06	41.29
Ets2	50.79	0.0	22.72	0.0	3.07	42.42	56.67	59.16	51.74
Fan1	21.58	0.0	0.0	0.0	0.0	0.0	7.54	8.08	8.45
Flot1	354.26	103.71	20.04	0.0	126.58	84.16	137.1	148.3	139.89
Fmo2	0.0	0.0	0.0	0.0	0.07	0.0	1.45	0.72	0.61
Foxo6	10.74	0.0	0.0	0.0	0.0	0.0	12.66	15.57	11.13
Fzd9	60.98	0.0	0.0	0.0	0.0	0.0	4.04	4.87	6.01
Gm11468	34.1	0.0	0.0	0.0	0.0	0.0	0.28	0.53	0.87
Gm15915	0.38	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0
Gm20268	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0
Gpr108	76.58	0.13	0.0	0.0	0.0	0.0	22.82	24.74	22.71
Gstcd	27.12	0.0	0.0	0.0	0.0	0.0	4.83	4.58	4.2
Hectd3	55.64	0.0	4.7	0.08	4.15	1.22	35.01	33.61	33.43
Hist2h2ac	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.0	0.44
Hspa4	79.66	29.9	14.55	0.0	26.01	56.66	146.42	148.54	148.45
Hspb8	0.19	0.0	0.0	0.0	0.0	0.0	13.27	13.9	13.87
Igfbp7	0.29	0.0	0.0	0.0	0.0	0.0	37.77	40.85	41.59
Ing3	113.99	37.73	0.0	0.0	0.0	0.0	11.57	10.43	11.19
Kcmf1	119.56	1.55	14.08	477.93	3.63	1.9	40.33	40.77	37.67
